#A-0 Z-1 N-2 MomNormP-3 MomNormN-4 PF-5 NF-6 AF-7 KEP-8 KEN-9 KEA-10 KE1P-11 KE1N-12 KE1A-13 DenNormP-14 DenNormN-15 AVGdenA-16 AVGdenZ-17 AVGdenN-18 NearPP-19 NearNP/z-20 NearNN-21 NearNP/n-22
2 1 1 1 1 .036597 .036597 .036597 9.9101 9.8964 9.9032 .51139 .51139 .51139 .99906 .99906 .07592 .03796 .03796 0 .053698 0 .053698
3 1 2 2 .99991 .077088 .048003 .057698 19.614 14.956 16.509 .56735 .49259 .5226 .99871 1.9976 .096788 .066438 .063396 0 .13007 .046288 .065033
3 2 1 .99996 2 .047129 .075937 .056731 14.712 19.346 16.257 .49315 .5668 .52268 1.9981 .99902 .09396 .061499 .064567 .045214 .064334 0 .12867
4 2 2 2 2 .10715 .10715 .10715 27.592 27.554 27.573 .60627 .60627 .60668 1.9974 1.9974 .1678 .12585 .12585 .063455 .16172 .063455 .16172
6 3 3 3 3 .090959 .090959 .090959 24.292 24.259 24.275 .57828 .57828 .57867 2.9991 2.9991 .056123 .046769 .046769 .04638 .13648 .04638 .13648
7 3 4 4 3.0001 .10279 .084456 .092312 26.884 24.54 25.544 .59281 .53728 .56273 2.9983 3.9984 .060029 .053957 .049476 .045801 .16241 .063394 .12181
9 4 5 4.9999 4 .11217 .096071 .10323 29.802 27.098 28.3 .59983 .55268 .57516 3.9992 4.9987 .067449 .061525 .058677 .065936 .17503 .065084 .14002
10 5 5 4.9999 4.9999 .10353 .10353 .10353 28.701 28.662 28.682 .56195 .56195 .56234 4.998 4.998 .07993 .071937 .071937 .064414 .15261 .064414 .15261
11 5 6 6.0003 4.9998 .12587 .11529 .1201 33.405 31.752 32.503 .60452 .57303 .58816 4.9979 5.9999 .087091 .080569 .077997 .070305 .20097 .085772 .16748
12 6 6 6.0003 6.0003 .15904 .15904 .15904 38.101 38.049 38.075 .64262 .64262 .64307 5.9978 5.9978 .097978 .089813 .089813 .092781 .21187 .092781 .21187
6 2 4 4 2 .11106 .062847 .078917 27.73 19.119 21.989 .62582 .51061 .55945 1.9992 3.9993 .058476 .059361 .042453 .05855 .17124 .054489 .08562
8 2 6 6.0002 2 .12643 .056757 .074177 30.681 19.343 22.177 .65625 .44834 .52066 1.999 5.9992 .067484 .079352 .050827 .056488 .20724 .060164 .06908
8 3 5 5 3 .11216 .078987 .091426 28.951 23.979 25.843 .60321 .50223 .54505 2.9976 4.9972 .074389 .071956 .060663 .048664 .17834 .062211 .107
9 3 6 6.0001 3 .12217 .080467 .094369 31.385 24.912 27.07 .62138 .49263 .54281 2.9981 5.9964 .085159 .086236 .069987 .05193 .20269 .077178 .10134
10 4 6 5.9998 4 .11631 .088321 .099518 30.202 25.95 27.651 .60323 .52132 .55751 3.9989 5.9988 .075163 .071495 .065003 .064243 .1763 .070141 .11754
