   R     RHORPP    DRHORPP    RHORNP    DRHORNP
   .05  9.234E-4  5.3472E-4   .009348   .005395
   .15   .001188  2.616E-4    .00934    .002
   .25   .00286   2.539E-4    .02122    .001816
   .35   .00566   2.682E-4    .03733    .001705
   .45   .011559  3.06E-4     .0699     .001798
   .55   .02028   3.439E-4    .1154     .001877
   .65   .03042   3.656E-4    .1626     .001869
   .75   .04095   3.746E-4    .2085     .00181
   .85   .04831   3.703E-4    .2332     .001687
   .95   .0542    3.617E-4    .2501     .00155
  1.05   .0566    3.408E-4    .2489     .001384
  1.15   .0579    3.244E-4    .2415     .001241
  1.25   .057     3.02E-4     .2276     .001102
  1.35   .056     2.83E-4     .2124    9.79E-4
  1.45   .0543    2.65E-4     .196     8.69E-4
  1.55   .0527    2.48E-4     .1817    7.76E-4
  1.65   .05      2.3E-4      .1648    6.9E-4
  1.75   .0478    2.16E-4     .1514    6.2E-4
  1.85   .0452    2.005E-4    .1379    5.56E-4
  1.95   .0434    1.889E-4    .1273    5.05E-4
  2.05   .0411    1.753E-4    .1166    4.56E-4
  2.15   .0391    1.645E-4    .1074    4.163E-4
  2.25   .0373    1.534E-4    .0994    3.786E-4
  2.35   .0353    1.434E-4    .0919    3.459E-4
  2.45   .0333    1.331E-4    .0847    3.154E-4
  2.55   .032     1.26E-4     .0791    2.927E-4
  2.65   .0303    1.172E-4    .0736    2.695E-4
  2.75   .0286    1.1E-4      .0684    2.491E-4
  2.85   .02725   1.029E-4    .0639    2.299E-4
  2.95   .02571   9.65E-5     .0596    2.134E-4
  3.05   .02426   9.02E-5     .0553    1.978E-4
  3.15   .02305   8.54E-5     .0519    1.862E-4
  3.25   .02138   7.91E-5     .0479    1.718E-4
  3.35   .02013   7.43E-5     .0447    1.602E-4
  3.45   .01897   6.99E-5     .0418    1.499E-4
  3.55   .01754   6.53E-5     .03827   1.394E-4
  3.65   .01632   6.12E-5     .0354    1.304E-4
  3.75   .01526   5.73E-5     .03291   1.219E-4
  3.85   .0141    5.37E-5     .0303    1.139E-4
  3.95   .0129    5.05E-5     .02768   1.069E-4
  4.05   .01172   4.68E-5     .02516   9.91E-5
  4.15   .01073   4.39E-5     .02294   9.28E-5
  4.25   .00987   4.13E-5     .02108   8.72E-5
  4.35   .00895   3.88E-5     .01911   8.18E-5
  4.45   .00804   3.578E-5    .01714   7.57E-5
  4.55   .00715   3.313E-5    .01528   7.01E-5
  4.65   .00643   3.096E-5    .01371   6.56E-5
  4.75   .00576   2.874E-5    .01229   6.07E-5
  4.85   .0051    2.662E-5    .01091   5.65E-5
  4.95   .0045    2.456E-5    .00963   5.2E-5
  5.05   .00394   2.255E-5    .00844   4.8E-5
  5.15   .003485  2.085E-5    .00749   4.45E-5
  5.25   .00304   1.91E-5     .00654   4.093E-5
  5.35   .002627  1.75E-5     .00567   3.752E-5
  5.45   .002303  1.626E-5    .00499   3.487E-5
  5.55   .001943  1.456E-5    .00423   3.143E-5
  5.65   .001698  1.349E-5    .003706  2.918E-5
  5.75   .001472  1.235E-5    .003222  2.67E-5
  5.85   .001233  1.11E-5     .002708  2.417E-5
  5.95   .001069  1.019E-5    .002354  2.232E-5
  6.05  9E-4      9.09E-6     .002006  1.996E-5
  6.15  7.67E-4   8.35E-6     .001707  1.837E-5
  6.25  6.63E-4   7.59E-6     .001484  1.68E-5
  6.35  5.57E-4   6.87E-6     .001255  1.533E-5
  6.45  4.59E-4   6.06E-6     .001037  1.352E-5
  6.55  3.89E-4   5.5E-6     8.88E-4   1.24E-5
  6.65  3.303E-4  5.03E-6    7.56E-4   1.137E-5
  6.75  2.77E-4   4.52E-6    6.42E-4   1.031E-5
  6.85  2.352E-4  4.11E-6    5.44E-4   9.35E-6
  6.95  1.941E-4  3.67E-6    4.55E-4   8.44E-6
  7.05  1.532E-4  3.188E-6   3.586E-4  7.34E-6
  7.15  1.294E-4  2.87E-6    3.079E-4  6.73E-6
  7.25  1.135E-4  2.663E-6   2.703E-4  6.23E-6
  7.35  9.42E-5   2.391E-6   2.239E-4  5.59E-6
  7.45  7.87E-5   2.147E-6   1.893E-4  5.06E-6
  7.55  6.6E-5    1.951E-6   1.623E-4  4.71E-6
  7.65  5.54E-5   1.731E-6   1.364E-4  4.184E-6
  7.75  4.58E-5   1.566E-6   1.147E-4  3.83E-6
  7.85  3.74E-5   1.392E-6   9.32E-5   3.379E-6
  7.95  3.125E-5  1.274E-6   7.89E-5   3.13E-6
  8.05  2.409E-5  1.086E-6   6.11E-5   2.694E-6
  8.15  2.075E-5  1.006E-6   5.39E-5   2.532E-6
  8.25  1.758E-5  9.08E-7    4.6E-5    2.311E-6
  8.35  1.551E-5  8.51E-7    4.012E-5  2.13E-6
  8.45  1.315E-5  7.72E-7    3.314E-5  1.892E-6
  8.55  1.088E-5  6.88E-7    2.795E-5  1.712E-6
  8.65  8.2E-6    5.76E-7    2.35E-5   1.61E-6
  8.75  6.62E-6   5.15E-7    1.729E-5  1.3E-6
  8.85  5.13E-6   4.51E-7    1.385E-5  1.178E-6
  8.95  5.03E-6   4.36E-7    1.385E-5  1.166E-6
  9.05  4.03E-6   3.85E-7    1.093E-5  1.005E-6
  9.15  3.63E-6   3.62E-7    1.026E-5  9.91E-7
  9.25  2.553E-6  3.05E-7    7.54E-6   8.56E-7
  9.35  2.351E-6  2.825E-7   6.4E-6    7.49E-7
  9.45  1.816E-6  2.491E-7   5.14E-6   6.87E-7
  9.55  1.86E-6   2.51E-7    5.54E-6   7.21E-7
  9.65  1.268E-6  2.123E-7   3.47E-6   5.5E-7
  9.75  1.245E-6  2.061E-7   3.656E-6  5.82E-7
  9.85  9.16E-7   1.605E-7   3.172E-6  5.322E-7
  9.95  8.71E-7   1.696E-7   2.273E-6  4.31E-7
 10.05  5.95E-7   1.329E-7   1.639E-6  3.492E-7
 10.15  4.43E-7   1.117E-7   1.285E-6  3.086E-7
 10.25  2.717E-7  8.84E-8    6.4E-7    2.04E-7
 10.35  2.62E-7   8.46E-8    7.53E-7   2.319E-7
 10.45  3.015E-7  8.63E-8    1.106E-6  2.994E-7
 10.55  2.282E-7  7.6E-8     6.62E-7   2.126E-7
 10.65  1.771E-7  6.54E-8    5.23E-7   1.893E-7
 10.75  2.49E-7   7.75E-8    6.87E-7   2.094E-7
 10.85  8.1E-8    4.25E-8    2.606E-7  1.331E-7
 10.95  1.048E-7  4.95E-8    3.093E-7  1.393E-7
 11.05  2.39E-8   2.39E-8    5.4E-8    5.4E-8
 11.15  4.07E-8   2.88E-8    1.188E-7  8.42E-8
 11.25  4.13E-8   3.093E-8   1.138E-7  8.08E-8
 11.35  5.51E-8   3.45E-8    1.793E-7  1.04E-7
 11.45  2.054E-8  2.054E-8   5.36E-8   5.36E-8
 11.55  6.46E-8   3.79E-8    1.505E-7  8.7E-8
 11.65  1.456E-8  1.456E-8   6.24E-8   6.24E-8
 11.75  2.727E-8  2.033E-8   1.26E-7   9E-8
 11.85  1.793E-8  1.793E-8   5.27E-8   5.27E-8
 11.95  3.073E-8  2.24E-8    1.127E-7  8.04E-8
 12.05  1.901E-8  1.901E-8   4.76E-8   4.76E-8
 12.15  1.798E-8  1.798E-8   4.82E-8   4.82E-8
 12.25  3.527E-8  2.56E-8    9.53E-8   6.82E-8
 12.35  4.38E-8   2.55E-8    1.572E-7  9.08E-8
 12.45  1.428E-8  1.428E-8   5.16E-8   5.16E-8
 12.55  8E-9      8E-9       6.298E-8  6.298E-8
 12.65  0         0          0         0
 12.75  0         0          0         0
 12.85  1.664E-8  1.664E-8   4.2E-8    4.2E-8
 12.95  0         0          0         0
 13.05  0         0          0         0
 13.15  0         0          0         0
 13.25  0         0          0         0
 13.35  0         0          0         0
 13.45  0         0          0         0
 13.55  1.239E-8  1.239E-8   4.29E-8   4.29E-8
 13.65  0         0          0         0
 13.75  0         0          0         0
 13.85  0         0          0         0
 13.95  0         0          0         0
 14.05  0         0          0         0
 14.15  0         0          0         0
 14.25  0         0          0         0
 14.35  0         0          0         0
 14.45  0         0          0         0
 14.55  0         0          0         0
 14.65  0         0          0         0
 14.75  0         0          0         0
 14.85  0         0          0         0
 14.95  0         0          0         0
 15.05  0         0          0         0
 15.15  0         0          0         0
 15.25  0         0          0         0
 15.35  0         0          0         0
 15.45  0         0          0         0
 15.55  0         0          0         0
 15.65  0         0          0         0
 15.75  0         0          0         0
 15.85  0         0          0         0
 15.95  0         0          0         0
 16.05  0         0          0         0
 16.15  0         0          0         0
 16.25  0         0          0         0
 16.35  0         0          0         0
 16.45  0         0          0         0
 16.55  0         0          0         0
 16.65  0         0          0         0
 16.75  0         0          0         0
 16.85  0         0          0         0
 16.95  0         0          0         0
 17.05  0         0          0         0
 17.15  0         0          0         0
 17.25  0         0          0         0
 17.35  0         0          0         0
 17.45  0         0          0         0
 17.55  0         0          0         0
 17.65  0         0          0         0
 17.75  0         0          0         0
 17.85  0         0          0         0
 17.95  0         0          0         0
 18.05  0         0          0         0
 18.15  0         0          0         0
 18.25  0         0          0         0
 18.35  0         0          0         0
 18.45  0         0          0         0
 18.55  0         0          0         0
 18.65  0         0          0         0
 18.75  0         0          0         0
 18.85  0         0          0         0
 18.95  0         0          0         0
 19.05  0         0          0         0
 19.15  0         0          0         0
 19.25  0         0          0         0
 19.35  0         0          0         0
 19.45  0         0          0         0
 19.55  0         0          0         0
 19.65  0         0          0         0
 19.75  0         0          0         0
 19.85  0         0          0         0
 19.95  0         0          0         0
 20.05  0         0          0         0
