   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
   .05   .0013357   .0013357   .0119     .0119     .001646    .001646
   .15   .0010476  4.763E-4    .00998    .004096   .0017606  7.469E-4
   .25   .00289    4.774E-4    .02428    .003836   .004246   6.928E-4
   .35   .005611   5.192E-4    .0399     .00347    .007702   7.038E-4
   .45   .01222    5.994E-4    .0859     .003951   .0177     8.579E-4
   .55   .02015    6.507E-4    .1305     .003895   .02906    9.2E-4
   .65   .0303     7.01E-4     .1864     .003953   .04352    9.88E-4
   .75   .0397     7.1E-4      .2309     .003764   .05696    9.98E-4
   .85   .04752    7.01E-4     .2644     .003527   .0687     9.97E-4
   .95   .0535     6.84E-4     .2855     .00328    .0775     9.72E-4
  1.05   .0575     6.57E-4     .2894     .002973   .0822     9.29E-4
  1.15   .0583     6.22E-4     .2783     .002639   .0831     8.79E-4
  1.25   .0576     5.78E-4     .2622     .002334   .0827     8.21E-4
  1.35   .0575     5.46E-4     .2494     .002093   .0823     7.76E-4
  1.45   .0553     5.11E-4     .2278     .001858   .0788     7.22E-4
  1.55   .0545     4.81E-4     .2148     .001675   .0777     6.82E-4
  1.65   .0516     4.46E-4     .195      .00149    .0738     6.34E-4
  1.75   .0495     4.18E-4     .1792     .001342   .0708     5.95E-4
  1.85   .0471     3.89E-4     .1654     .001215   .0677     5.58E-4
  1.95   .0452     3.64E-4     .153      .001101   .0651     5.22E-4
  2.05   .0427     3.36E-4     .1406    9.91E-4    .0618     4.83E-4
  2.15   .0407     3.19E-4     .1304    9.17E-4    .0589     4.59E-4
  2.25   .0382     2.91E-4     .1191    8.24E-4    .0554     4.22E-4
  2.35   .0365     2.73E-4     .1111    7.52E-4    .0532     3.97E-4
  2.45   .0344     2.536E-4    .1028    6.94E-4    .0502     3.7E-4
  2.55   .0328     2.386E-4    .0959    6.39E-4    .0481     3.47E-4
  2.65   .031      2.204E-4    .0893    5.86E-4    .0455     3.21E-4
  2.75   .0291     2.044E-4    .0828    5.39E-4    .0429     2.98E-4
  2.85   .02772    1.93E-4     .0777    5.04E-4    .0409     2.822E-4
  2.95   .02607    1.796E-4    .072     4.69E-4    .0384     2.638E-4
  3.05   .02461    1.679E-4    .0673    4.35E-4    .0363     2.464E-4
  3.15   .0228     1.537E-4    .0622    3.984E-4   .034      2.283E-4
  3.25   .02124    1.449E-4    .0574    3.724E-4   .03154    2.139E-4
  3.35   .02028    1.359E-4    .0544    3.486E-4   .03024    2.017E-4
  3.45   .0187     1.262E-4    .0499    3.235E-4   .02788    1.872E-4
  3.55   .0172     1.176E-4    .0458    3.011E-4   .02575    1.749E-4
  3.65   .01623    1.113E-4    .0429    2.841E-4   .02428    1.657E-4
  3.75   .0148     1.028E-4    .03919   2.618E-4   .02227    1.531E-4
  3.85   .01362    9.64E-5     .03601   2.461E-4   .02053    1.442E-4
  3.95   .01258    9.18E-5     .03311   2.34E-4    .01896    1.366E-4
  4.05   .01148    8.56E-5     .03021   2.182E-4   .01742    1.282E-4
  4.15   .01037    7.94E-5     .02728   2.023E-4   .01572    1.189E-4
  4.25   .00956    7.36E-5     .02516   1.878E-4   .01451    1.109E-4
  4.35   .00848    6.84E-5     .02238   1.758E-4   .013      1.039E-4
  4.45   .00778    6.45E-5     .02051   1.652E-4   .01191    9.77E-5
  4.55   .00686    6.01E-5     .01811   1.544E-4   .01052    9.1E-5
  4.65   .0063     5.61E-5     .01666   1.44E-4    .0097     8.55E-5
  4.75   .00557    5.22E-5     .01479   1.346E-4   .00861    7.98E-5
  4.85   .00495    4.82E-5     .01317   1.245E-4   .0077     7.42E-5
  4.95   .00442    4.46E-5     .01176   1.15E-4    .00689    6.85E-5
  5.05   .00388    4.14E-5     .01039   1.075E-4   .0061     6.43E-5
  5.15   .003441   3.82E-5     .00927   9.99E-5    .00544    5.97E-5
  5.25   .003008   3.501E-5    .00807   9.11E-5    .00474    5.45E-5
  5.35   .002573   3.18E-5     .00692   8.33E-5    .00407    4.98E-5
  5.45   .002236   2.916E-5    .00609   7.72E-5    .00359    4.65E-5
  5.55   .001928   2.693E-5    .00523   7.13E-5    .003089   4.27E-5
  5.65   .001669   2.433E-5    .0046    6.49E-5    .002732   3.93E-5
  5.75   .001496   2.284E-5    .00414   6.09E-5    .002454   3.68E-5
  5.85   .001209   1.992E-5    .003339  5.34E-5    .001983   3.232E-5
  5.95   .001068   1.857E-5    .002979  5.03E-5    .001767   3.046E-5
  6.05  8.82E-4    1.63E-5     .002459  4.42E-5    .001467   2.695E-5
  6.15  7.72E-4    1.498E-5    .002177  4.09E-5    .001296   2.491E-5
  6.25  6.59E-4    1.358E-5    .001869  3.724E-5   .001113   2.274E-5
  6.35  5.48E-4    1.213E-5    .001563  3.35E-5   9.38E-4    2.05E-5
  6.45  4.6E-4     1.107E-5    .001321  3.056E-5  7.94E-4    1.88E-5
  6.55  4E-4       1.004E-5    .001163  2.817E-5  6.99E-4    1.734E-5
