   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
   .05  0          0          0         0         0          0
   .15   .0011311  2.413E-4    .01043    .002093   .0017536  3.643E-4
   .25   .002445   2.354E-4    .01855    .00167    .00338    3.341E-4
   .35   .005041   2.469E-4    .03618    .001659   .007442   3.824E-4
   .45   .009801   2.723E-4    .0669     .001726   .01592    4.736E-4
   .55   .01652    2.975E-4    .1061     .001757   .02711    5.233E-4
   .65   .02526    3.178E-4    .1541     .001774   .04146    5.593E-4
   .75   .03307    3.256E-4    .1942     .001726   .05498    5.69E-4
   .85   .03951    3.19E-4     .2224     .001614   .0656     5.58E-4
   .95   .0435     3.046E-4    .2372     .001485   .0733     5.39E-4
  1.05   .04453    2.834E-4    .2358     .001331   .0767     5.1E-4
  1.15   .04499    2.638E-4    .2307     .001188   .0789     4.81E-4
  1.25   .04391    2.436E-4    .2191     .001064   .0785     4.53E-4
  1.35   .0423     2.227E-4    .2029    9.36E-4    .0767     4.2E-4
  1.45   .0395     2.056E-4    .1849    8.33E-4    .0732     3.9E-4
  1.55   .0375     1.884E-4    .1728    7.45E-4    .072      3.68E-4
  1.65   .035      1.726E-4    .157     6.61E-4    .0685     3.42E-4
  1.75   .0329     1.593E-4    .1449    5.95E-4    .0662     3.21E-4
  1.85   .0305     1.458E-4    .1315    5.35E-4    .0631     3E-4
  1.95   .0283     1.345E-4    .1202    4.83E-4    .0601     2.8E-4
  2.05   .0263     1.237E-4    .1109    4.348E-4   .0575     2.61E-4
  2.15   .0246     1.153E-4    .1023    3.996E-4   .0552     2.47E-4
  2.25   .023      1.068E-4    .0945    3.641E-4   .0527     2.322E-4
  2.35   .0215     9.87E-5     .0871    3.311E-4   .0502     2.156E-4
  2.45   .02013    9.19E-5     .0808    3.042E-4   .0478     2.023E-4
  2.55   .01894    8.53E-5     .0752    2.811E-4   .0457     1.908E-4
  2.65   .01763    7.92E-5     .0693    2.579E-4   .0432     1.778E-4
  2.75   .01661    7.37E-5     .0648    2.385E-4   .0414     1.674E-4
  2.85   .01564    6.86E-5     .0606    2.206E-4   .0395     1.574E-4
  2.95   .0147     6.41E-5     .0564    2.049E-4   .0374     1.477E-4
  3.05   .01378    5.96E-5     .0523    1.891E-4   .0351     1.372E-4
  3.15   .01297    5.59E-5     .0489    1.774E-4   .0333     1.299E-4
  3.25   .01225    5.27E-5     .0457    1.657E-4   .0316     1.229E-4
  3.35   .01148    4.9E-5      .0424    1.527E-4   .02961    1.143E-4
  3.45   .01085    4.6E-5      .0397    1.434E-4   .02799    1.075E-4
  3.55   .01       4.3E-5      .03642   1.341E-4   .02599    1.013E-4
  3.65   .00937    4.04E-5     .03403   1.251E-4   .02439    9.51E-5
  3.75   .00869    3.77E-5     .03153   1.172E-4   .02285    8.97E-5
  3.85   .00808    3.57E-5     .02903   1.098E-4   .02115    8.42E-5
  3.95   .00741    3.315E-5    .02663   1.027E-4   .01948    7.94E-5
  4.05   .00675    3.087E-5    .02425   9.54E-5    .01791    7.39E-5
  4.15   .00621    2.92E-5     .02214   8.97E-5    .01639    6.95E-5
  4.25   .0056     2.693E-5    .02012   8.32E-5    .015      6.51E-5
  4.35   .00512    2.521E-5    .01829   7.79E-5    .01375    6.11E-5
  4.45   .00462    2.353E-5    .01654   7.25E-5    .01241    5.7E-5
  4.55   .00413    2.183E-5    .01494   6.78E-5    .0113     5.39E-5
  4.65   .00368    2.028E-5    .01333   6.32E-5    .01014    5.04E-5
  4.75   .003276   1.888E-5    .01195   5.89E-5    .00916    4.74E-5
  4.85   .002927   1.739E-5    .01066   5.41E-5    .00816    4.35E-5
  4.95   .002566   1.603E-5    .00943   5.04E-5    .00728    4.08E-5
