   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
   .05  0          0          0         0         0          0
   .15  8.581E-4   5.782E-4    .00821    .00474    .0011667  6.975E-4
   .25   .002596   5.584E-4    .0254     .004903   .005908    .0012573
   .35   .003509   4.853E-4    .02983    .003715   .009282    .00143
   .45   .009089   6.485E-4    .0696     .004429   .01912     .001405
   .55   .01452    6.891E-4    .1061     .004456   .03333     .001656
   .65   .02246    7.352E-4    .1565     .004498   .05298     .001794
   .75   .02955    7.365E-4    .1967     .0043     .06899     .001805
   .85   .0342     7.25E-4     .2167     .004002   .0791      .001722
   .95   .03869    6.9E-4      .2411     .003686   .0928      .001698
  1.05   .04054    6.46E-4     .2424     .003303   .0982      .001608
  1.15   .03924    5.91E-4     .2323     .002971   .1012      .001563
  1.25   .0394     5.57E-4     .2237     .002684   .1007      .001441
  1.35   .03704    4.92E-4     .2071     .002318   .0989      .001359
  1.45   .03529    4.58E-4     .193      .002103   .0983      .0013
  1.55   .03376    4.25E-4     .1812     .001908   .0967      .001229
  1.65   .03145    3.87E-4     .1666     .001709   .0941      .001161
  1.75   .0299     3.54E-4     .157      .001523   .0935      .001084
  1.85   .028      3.29E-4     .1447     .00141    .0893      .001026
  1.95   .0263     3.01E-4     .135      .001261   .0879     9.68E-4
  2.05   .0246     2.79E-4     .1258     .001157   .0848     9.12E-4
  2.15   .0231     2.59E-4     .1184     .001056   .0837     8.71E-4
  2.25   .02159    2.37E-4     .1108    9.79E-4    .0806     8.22E-4
  2.35   .01997    2.19E-4     .1024    8.95E-4    .0769     7.73E-4
  2.45   .019      2.049E-4    .0969    8.27E-4    .0747     7.24E-4
  2.55   .01754    1.867E-4    .0901    7.65E-4    .0721     6.92E-4
  2.65   .01681    1.753E-4    .0873    7.08E-4    .0717     6.57E-4
  2.75   .01579    1.646E-4    .0819    6.7E-4     .0688     6.24E-4
  2.85   .01476    1.54E-4     .0761    6.22E-4    .0652     5.89E-4
  2.95   .014      1.417E-4    .0727    5.74E-4    .0636     5.55E-4
  3.05   .01321    1.341E-4    .0677    5.4E-4     .0601     5.27E-4
  3.15   .01229    1.23E-4     .0631    4.94E-4    .0569     4.88E-4
  3.25   .01173    1.158E-4    .0606    4.65E-4    .0558     4.66E-4
  3.35   .01119    1.116E-4    .0572    4.46E-4    .0529     4.45E-4
  3.45   .01027    1.013E-4    .0529    4.1E-4     .0497     4.14E-4
  3.55   .00972    9.73E-5     .05      3.939E-4   .0473     3.99E-4
  3.65   .00919    9.09E-5     .0471    3.638E-4   .0448     3.73E-4
  3.75   .0084     8.47E-5     .0433    3.36E-4    .0418     3.46E-4
  3.85   .00813    8.12E-5     .0415    3.227E-4   .0402     3.316E-4
  3.95   .00737    7.53E-5     .03826   3.042E-4   .0377     3.164E-4
  4.05   .00683    7.1E-5      .03521   2.83E-4    .0349     2.947E-4
  4.15   .00643    6.7E-5      .0327    2.657E-4   .03246    2.784E-4
  4.25   .00595    6.31E-5     .0303    2.498E-4   .03019    2.633E-4
  4.35   .00535    5.84E-5     .02753   2.353E-4   .02792    2.502E-4
  4.45   .00483    5.44E-5     .02514   2.169E-4   .02573    2.331E-4
  4.55   .00453    5.23E-5     .02342   2.087E-4   .02404    2.222E-4
  4.65   .00397    4.79E-5     .02088   1.943E-4   .02154    2.102E-4
  4.75   .00363    4.55E-5     .01888   1.797E-4   .01953    1.93E-4
  4.85   .00333    4.31E-5     .01743   1.731E-4   .01811    1.872E-4
  4.95   .002955   3.92E-5     .01572   1.61E-4    .01664    1.758E-4
  5.05   .002586   3.62E-5     .01384   1.464E-4   .01481    1.627E-4
  5.15   .002366   3.335E-5    .0128    1.372E-4   .01367    1.532E-4
  5.25   .002053   3.121E-5    .01115   1.28E-4    .01205    1.43E-4
  5.35   .001774   2.788E-5    .00977   1.165E-4   .01066    1.329E-4
  5.45   .001576   2.606E-5    .00876   1.088E-4   .00972    1.26E-4
  5.55   .001361   2.37E-5     .00778   1.008E-4   .00864    1.162E-4
  5.65   .001214   2.221E-5    .00692   9.31E-5    .00779    1.093E-4
  5.75   .001043   1.993E-5    .00597   8.55E-5    .00682    1.018E-4
  5.85  8.95E-4    1.846E-5    .00526   8E-5       .00597    9.41E-5
  5.95  7.71E-4    1.621E-5    .00465   7.34E-5    .00536    8.87E-5
  6.05  6.57E-4    1.493E-5    .00401   6.69E-5    .00471    8.22E-5
  6.15  5.6E-4     1.352E-5    .003469  6.13E-5    .00416    7.6E-5
  6.25  4.93E-4    1.233E-5    .003139  5.81E-5    .00376    7.28E-5
  6.35  3.94E-4    1.052E-5    .002619  5.1E-5     .003186   6.59E-5
  6.45  3.39E-4    9.82E-6     .002258  4.64E-5    .002809   6.06E-5
  6.55  2.887E-4   8.96E-6     .001953  4.31E-5    .00243    5.63E-5
  6.65  2.433E-4   7.9E-6      .001646  3.828E-5   .002096   5.09E-5
  6.75  1.972E-4   6.98E-6     .001417  3.545E-5   .001847   4.82E-5
  6.85  1.698E-4   6.27E-6     .001251  3.254E-5   .001615   4.4E-5
  6.95  1.444E-4   5.74E-6     .00106   2.986E-5   .001405   4.15E-5
  7.05  1.126E-4   4.79E-6    8.37E-4   2.488E-5   .001148   3.59E-5
  7.15  1.003E-4   4.52E-6    7.64E-4   2.409E-5   .001055   3.51E-5
  7.25  7.89E-5    3.84E-6    6.44E-4   2.157E-5  8.99E-4    3.18E-5
