   R      RHORPP    DRHORPP   RHORNP    DRHORNP
   .05  6.306E-4   3.734E-4   .005899   .003417
   .15   .0013687  2.261E-4   .01022    .001657
   .25   .0022229  1.816E-4   .01595    .00125
   .35   .004619   1.95E-4    .03014    .001221
   .45   .009763   2.268E-4   .05854    .00131
   .55   .017      2.539E-4   .0958     .001361
   .65   .02586    2.693E-4   .1373     .001373
   .75   .03399    2.751E-4   .1735     .001333
   .85   .04044    2.688E-4   .199      .001243
   .95   .04378    2.565E-4   .2074     .001129
  1.05   .04481    2.401E-4   .2046     .001012
  1.15   .04418    2.21E-4    .1953    8.95E-4
  1.25   .04222    2.032E-4   .1799    7.89E-4
  1.35   .0404     1.874E-4   .1657    6.94E-4
  1.45   .0378     1.717E-4   .1499    6.1E-4
  1.55   .03555    1.576E-4   .1365    5.39E-4
  1.65   .03288    1.454E-4   .1217    4.75E-4
  1.75   .03021    1.339E-4   .1084    4.219E-4
  1.85   .02766    1.231E-4   .0966    3.746E-4
  1.95   .0253     1.14E-4    .0856    3.347E-4
  2.05   .02338    1.058E-4   .0769    2.997E-4
  2.15   .02147    9.83E-5    .0684    2.684E-4
  2.25   .01971    9.1E-5     .0611    2.419E-4
  2.35   .01817    8.51E-5    .0547    2.192E-4
  2.45   .01703    7.97E-5    .0497    1.991E-4
  2.55   .0158     7.42E-5    .0449    1.81E-4
  2.65   .0148     6.93E-5    .04081   1.647E-4
  2.75   .01378    6.5E-5     .03696   1.517E-4
  2.85   .01308    6.11E-5    .03415   1.392E-4
  2.95   .01224    5.7E-5     .03119   1.28E-4
  3.05   .01171    5.39E-5    .02912   1.191E-4
  3.15   .01102    5.05E-5    .02678   1.1E-4
  3.25   .01051    4.74E-5    .02497   1.018E-4
  3.35   .01002    4.47E-5    .02342   9.54E-5
  3.45   .00955    4.22E-5    .02188   8.87E-5
  3.55   .00908    3.98E-5    .02055   8.32E-5
  3.65   .00857    3.74E-5    .01912   7.77E-5
  3.75   .00817    3.52E-5    .01805   7.31E-5
  3.85   .00768    3.32E-5    .01675   6.82E-5
  3.95   .00721    3.115E-5   .01557   6.39E-5
  4.05   .0068     2.946E-5   .01463   6.04E-5
  4.15   .00635    2.767E-5   .01357   5.65E-5
  4.25   .00596    2.623E-5   .01267   5.35E-5
  4.35   .00552    2.461E-5   .01165   5E-5
  4.45   .00512    2.329E-5   .01077   4.74E-5
  4.55   .00473    2.179E-5   .00991   4.43E-5
  4.65   .00435    2.049E-5   .00908   4.17E-5
  4.75   .00398    1.919E-5   .00831   3.903E-5
  4.85   .003586   1.788E-5   .00746   3.637E-5
  4.95   .003267   1.675E-5   .00678   3.398E-5
  5.05   .002933   1.563E-5   .00608   3.183E-5
  5.15   .002642   1.452E-5   .00547   2.958E-5
  5.25   .002366   1.357E-5   .0049    2.758E-5
  5.35   .002104   1.252E-5   .00436   2.545E-5
  5.45   .001858   1.162E-5   .003839  2.36E-5
  5.55   .001623   1.07E-5    .003358  2.174E-5
  5.65   .001445   9.86E-6    .002984  2.011E-5
  5.75   .001252   9.12E-6    .002586  1.854E-5
  5.85   .00108    8.31E-6    .002238  1.693E-5
  5.95  9.27E-4    7.57E-6    .001918  1.545E-5
  6.05  8.04E-4    6.95E-6    .001665  1.414E-5
  6.15  6.92E-4    6.35E-6    .001428  1.295E-5
  6.25  5.83E-4    5.74E-6    .001204  1.171E-5
  6.35  5.06E-4    5.29E-6    .001047  1.08E-5
  6.45  4.28E-4    4.78E-6   8.86E-4   9.77E-6
  6.55  3.57E-4    4.28E-6   7.43E-4   8.78E-6
  6.65  2.973E-4   3.85E-6   6.18E-4   7.88E-6
  6.75  2.493E-4   3.496E-6  5.19E-4   7.16E-6
  6.85  2.19E-4    3.189E-6  4.55E-4   6.55E-6
  6.95  1.779E-4   2.847E-6  3.721E-4  5.86E-6
  7.05  1.457E-4   2.527E-6  3.042E-4  5.21E-6
  7.15  1.184E-4   2.246E-6  2.495E-4  4.65E-6
  7.25  9.83E-5    2.038E-6  2.058E-4  4.19E-6
  7.35  7.99E-5    1.786E-6  1.682E-4  3.709E-6
  7.45  6.75E-5    1.621E-6  1.417E-4  3.365E-6
  7.55  5.32E-5    1.423E-6  1.123E-4  2.95E-6
