   R      RHORPP     DRHORPP    RHORNP    DRHORNP     RHORNN    DRHORNN
   .05   .0010867  5.2319E-4    .00963    .004296    .0012185  5.8371E-4
   .15   .0011863  2.2232E-4    .00935    .0015481   .0013883  2.5555E-4
   .25   .0022009  1.8732E-4    .01632    .0012266   .002638   2.1962E-4
   .35   .005284   2.1369E-4    .0358     .0012704   .006284   2.4638E-4
   .45   .009983   2.3094E-4    .0631     .0012838   .011886   2.6674E-4
   .55   .01698    2.4626E-4    .1011     .0012872   .02032    2.864E-4
   .65   .02543    2.5089E-4    .144      .0012391   .03076    2.9253E-4
   .75   .0326     2.3752E-4    .177      .0011287   .03995    2.7904E-4
   .85   .0391     2.1765E-4    .2051     .0010049   .04834    2.5712E-4
   .95   .04252    1.9062E-4    .2149    8.5811E-4   .05308    2.2714E-4
  1.05   .0439     1.6482E-4    .2156    7.1888E-4   .0555     1.9767E-4
  1.15   .04387    1.4215E-4    .2078    5.9494E-4   .0562     1.7054E-4
  1.25   .04251    1.2137E-4    .196     4.9139E-4   .0557     1.4839E-4
  1.35   .04021    1.051E-4     .1792    4.0724E-4   .0535     1.299E-4
  1.45   .03806    9.1529E-5    .1648    3.3726E-4   .0516     1.1507E-4
  1.55   .03558    8.0588E-5    .1501    2.817E-4    .0493     1.0306E-4
  1.65   .03338    7.1364E-5    .1378    2.3534E-4   .0472     9.2655E-5
  1.75   .03079    6.4321E-5    .1239    2.0028E-4   .0447     8.49E-5
  1.85   .02862    5.8488E-5    .1128    1.7036E-4   .0424     7.7836E-5
  1.95   .02637    5.3653E-5    .1016    1.4865E-4   .0399     7.2112E-5
  2.05   .02446    4.9357E-5    .0923    1.2906E-4   .0376     6.6809E-5
  2.15   .02257    4.577E-5     .0837    1.1453E-4   .0355     6.2324E-5
  2.25   .02104    4.253E-5     .0768    9.9932E-5   .0338     5.7699E-5
  2.35   .01939    3.9641E-5    .0697    9.0209E-5   .0318     5.4383E-5
  2.45   .01797    3.7065E-5    .0636    8.1722E-5   .0299     5.0611E-5
  2.55   .01682    3.4563E-5    .0585    7.3398E-5   .0283     4.7283E-5
  2.65   .01583    3.2426E-5    .054     6.6023E-5   .0269     4.3943E-5
  2.75   .01481    3.026E-5     .0498    6.0229E-5   .02543    4.093E-5
  2.85   .01393    2.8302E-5    .0462    5.4722E-5   .02419    3.8194E-5
  2.95   .01312    2.6497E-5    .0427    5.0355E-5   .02286    3.5643E-5
  3.05   .01243    2.4807E-5    .03987   4.5893E-5   .02183    3.314E-5
  3.15   .01171    2.3177E-5    .03713   4.257E-5    .0206     3.1089E-5
  3.25   .01107    2.1807E-5    .03452   3.985E-5    .01951    2.9173E-5
  3.35   .01042    2.055E-5     .03205   3.7887E-5   .01829    2.7526E-5
  3.45   .00991    1.927E-5     .03009   3.5263E-5   .01737    2.5881E-5
  3.55   .00928    1.817E-5     .02799   3.3838E-5   .01634    2.475E-5
  3.65   .00886    1.7174E-5    .02617   3.206E-5    .01547    2.3362E-5
  3.75   .00825    1.6252E-5    .02431   3.1333E-5   .01442    2.2532E-5
  3.85   .00772    1.5527E-5    .02247   3.0611E-5   .01344    2.1708E-5
  3.95   .00723    1.4719E-5    .02089   2.978E-5    .01257    2.0997E-5
  4.05   .00676    1.4139E-5    .01943   2.9049E-5   .01173    2.0297E-5
  4.15   .00633    1.3548E-5    .01808   2.8318E-5   .01091    1.9602E-5
  4.25   .00583    1.2999E-5    .01663   2.7898E-5   .01009    1.9144E-5
  4.35   .00542    1.2439E-5    .01531   2.7174E-5   .00934    1.8569E-5
  4.45   .00492    1.1994E-5    .01384   2.686E-5    .00843    1.8213E-5
  4.55   .00458    1.1466E-5    .01285   2.6019E-5   .00785    1.7568E-5
  4.65   .00418    1.1017E-5    .01166   2.5387E-5   .00713    1.7014E-5
  4.75   .00379    1.0514E-5    .01061   2.465E-5    .00651    1.6473E-5
  4.85   .003388   1.0033E-5    .00948   2.3913E-5   .00583    1.5834E-5
  4.95   .003049   9.5612E-6    .0085    2.3069E-5   .00523    1.5195E-5
  5.05   .002744   9.0801E-6    .0077    2.2126E-5   .00475    1.4654E-5
  5.15   .002432   8.6049E-6    .00682   2.1178E-5   .00422    1.392E-5
  5.25   .002158   8.0993E-6    .00609   2.0226E-5   .003774   1.3288E-5
  5.35   .001904   7.6183E-6    .00537   1.9173E-5   .003332   1.2548E-5
  5.45   .00168    7.1653E-6    .00473   1.812E-5    .00294    1.1903E-5
  5.55   .001475   6.7007E-6    .00417   1.707E-5    .002607   1.1175E-5
  5.65   .001284   6.2326E-6    .003639  1.6017E-5   .002274   1.0518E-5
  5.75   .001121   5.7961E-6    .003199  1.497E-5    .002006   9.8853E-6
  5.85  9.74E-4    5.3689E-6    .002786  1.4015E-5   .001752   9.2307E-6
  5.95  8.27E-4    4.9231E-6    .002386  1.2965E-5   .0015     8.5666E-6
  6.05  7.06E-4    4.5182E-6    .002066  1.2017E-5   .001307   7.9784E-6
  6.15  6.1E-4     4.1578E-6    .001788  1.1172E-5   .001137   7.4029E-6
  6.25  5.09E-4    3.7622E-6    .00152   1.0217E-5  9.71E-4    6.8527E-6
  6.35  4.38E-4    3.4521E-6    .001313  9.4362E-6  8.41E-4    6.3182E-6
  6.45  3.73E-4    3.1457E-6    .00113   8.6899E-6  7.28E-4    5.8629E-6
  6.55  3.111E-4   2.8449E-6   9.49E-4   7.9089E-6  6.13E-4    5.3569E-6
  6.65  2.627E-4   2.5897E-6   8.02E-4   7.2258E-6  5.17E-4    4.8573E-6
  6.75  2.156E-4   2.3139E-6   6.7E-4    6.5491E-6  4.34E-4    4.4273E-6
  6.85  1.784E-4   2.0654E-6   5.65E-4   5.9609E-6  3.716E-4   4.0857E-6
  6.95  1.491E-4   1.8615E-6   4.77E-4   5.4233E-6  3.139E-4   3.7284E-6
  7.05  1.251E-4   1.6831E-6   4.07E-4   4.949E-6   2.689E-4   3.406E-6
  7.15  9.52E-5    1.4374E-6   3.17E-4   4.3387E-6  2.108E-4   3.0131E-6
  7.25  8.23E-5    1.325E-6    2.73E-4   3.9687E-6  1.822E-4   2.7696E-6
  7.35  6.66E-5    1.1774E-6   2.222E-4  3.5576E-6  1.476E-4   2.4651E-6
  7.45  5.82E-5    1.077E-6    1.983E-4  3.3141E-6  1.333E-4   2.309E-6
  7.55  4.55E-5    9.3706E-7   1.594E-4  2.9359E-6  1.08E-4    2.0749E-6
  7.65  3.82E-5    8.4234E-7   1.378E-4  2.7025E-6  9.37E-5    1.9182E-6
  7.75  3.121E-5   7.5015E-7   1.13E-4   2.4189E-6  7.75E-5    1.7362E-6
  7.85  2.567E-5   6.6847E-7   9.42E-5   2.1864E-6  6.45E-5    1.5498E-6
  7.95  2.095E-5   5.8815E-7   7.77E-5   1.9657E-6  5.31E-5    1.3938E-6
  8.05  1.582E-5   5.0046E-7   6.15E-5   1.7229E-6  4.27E-5    1.2431E-6
  8.15  1.396E-5   4.6747E-7   5.5E-5    1.6169E-6  3.83E-5    1.1625E-6
  8.25  1.183E-5   4.2758E-7   4.61E-5   1.4595E-6  3.217E-5   1.0611E-6
