   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
   .05  6.43E-4    6.43E-4     .002868   .002868  2.25E-4    2.25E-4
   .15   .0015104  3.533E-4    .00873    .001907  9.521E-4   2.174E-4
   .25   .003539   3.895E-4    .0176     .001623   .002209   2.195E-4
   .35   .007229   4.088E-4    .03279    .001565   .004436   2.282E-4
   .45   .01623    4.904E-4    .067      .001728   .009816   2.748E-4
   .55   .02729    5.185E-4    .1088     .001793   .01691    3.02E-4
   .65   .04027    5.457E-4    .1516     .001764   .02504    3.206E-4
   .75   .05469    5.622E-4    .1944     .001727   .03339    3.264E-4
   .85   .0665     5.61E-4     .226      .001626   .04017    3.216E-4
   .95   .0728     5.35E-4     .236      .001485   .04344    3.076E-4
  1.05   .0765     5.07E-4     .236      .001331   .04504    2.852E-4
  1.15   .0773     4.75E-4     .227      .001182   .04436    2.624E-4
  1.25   .0773     4.46E-4     .2156     .001055   .04344    2.423E-4
  1.35   .076      4.16E-4     .2028    9.35E-4    .0421     2.23E-4
  1.45   .0739     3.92E-4     .1861    8.33E-4    .0396     2.045E-4
  1.55   .0716     3.68E-4     .1717    7.44E-4    .0375     1.875E-4
  1.65   .0685     3.42E-4     .157     6.62E-4    .0349     1.723E-4
  1.75   .0651     3.15E-4     .1425    5.89E-4    .0326     1.571E-4
  1.85   .063      3E-4        .1313    5.31E-4    .0303     1.445E-4
  1.95   .0602     2.79E-4     .1202    4.79E-4    .0283     1.338E-4
  2.05   .0574     2.61E-4     .1109    4.37E-4    .0263     1.239E-4
  2.15   .0554     2.47E-4     .1026    3.983E-4   .0247     1.151E-4
  2.25   .052      2.305E-4    .0935    3.64E-4    .0227     1.066E-4
  2.35   .0499     2.162E-4    .0869    3.324E-4   .0214     9.86E-5
  2.45   .0475     2.03E-4     .0803    3.043E-4   .01997    9.16E-5
  2.55   .0451     1.877E-4    .0744    2.784E-4   .01869    8.49E-5
  2.65   .0436     1.788E-4    .07      2.593E-4   .01778    7.98E-5
  2.75   .0411     1.663E-4    .0647    2.384E-4   .01658    7.36E-5
  2.85   .0388     1.559E-4    .0598    2.191E-4   .01545    6.82E-5
  2.95   .0371     1.477E-4    .056     2.049E-4   .01462    6.41E-5
  3.05   .0352     1.38E-4     .0523    1.893E-4   .01375    5.98E-5
  3.15   .033      1.288E-4    .0485    1.76E-4    .01293    5.58E-5
  3.25   .03133    1.213E-4    .0455    1.643E-4   .01222    5.24E-5
  3.35   .02953    1.141E-4    .0422    1.526E-4   .0114     4.87E-5
  3.45   .02787    1.078E-4    .03957   1.435E-4   .01076    4.6E-5
  3.55   .02577    1.007E-4    .03639   1.34E-4    .00998    4.3E-5
  3.65   .02434    9.46E-5     .0339    1.246E-4   .00936    4.03E-5
