   R    RHORPP_C9  DRHORPP_C9  RHORNP_C9  DRHORNP_C9  RHORNN_C9  DRHORNN_C9
   .05  9.689E-4    6.934E-4    .004664     .003296   3.381E-4   2.643E-4
   .15   .002067    4.711E-4    .00901      .00171    8.673E-4   1.921E-4
   .25   .003596    3.491E-4    .01489      .001327    .0013388  1.395E-4
   .35   .007178    3.776E-4    .02617      .00125     .002565   1.408E-4
   .45   .01557     4.435E-4    .05187      .00134     .005496   1.661E-4
   .55   .02757     5.042E-4    .0844       .001393    .009484   1.832E-4
   .65   .0417      5.364E-4    .1201       .001384    .01418    1.929E-4
   .75   .05473     5.389E-4    .1514       .001333    .01894    1.977E-4
   .85   .0676      5.409E-4    .1772       .001266    .02306    1.973E-4
   .95   .0745      5.22E-4     .1867       .001154    .02515    1.876E-4
  1.05   .0785      4.97E-4     .1876       .001045    .02624    1.754E-4
  1.15   .081       4.7E-4      .1847      9.36E-4     .02693    1.648E-4
  1.25   .0801      4.36E-4     .1741      8.29E-4     .02626    1.5E-4
  1.35   .0782      4.08E-4     .1611      7.36E-4     .02519    1.376E-4
  1.45   .0768      3.86E-4     .1504      6.59E-4     .02429    1.27E-4
  1.55   .0747      3.61E-4     .1394      5.85E-4     .02306    1.153E-4
  1.65   .0726      3.4E-4      .1295      5.27E-4     .02191    1.061E-4
  1.75   .0699      3.17E-4     .1188      4.72E-4     .02053    9.7E-5
  1.85   .0668      2.97E-4     .1091      4.261E-4    .01932    8.89E-5
  1.95   .0642      2.77E-4     .1009      3.843E-4    .01809    8.13E-5
  2.05   .0613      2.59E-4     .0925      3.463E-4    .01678    7.42E-5
  2.15   .0586      2.44E-4     .0854      3.171E-4    .01557    6.83E-5
  2.25   .0561      2.287E-4    .0789      2.89E-4     .01448    6.27E-5
  2.35   .0528      2.133E-4    .0721      2.621E-4    .01334    5.73E-5
  2.45   .0507      2.003E-4    .0671      2.403E-4    .01247    5.28E-5
  2.55   .0482      1.877E-4    .0619      2.196E-4    .01149    4.82E-5
  2.65   .0454      1.752E-4    .0568      2.014E-4    .01054    4.41E-5
  2.75   .0429      1.633E-4    .0524      1.847E-4    .00974    4.08E-5
  2.85   .0407      1.541E-4    .0487      1.715E-4    .00902    3.76E-5
