   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
 0.050   4.5634E-03   1.4686E-03    3.8493E-02   7.3183E-03
 0.150   7.7189E-03   7.8039E-04    5.1463E-02   3.7529E-03
 0.250   1.6749E-02   7.9055E-04    9.5039E-02   3.4803E-03
 0.350   3.6268E-02   1.0029E-03    1.9338E-01   4.0044E-03
 0.450   7.0806E-02   1.1657E-03    3.5360E-01   4.7553E-03
 0.550   1.2454E-01   1.3869E-03    5.8438E-01   5.3396E-03
 0.650   1.8663E-01   1.5398E-03    8.3433E-01   5.5786E-03
 0.750   2.4898E-01   1.5982E-03    1.0548E+00   5.5839E-03
 0.850   2.9980E-01   1.6077E-03    1.2157E+00   5.4650E-03
 0.950   3.3839E-01   1.5365E-03    1.3028E+00   5.1462E-03
 1.050   3.5947E-01   1.4487E-03    1.3157E+00   4.6774E-03
 1.150   3.7273E-01   1.3242E-03    1.2967E+00   4.1641E-03
 1.250   3.7913E-01   1.2555E-03    1.2522E+00   3.6655E-03
 1.350   3.8135E-01   1.1501E-03    1.1942E+00   3.2475E-03
 1.450   3.8279E-01   1.0616E-03    1.1371E+00   2.9008E-03
 1.550   3.8139E-01   1.0033E-03    1.0803E+00   2.5798E-03
 1.650   3.8010E-01   9.1200E-04    1.0273E+00   2.2487E-03
 1.750   3.7746E-01   8.6970E-04    9.7863E-01   2.0935E-03
 1.850   3.7612E-01   8.2498E-04    9.3618E-01   1.9010E-03
 1.950   3.7381E-01   8.0182E-04    8.9871E-01   1.7999E-03
 2.050   3.6980E-01   7.4637E-04    8.6579E-01   1.6321E-03
 2.150   3.6639E-01   7.0957E-04    8.3575E-01   1.5485E-03
 2.250   3.6132E-01   6.7932E-04    8.0506E-01   1.4313E-03
 2.350   3.5673E-01   6.4828E-04    7.7942E-01   1.3403E-03
 2.450   3.5234E-01   6.0964E-04    7.5736E-01   1.2923E-03
 2.550   3.4590E-01   6.0900E-04    7.3303E-01   1.2616E-03
