   R    INTERP(R,RHOLL,RL)   RHORNP  DRHORNP
   .05      5.2289E-4        .00119  5.34E-4
   .15      7.5168E-4       5.46E-4  1.36E-4
   .25       .0013699        .00151  1.38E-4
   .35       .0026544        .00266  1.31E-4
   .45       .0048363        .00496  1.39E-4
   .55       .0078249        .00805  1.45E-4
   .65       .01108          .0113   1.45E-4
   .75       .013859         .0139   1.39E-4
   .85       .015631         .0158   1.31E-4
   .95       .016279         .016    1.18E-4
  1.05       .016001         .016    1.06E-4
  1.15       .015111         .015    9.38E-5
  1.25       .013894         .0138   8.26E-5
  1.35       .012554         .0126   7.32E-5
  1.45       .011218         .0112   6.4E-5
  1.55       .0099547        .00991  5.64E-5
  1.65       .0087979        .00878  4.99E-5
  1.75       .0077585        .00781  4.44E-5
  1.85       .0068357        .00687  3.94E-5
  1.95       .0060226        .00603  3.5E-5
  2.05       .0053095        .00528  3.12E-5
  2.15       .0046857        .00463  2.79E-5
  2.25       .0041406        .00416  2.52E-5
  2.35       .0036645        .00368  2.27E-5
  2.45       .0032485        .00322  2.04E-5
  2.55       .0028847        .0029   1.86E-5
  2.65       .0025661        .00256  1.68E-5
  2.75       .0022867        .00229  1.53E-5
  2.85       .0020413        .00204  1.4E-5
  2.95       .0018254        .00183  1.28E-5
  3.05       .0016351        .00165  1.18E-5
  3.15       .001467         .00151  1.09E-5
  3.25       .0013183        .00132  9.88E-6
  3.35       .0011865        .00117  9.05E-6
  3.45       .0010694        .00107  8.39E-6
  3.55      9.6529E-4       9.61E-4  7.73E-6
  3.65      8.7252E-4       8.77E-4  7.18E-6
  3.75      7.897E-4        7.95E-4  6.66E-6
  3.85      7.1565E-4       7.03E-4  6.1E-6
  3.95      6.4934E-4       6.48E-4  5.71E-6
  4.05      5.8988E-4       5.84E-4  5.29E-6
  4.15      5.3646E-4       5.44E-4  4.99E-6
  4.25      4.8841E-4       4.91E-4  4.63E-6
  4.35      4.4513E-4       4.44E-4  4.3E-6
  4.45      4.0609E-4       4.12E-4  4.05E-6
  4.55      3.7084E-4       3.73E-4  3.77E-6
  4.65      3.3896E-4       3.41E-4  3.53E-6
  4.75      3.101E-4        3.03E-4  3.25E-6
  4.85      2.8394E-4       2.86E-4  3.1E-6
  4.95      2.602E-4        2.58E-4  2.88E-6
  5.05      2.3864E-4       2.36E-4  2.7E-6
  5.15      2.1904E-4       2.18E-4  2.55E-6
  5.25      2.0119E-4       1.99E-4  2.39E-6
  5.35      1.8493E-4       1.84E-4  2.25E-6
  5.45      1.7011E-4       1.69E-4  2.12E-6
  5.55      1.5657E-4       1.58E-4  2.01E-6
  5.65      1.4421E-4       1.48E-4  1.92E-6
  5.75      1.3291E-4       1.34E-4  1.79E-6
  5.85      1.2256E-4       1.21E-4  1.67E-6
  5.95      1.1309E-4       1.15E-4  1.6E-6
  6.05      1.0441E-4       1.04E-4  1.5E-6
  6.15      9.6447E-5       9.9E-5   1.44E-6
  6.25      8.9139E-5       8.84E-5  1.34E-6
  6.35      8.2427E-5       8.34E-5  1.28E-6
  6.45      7.6259E-5       7.63E-5  1.21E-6
  6.55      7.0587E-5       7.25E-5  1.16E-6
  6.65      6.5368E-5       6.62E-5  1.09E-6
  6.75      6.0562E-5       5.97E-5  1.02E-6
  6.85      5.6134E-5       5.59E-5  9.72E-7
  6.95      5.2052E-5       5.13E-5  9.18E-7
  7.05      4.8288E-5       4.85E-5  8.8E-7
  7.15      4.4814E-5       4.48E-5  8.33E-7
  7.25      4.1606E-5       4.27E-5  8.03E-7
  7.35      3.8642E-5       3.72E-5  7.39E-7
  7.45      3.5904E-5       3.5E-5   7.08E-7
  7.55      3.3371E-5       3.31E-5  6.79E-7
  7.65      3.1028E-5       3.07E-5  6.45E-7
  7.75      2.886E-5        2.88E-5  6.17E-7
  7.85      2.6852E-5       2.58E-5  5.76E-7
  7.95      2.4992E-5       2.35E-5  5.43E-7
  8.05      2.3269E-5       2.38E-5  5.41E-7
  8.15      2.1671E-5       2.13E-5  5.05E-7
  8.25      2.0189E-5       1.9E-5   4.71E-7
  8.35      1.8814E-5       1.85E-5  4.6E-7
  8.45      1.7537E-5       1.79E-5  4.47E-7
  8.55      1.6352E-5       1.59E-5  4.16E-7
  8.65      1.5251E-5       1.47E-5  3.95E-7
  8.75      1.4228E-5       1.47E-5  3.91E-7
  8.85      1.3278E-5       1.31E-5  3.65E-7
  8.95      1.2394E-5       1.22E-5  3.47E-7
  9.05      1.1571E-5       1.17E-5  3.37E-7
  9.15      1.0806E-5       1.09E-5  3.22E-7
