   R      RHORPPH    DRHORPPH    RHORNPH  DRHORNPH
   .05  1.3367E-4   7.7807E-5   5.827E-4  3.368E-4
   .15  3.7224E-4   4.991E-5     .001643  2.143E-4
   .25  7.643E-4    4.454E-5     .003126  1.787E-4
   .35   .0017084   4.94E-5      .006361  1.801E-4
   .45   .0033837   5.574E-5     .01161   1.882E-4
   .55   .005895    6.222E-5     .01879   1.941E-4
   .65   .008799    6.582E-5     .02659   1.946E-4
   .75   .011368    6.612E-5     .0329    1.865E-4
   .85   .013418    6.447E-5     .03766   1.744E-4
   .95   .014462    6.078E-5     .0393    1.593E-4
  1.05   .014574    5.587E-5     .03861   1.418E-4
  1.15   .014271    5.108E-5     .0368    1.263E-4
  1.25   .013631    4.63E-5      .03437   1.115E-4
  1.35   .012762    4.174E-5     .0311    9.77E-5
  1.45   .011757    3.762E-5     .0279    8.59E-5
  1.55   .010694    3.376E-5     .0248    7.53E-5
  1.65   .009751    3.04E-5      .02205   6.63E-5
  1.75   .008901    2.754E-5     .01964   5.88E-5
  1.85   .008       2.486E-5     .01722   5.19E-5
  1.95   .007175    2.239E-5     .01514   4.597E-5
  2.05   .006479    2.036E-5     .01342   4.096E-5
  2.15   .005753    1.831E-5     .01167   3.639E-5
  2.25   .005165    1.67E-5      .0103    3.256E-5
  2.35   .004596    1.51E-5      .00903   2.918E-5
  2.45   .004116    1.382E-5     .00794   2.619E-5
  2.55   .003644    1.254E-5     .00695   2.344E-5
  2.65   .00325     1.139E-5     .00613   2.116E-5
  2.75   .002868    1.038E-5     .00535   1.912E-5
  2.85   .002564    9.49E-6      .00472   1.724E-5
  2.95   .00226     8.63E-6      .00413   1.556E-5
  3.05   .001999    7.877E-6     .003619  1.413E-5
  3.15   .001797    7.267E-6     .003219  1.288E-5
  3.25   .001571    6.588E-6     .002786  1.159E-5
  3.35   .001392    6.046E-6     .002459  1.056E-5
  3.45   .001256    5.587E-6     .002185  9.67E-6
  3.55   .001103    5.098E-6     .001917  8.78E-6
  3.65  9.675E-4    4.662E-6     .001666  7.96E-6
  3.75  8.697E-4    4.319E-6     .001492  7.34E-6
  3.85  7.597E-4    3.936E-6     .001288  6.63E-6
  3.95  6.911E-4    3.672E-6     .001166  6.15E-6
  4.05  6.107E-4    3.366E-6     .001022  5.6E-6
  4.15  5.473E-4    3.13E-6     9.1E-4    5.17E-6
  4.25  4.861E-4    2.881E-6    8.03E-4   4.74E-6
  4.35  4.274E-4    2.645E-6    7.02E-4   4.32E-6
  4.45  3.761E-4    2.431E-6    6.15E-4   3.95E-6
  4.55  3.42E-4     2.275E-6    5.55E-4   3.67E-6
  4.65  3.032E-4    2.106E-6    4.89E-4   3.374E-6
  4.75  2.669E-4    1.94E-6     4.27E-4   3.077E-6
  4.85  2.381E-4    1.794E-6    3.8E-4    2.843E-6
  4.95  2.126E-4    1.66E-6     3.37E-4   2.624E-6
  5.05  1.916E-4    1.547E-6    3.023E-4  2.431E-6
  5.15  1.72E-4     1.449E-6    2.702E-4  2.244E-6
  5.25  1.52E-4     1.336E-6    2.355E-4  2.061E-6
  5.35  1.345E-4    1.237E-6    2.097E-4  1.907E-6
  5.45  1.202E-4    1.148E-6    1.857E-4  1.756E-6
  5.55  1.083E-4    1.074E-6    1.661E-4  1.632E-6
  5.65  9.58E-5     9.914E-7    1.461E-4  1.503E-6
  5.75  8.59E-5     9.245E-7    1.3E-4    1.39E-6
  5.85  7.666E-5    8.604E-7    1.155E-4  1.286E-6
  5.95  6.85E-5     8.024E-7    1.026E-4  1.193E-6
  6.05  6.036E-5    7.412E-7    9.01E-5   1.096E-6
  6.15  5.517E-5    6.984E-7    8.19E-5   1.03E-6
  6.25  4.852E-5    6.444E-7    7.18E-5   9.45E-7
  6.35  4.423E-5    6.068E-7    6.5E-5    8.85E-7
  6.45  3.991E-5    5.686E-7    5.84E-5   8.25E-7
  6.55  3.514E-5    5.273E-7    5.11E-5   7.6E-7
  6.65  3.139E-5    4.93E-7     4.56E-5   7.09E-7
  6.75  2.837E-5    4.613E-7    4.07E-5   6.57E-7
  6.85  2.582E-5    4.343E-7    3.71E-5   6.18E-7
  6.95  2.213E-5    3.957E-7    3.17E-5   5.62E-7
  7.05  1.991E-5    3.719E-7    2.855E-5  5.27E-7
  7.15  1.862E-5    3.545E-7    2.651E-5  4.99E-7
  7.25  1.603E-5    3.255E-7    2.267E-5  4.54E-7
  7.35  1.492E-5    3.095E-7    2.113E-5  4.33E-7
  7.45  1.342E-5    2.914E-7    1.888E-5  4.05E-7
  7.55  1.1563E-5   2.66E-7     1.617E-5  3.66E-7
  7.65  1.0863E-5   2.557E-7    1.513E-5  3.52E-7
  7.75  9.415E-6    2.337E-7    1.313E-5  3.22E-7
  7.85  8.457E-6    2.198E-7    1.173E-5  3E-7
  7.95  7.631E-6    2.063E-7    1.054E-5  2.82E-7
  8.05  6.789E-6    1.918E-7    9.39E-6   2.618E-7
  8.15  6.173E-6    1.817E-7    8.53E-6   2.467E-7
  8.25  5.705E-6    1.722E-7    7.81E-6   2.336E-7
  8.35  4.863E-6    1.562E-7    6.66E-6   2.106E-7
  8.45  4.44E-6     1.487E-7    6.06E-6   1.998E-7
  8.55  4.111E-6    1.416E-7    5.59E-6   1.904E-7
  8.65  3.462E-6    1.285E-7    4.68E-6   1.723E-7
  8.75  3.317E-6    1.245E-7    4.49E-6   1.661E-7
  8.85  2.943E-6    1.155E-7    3.99E-6   1.546E-7
  8.95  2.679E-6    1.094E-7    3.62E-6   1.456E-7
  9.05  2.259E-6    9.89E-8     3.04E-6   1.313E-7
  9.15  2.24E-6     9.799E-8    3.01E-6   1.297E-7
  9.25  1.942E-6    8.985E-8    2.579E-6  1.183E-7
  9.35  1.636E-6    8.194E-8    2.215E-6  1.09E-7
  9.45  1.458E-6    7.673E-8    1.976E-6  1.022E-7
  9.55  1.386E-6    7.396E-8    1.858E-6  9.76E-8
  9.65  1.216E-6    6.863E-8    1.613E-6  8.97E-8
  9.75  1.1222E-6   6.499E-8    1.493E-6  8.55E-8
  9.85  1.0674E-6   6.242E-8    1.442E-6  8.34E-8
  9.95  8.584E-7    5.624E-8    1.143E-6  7.37E-8
 10.05  8.382E-7    5.527E-8    1.116E-6  7.21E-8
 10.15  7.855E-7    5.226E-8    1.045E-6  6.88E-8
 10.25  5.581E-7    4.338E-8    7.45E-7   5.72E-8
 10.35  6.541E-7    4.66E-8     8.69E-7   6.11E-8
 10.45  6.062E-7    4.51E-8     8.15E-7   5.96E-8
 10.55  4.373E-7    3.76E-8     5.93E-7   5.01E-8
 10.65  4.264E-7    3.708E-8    5.69E-7   4.87E-8
 10.75  3.726E-7    3.368E-8    5.09E-7   4.52E-8
 10.85  3.714E-7    3.385E-8    5.08E-7   4.55E-8
 10.95  3.131E-7    3.05E-8     4.23E-7   4.06E-8
 11.05  2.392E-7    2.711E-8    3.21E-7   3.57E-8
 11.15  2.155E-7    2.482E-8    2.9E-7    3.29E-8
 11.25  1.963E-7    2.339E-8    2.69E-7   3.15E-8
 11.35  1.804E-7    2.246E-8    2.518E-7  3.08E-8
 11.45  2.195E-7    2.42E-8     3.03E-7   3.3E-8
 11.55  1.846E-7    2.24E-8     2.51E-7   3E-8
 11.65  1.67E-7     2.121E-8    2.26E-7   2.82E-8
 11.75  1.442E-7    1.926E-8    1.959E-7  2.571E-8
 11.85  1.321E-7    1.824E-8    1.796E-7  2.44E-8
 11.95  1.158E-7    1.736E-8    1.515E-7  2.254E-8
 12.05  9.938E-8    1.544E-8    1.363E-7  2.094E-8
 12.15  1.029E-7    1.558E-8    1.45E-7   2.164E-8
 12.25  9.826E-8    1.52E-8     1.351E-7  2.053E-8
 12.35  6.397E-8    1.191E-8    9.26E-8   1.705E-8
 12.45  6.169E-8    1.169E-8    8.72E-8   1.629E-8
