   R      RHORPP      DRHORPP     RHORNP    DRHORNP     RHORNN    DRHORNN
   .05  1.2944E-4   9.889E-5     .001931    .001368   3.27E-4    2.443E-4
   .15  6.547E-4    1.1312E-4    .005122   8.24E-4     .0010466  2.4619E-4
   .25   .0010552   8.793E-5     .00823    6.289E-4    .001894   1.9826E-4
   .35   .0022767   9.443E-5     .01672    6.38E-4     .00397    2.0067E-4
   .45   .004253    1.0249E-4    .02925    6.5E-4      .007397   2.173E-4
   .55   .007341    1.1297E-4    .04771    6.72E-4     .013353   2.484E-4
   .65   .011247    1.2123E-4    .0694     6.8E-4      .02047    2.642E-4
   .75   .014689    1.22E-4      .0872     6.56E-4     .0271     2.7E-4
   .85   .01739     1.209E-4     .1005     6.2E-4      .03252    2.646E-4
   .95   .01886     1.136E-4     .1061     5.67E-4     .0356     2.506E-4
  1.05   .01937     1.054E-4     .1063     5.125E-4    .03656    2.323E-4
  1.15   .01908     9.58E-5      .1023     4.558E-4    .03639    2.139E-4
  1.25   .0181      8.59E-5      .0953     4.002E-4    .0355     1.988E-4
  1.35   .01707     7.8E-5       .0885     3.565E-4    .034      1.808E-4
  1.45   .01562     6.94E-5      .0797     3.124E-4    .03221    1.67E-4
  1.55   .01435     6.19E-5      .0722     2.757E-4    .03018    1.534E-4
  1.65   .0129      5.5E-5       .0647     2.437E-4    .02828    1.422E-4
  1.75   .01156     4.899E-5     .0579     2.166E-4    .02624    1.31E-4
  1.85   .01039     4.377E-5     .0519     1.93E-4     .02435    1.207E-4
  1.95   .00925     3.895E-5     .0466     1.72E-4     .0228     1.127E-4
  2.05   .00807     3.443E-5     .0414     1.543E-4    .02123    1.048E-4
  2.15   .00705     3.067E-5     .03686    1.381E-4    .01959    9.73E-5
  2.25   .00616     2.712E-5     .03282    1.24E-4     .01826    9.13E-5
  2.35   .00537     2.408E-5     .02942    1.115E-4    .01692    8.44E-5
  2.45   .004642    2.137E-5     .02613    1.009E-4    .01573    7.91E-5
  2.55   .003977    1.894E-5     .02331    9.14E-5     .01457    7.37E-5
  2.65   .003442    1.689E-5     .021      8.33E-5     .01362    6.93E-5
  2.75   .002973    1.487E-5     .01885    7.56E-5     .01277    6.49E-5
  2.85   .002548    1.331E-5     .01702    6.91E-5     .01194    6.1E-5
  2.95   .002176    1.176E-5     .01523    6.29E-5     .01115    5.72E-5
  3.05   .001856    1.039E-5     .01392    5.79E-5     .01053    5.4E-5
  3.15   .001584    9.26E-6      .01246    5.28E-5     .00973    5.03E-5
  3.25   .001361    8.19E-6      .01133    4.84E-5     .00915    4.72E-5
  3.35   .001131    7.17E-6      .0102     4.44E-5     .00861    4.47E-5
  3.45  9.86E-4     6.46E-6      .00936    4.13E-5     .00807    4.21E-5
  3.55  8.29E-4     5.68E-6      .00847    3.79E-5     .00756    3.97E-5
  3.65  7.11E-4     5.08E-6      .00774    3.514E-5    .00706    3.73E-5
  3.75  6.03E-4     4.517E-6     .00709    3.253E-5    .00666    3.53E-5
