   R       RHORPP      DRHORPP    RHORNP    DRHORNP   RHORNN    DRHORNN
   .05   0           0           0         0         0         0
   .15   2.759E-4    1.6835E-4    .005472   .002743   .001079  5.44E-4
   .25   9.113E-4    2.12E-4      .01132    .002322   .002857  6.595E-4
   .35    .002548    2.941E-4     .02764    .002579   .007845  8.33E-4
   .45    .005284    3.483E-4     .04519    .002518   .01328   8.611E-4
   .55    .009029    3.746E-4     .077      .002655   .0263     .001058
   .65    .01236     3.701E-4     .105      .002595   .03816    .001092
   .75    .01671     3.945E-4     .1301     .002509   .04952    .001121
   .85    .02008     3.883E-4     .1519     .002351   .0614     .001112
   .95    .02212     3.676E-4     .1626     .002152   .0698     .00109
  1.05    .02304     3.417E-4     .1633     .001938   .0725     .001018
  1.15    .02364     3.22E-4      .1615     .001759   .076     9.82E-4
  1.25    .02313     2.923E-4     .1536     .001564   .0756    9.09E-4
  1.35    .02231     2.65E-4      .1465     .001382   .0759    8.52E-4
  1.45    .02135     2.44E-4      .137      .001252   .0757    8.3E-4
  1.55    .02009     2.206E-4     .1274     .001115   .0733    7.62E-4
  1.65    .01944     2.025E-4     .12       .001008   .0732    7.28E-4
  1.75    .01834     1.863E-4     .1127    9.22E-4    .0728    7.06E-4
  1.85    .01689     1.687E-4     .1037    8.32E-4    .0701    6.61E-4
  1.95    .01584     1.531E-4     .0967    7.53E-4    .0681    6.21E-4
  2.05    .01473     1.407E-4     .0906    6.9E-4     .0669    5.95E-4
  2.15    .01369     1.272E-4     .0846    6.27E-4    .0651    5.62E-4
  2.25    .01292     1.181E-4     .0791    5.76E-4    .0632    5.34E-4
  2.35    .01197     1.07E-4      .0744    5.3E-4     .0615    5.05E-4
  2.45    .01121     9.89E-5      .0697    4.84E-4    .0599    4.75E-4
  2.55    .01039     9.06E-5      .0657    4.54E-4    .0582    4.59E-4
  2.65    .00965     8.38E-5      .0619    4.24E-4    .0565    4.39E-4
  2.75    .00884     7.53E-5      .0577    3.876E-4   .0545    4.15E-4
  2.85    .00817     7.03E-5      .0537    3.605E-4   .0521    3.9E-4
  2.95    .00761     6.4E-5       .0511    3.333E-4   .051     3.72E-4
  3.05    .00703     5.91E-5      .048     3.112E-4   .0491    3.54E-4
  3.15    .00644     5.47E-5      .0446    2.903E-4   .0468    3.35E-4
  3.25    .00609     5.06E-5      .0428    2.733E-4   .0461    3.22E-4
  3.35    .0055      4.65E-5      .03966   2.536E-4   .0437    3.06E-4
  3.45    .00508     4.31E-5      .03715   2.365E-4   .0419    2.907E-4
  3.55    .0047      3.98E-5      .03493   2.221E-4   .04      2.756E-4
  3.65    .00426     3.66E-5      .03244   2.074E-4   .0381    2.614E-4
  3.75    .00388     3.37E-5      .03033   1.956E-4   .0364    2.5E-4
  3.85    .00369     3.19E-5      .02888   1.837E-4   .0353    2.377E-4
  3.95    .00321     2.861E-5     .02607   1.69E-4    .03243   2.226E-4
  4.05    .002956    2.667E-5     .0245    1.613E-4   .03116   2.151E-4
  4.15    .002677    2.445E-5     .02278   1.519E-4   .0295    2.065E-4
  4.25    .002424    2.262E-5     .02092   1.4E-4     .02742   1.923E-4
  4.35    .00216     2.091E-5     .01931   1.313E-4   .02586   1.822E-4
  4.45    .001964    1.923E-5     .01787   1.239E-4   .02458   1.761E-4
  4.55    .001733    1.768E-5     .01639   1.164E-4   .02275   1.657E-4
  4.65    .001563    1.611E-5     .01507   1.094E-4   .02119   1.58E-4
  4.75    .001405    1.486E-5     .01386   1.019E-4   .01999   1.509E-4
  4.85    .001241    1.361E-5     .01271   9.66E-5    .0186    1.438E-4
  4.95    .001095    1.237E-5     .01145   8.87E-5    .01713   1.358E-4
  5.05   9.76E-4     1.142E-5     .01048   8.33E-5    .01603   1.295E-4
  5.15   8.79E-4     1.069E-5     .00975   8E-5       .01496   1.237E-4
  5.25   7.78E-4     9.71E-6      .00885   7.35E-5    .01382   1.155E-4
  5.35   6.76E-4     8.83E-6      .00797   6.89E-5    .01277   1.107E-4
