   R      RHORPP     DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
   .05   4.931E-4   2.898E-4    .005079   .002546  7.94E-4    4.261E-4
   .15   5.412E-4   1.0969E-4   .006171   .00106    .0010143  1.8298E-4
   .25    .001113   9.941E-5    .01134   8.61E-4    .0021303  1.7044E-4
   .35    .002502   1.0924E-4   .02348   8.79E-4    .004697   1.8635E-4
   .45    .004997   1.2526E-4   .04318   9.19E-4    .009395   2.128E-4
   .55    .008774   1.387E-4    .0701    9.51E-4    .016172   2.348E-4
   .65    .012739   1.45E-4     .0979    9.43E-4    .02388    2.469E-4
   .75    .01722    1.495E-4    .1248    9.17E-4    .03191    2.525E-4
   .85    .02052    1.471E-4    .1438    8.62E-4    .03785    2.471E-4
   .95    .02221    1.392E-4    .1494    7.83E-4    .04075    2.36E-4
  1.05    .02308    1.311E-4    .1489    7.02E-4    .04207    2.201E-4
  1.15    .02304    1.216E-4    .1433    6.28E-4    .04198    2.04E-4
  1.25    .02205    1.108E-4    .1314    5.49E-4    .0398     1.861E-4
  1.35    .02161    1.029E-4    .1237    4.9E-4     .03876    1.726E-4
  1.45    .02028    9.39E-5     .1123    4.305E-4   .03652    1.591E-4
  1.55    .01894    8.57E-5     .1009    3.802E-4   .03392    1.46E-4
  1.65    .01771    7.88E-5     .0911    3.373E-4   .03176    1.355E-4
  1.75    .01637    7.21E-5     .0816    3E-4       .02937    1.248E-4
  1.85    .0153     6.68E-5     .0738    2.679E-4   .02741    1.161E-4
  1.95    .01417    6.14E-5     .0665    2.392E-4   .02551    1.073E-4
  2.05    .01313    5.69E-5     .0598    2.155E-4   .0237     1.001E-4
  2.15    .01208    5.24E-5     .0535    1.929E-4   .0219     9.28E-5
  2.25    .01118    4.85E-5     .0483    1.74E-4    .02035    8.66E-5
  2.35    .01037    4.53E-5     .0436    1.588E-4   .01898    8.12E-5
  2.45    .00956    4.17E-5     .03915   1.435E-4   .01749    7.51E-5
  2.55    .00893    3.89E-5     .03571   1.308E-4   .01645    7.06E-5
  2.65    .00839    3.64E-5     .03278   1.204E-4   .01557    6.65E-5
  2.75    .00776    3.37E-5     .02969   1.096E-4   .01449    6.21E-5
  2.85    .0072     3.14E-5     .02712   1.008E-4   .0136     5.82E-5
  2.95    .00672    2.92E-5     .02478   9.25E-5    .01276    5.44E-5
  3.05    .00629    2.72E-5     .02284   8.53E-5    .01204    5.12E-5
  3.15    .00588    2.53E-5     .02101   7.86E-5    .01135    4.8E-5
  3.25    .00556    2.371E-5    .0196    7.33E-5    .01082    4.53E-5
  3.35    .00524    2.222E-5    .01817   6.81E-5    .01025    4.26E-5
  3.45    .00487    2.07E-5     .01684   6.33E-5    .00966    4.02E-5
  3.55    .00457    1.939E-5    .01554   5.88E-5    .00907    3.76E-5
  3.65    .00427    1.81E-5     .01437   5.49E-5    .00856    3.55E-5
  3.75    .00401    1.692E-5    .01344   5.15E-5    .00811    3.35E-5
  3.85    .00373    1.598E-5    .01246   4.82E-5    .00761    3.18E-5
  3.95    .00345    1.477E-5    .01147   4.49E-5    .00709    2.969E-5
  4.05    .003214   1.395E-5    .01061   4.22E-5    .00663    2.804E-5
  4.15    .002968   1.295E-5    .0098    3.933E-5   .00619    2.642E-5
  4.25    .002707   1.208E-5    .00896   3.68E-5    .0057     2.477E-5
  4.35    .002487   1.122E-5    .00819   3.427E-5   .00526    2.314E-5
  4.45    .002278   1.05E-5     .00751   3.215E-5   .00486    2.185E-5
  4.55    .002083   9.77E-6     .00685   3.004E-5   .00448    2.044E-5
  4.65    .001912   9.16E-6     .00629   2.818E-5   .00413    1.931E-5
