   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
 0.050   2.3208E-03   3.9985E-04    1.2390E-02   1.9468E-03
 0.150   3.0919E-03   2.2400E-04    2.1497E-02   1.0966E-03
 0.250   6.5803E-03   2.2762E-04    3.9498E-02   1.0223E-03
 0.350   1.4176E-02   2.5296E-04    7.7050E-02   1.0857E-03
 0.450   2.7036E-02   3.1317E-04    1.3962E-01   1.2694E-03
 0.550   4.7140E-02   3.5601E-04    2.2500E-01   1.3893E-03
 0.650   7.1015E-02   3.8718E-04    3.2389E-01   1.4604E-03
 0.750   9.4385E-02   4.2140E-04    4.1170E-01   1.5069E-03
 0.850   1.1216E-01   3.9724E-04    4.6760E-01   1.4063E-03
 0.950   1.2514E-01   3.8895E-04    4.9976E-01   1.3079E-03
 1.050   1.3143E-01   3.6159E-04    5.0163E-01   1.1954E-03
 1.150   1.3398E-01   3.2817E-04    4.8746E-01   1.0282E-03
 1.250   1.3460E-01   3.1398E-04    4.6389E-01   8.9422E-04
 1.350   1.3265E-01   2.8015E-04    4.3622E-01   8.0695E-04
 1.450   1.3121E-01   2.6412E-04    4.1056E-01   7.0499E-04
 1.550   1.2782E-01   2.3944E-04    3.8278E-01   6.1656E-04
 1.650   1.2513E-01   2.2654E-04    3.5823E-01   5.6259E-04
 1.750   1.2245E-01   2.1405E-04    3.3548E-01   5.1820E-04
 1.850   1.1930E-01   1.9559E-04    3.1413E-01   4.6685E-04
 1.950   1.1636E-01   1.8479E-04    2.9633E-01   4.2660E-04
 2.050   1.1306E-01   1.7554E-04    2.7863E-01   3.9543E-04
 2.150   1.0992E-01   1.6363E-04    2.6298E-01   3.5034E-04
 2.250   1.0642E-01   1.5360E-04    2.4875E-01   3.2972E-04
 2.350   1.0299E-01   1.4501E-04    2.3555E-01   3.0996E-04
 2.450   9.9155E-02   1.3657E-04    2.2292E-01   2.8784E-04
 2.550   9.5554E-02   1.2548E-04    2.1116E-01   2.6833E-04
 2.650   9.1850E-02   1.1791E-04    2.0061E-01   2.4573E-04
 2.750   8.7943E-02   1.1195E-04    1.9003E-01   2.2866E-04
 2.850   8.3688E-02   1.0239E-04    1.7985E-01   2.1327E-04
 2.950   7.9651E-02   9.5407E-05    1.6995E-01   2.0187E-04
 3.050   7.5444E-02   9.0197E-05    1.6016E-01   1.8359E-04
 3.150   7.1068E-02   8.2304E-05    1.5002E-01   1.7533E-04
 3.250   6.6269E-02   7.7450E-05    1.4037E-01   1.6187E-04
 3.350   6.3193E-02   7.3883E-05    1.3050E-01   1.5543E-04
 3.450   5.8355E-02   6.9831E-05    1.2125E-01   1.4253E-04
 3.550   5.3878E-02   6.3163E-05    1.1189E-01   1.3247E-04
 3.650   4.9762E-02   6.1022E-05    1.0324E-01   1.2847E-04
 3.750   4.5630E-02   5.6659E-05    9.4670E-02   1.1610E-04
 3.850   4.1708E-02   5.3913E-05    8.6575E-02   1.0902E-04
 3.950   3.7874E-02   5.0398E-05    7.8686E-02   1.0168E-04
 4.050   3.4356E-02   4.7068E-05    7.1421E-02   9.6042E-05
 4.150   3.0938E-02   4.3868E-05    6.4465E-02   9.0455E-05
 4.250   2.7817E-02   4.1732E-05    5.8092E-02   8.4220E-05
 4.350   2.4857E-02   3.8259E-05    5.1872E-02   7.9771E-05
 4.450   2.2139E-02   3.6378E-05    4.6404E-02   7.4031E-05
 4.550   1.9574E-02   3.3429E-05    4.1156E-02   6.8859E-05
 4.650   1.7241E-02   3.0973E-05    3.6420E-02   6.3289E-05
 4.750   1.5217E-02   2.8831E-05    3.2206E-02   5.9052E-05
 4.850   1.3287E-02   2.6556E-05    2.8111E-02   5.5503E-05
 4.950   1.1598E-02   2.4839E-05    2.4640E-02   4.9736E-05
 5.050   1.0029E-02   2.2277E-05    2.1408E-02   4.6557E-05
 5.150   8.6877E-03   2.0671E-05    1.8686E-02   4.2839E-05
 5.250   7.4831E-03   1.9512E-05    1.6146E-02   4.0249E-05
 5.350   6.4456E-03   1.7769E-05    1.3907E-02   3.6845E-05
 5.450   5.5290E-03   1.5873E-05    1.1963E-02   3.2941E-05
 5.550   4.6803E-03   1.4725E-05    1.0178E-02   3.0382E-05
 5.650   3.9696E-03   1.3290E-05    8.7398E-03   2.7727E-05
 5.750   3.3761E-03   1.2378E-05    7.4188E-03   2.6219E-05
 5.850   2.8604E-03   1.1262E-05    6.2988E-03   2.3065E-05
 5.950   2.3848E-03   1.0194E-05    5.2755E-03   2.1422E-05
 6.050   2.0289E-03   9.0928E-06    4.4997E-03   1.9795E-05
 6.150   1.6879E-03   8.3861E-06    3.7880E-03   1.7980E-05
 6.250   1.4230E-03   7.6187E-06    3.1612E-03   1.5954E-05
 6.350   1.1854E-03   7.0782E-06    2.6571E-03   1.4913E-05
 6.450   9.9286E-04   6.3603E-06    2.2268E-03   1.3827E-05
 6.550   8.1759E-04   5.7187E-06    1.8535E-03   1.2512E-05
 6.650   6.8325E-04   5.3546E-06    1.5446E-03   1.1467E-05
 6.750   5.6196E-04   4.9193E-06    1.2890E-03   1.0506E-05
 6.850   4.7342E-04   4.5112E-06    1.0747E-03   9.4402E-06
 6.950   3.8824E-04   4.1531E-06    8.9645E-04   8.6658E-06
 7.050   3.2084E-04   3.7481E-06    7.3536E-04   8.0264E-06
 7.150   2.6667E-04   3.4165E-06    6.1767E-04   7.2061E-06
 7.250   2.2024E-04   3.1299E-06    5.1247E-04   6.7138E-06
 7.350   1.8025E-04   3.0652E-06    4.2286E-04   6.2868E-06
 7.450   1.5024E-04   2.6341E-06    3.3900E-04   5.4183E-06
 7.550   1.2255E-04   2.4597E-06    2.9337E-04   5.4811E-06
 7.650   1.0327E-04   2.4173E-06    2.3673E-04   4.8935E-06
 7.750   8.3472E-05   2.0821E-06    1.9626E-04   4.3881E-06
 7.850   7.0022E-05   2.0234E-06    1.6195E-04   4.1474E-06
 7.950   5.7080E-05   1.7681E-06    1.3245E-04   3.8643E-06
 8.050   4.7941E-05   1.6965E-06    1.1149E-04   3.5137E-06
 8.150   3.9646E-05   1.5923E-06    8.6314E-05   3.2882E-06
 8.250   3.2951E-05   1.4345E-06    7.1890E-05   2.9750E-06
 8.350   2.5811E-05   1.2614E-06    5.9439E-05   2.7687E-06
 8.450   2.0362E-05   1.1517E-06    4.8365E-05   2.5287E-06
 8.550   1.6918E-05   1.0415E-06    3.6036E-05   2.0587E-06
 8.650   1.4176E-05   1.0014E-06    3.4372E-05   2.2542E-06
 8.750   1.2404E-05   1.0486E-06    2.7143E-05   1.8747E-06
 8.850   9.3225E-06   7.7869E-07    2.1342E-05   1.7077E-06
 8.950   8.0146E-06   7.6051E-07    1.7091E-05   1.7373E-06
 9.050   7.2612E-06   8.6900E-07    1.3864E-05   1.4154E-06
 9.150   5.0958E-06   5.6951E-07    1.3938E-05   1.7459E-06
 9.250   4.6556E-06   6.6788E-07    1.0185E-05   1.2345E-06
 9.350   3.4895E-06   5.6219E-07    8.2930E-06   1.1212E-06
 9.450   3.1124E-06   5.4554E-07    4.8620E-06   9.3928E-07
 9.550   2.8612E-06   5.2286E-07    6.8887E-06   1.1774E-06
 9.650   2.1143E-06   3.6717E-07    5.3668E-06   8.9026E-07
 9.750   1.4302E-06   3.4022E-07    3.5545E-06   8.9076E-07
 9.850   1.2146E-06   2.6746E-07    3.8620E-06   8.1547E-07
 9.950   9.9632E-07   2.2942E-07    2.7288E-06   6.6967E-07
10.050   7.2168E-07   2.5916E-07    2.7206E-06   6.4505E-07
10.150   8.5032E-07   3.1062E-07    1.3475E-06   4.8957E-07
10.250   6.4076E-07   1.7926E-07    4.6808E-07   3.5114E-07
10.350   3.9480E-07   1.5425E-07    4.4804E-07   3.6123E-07
10.450   3.3725E-07   1.3000E-07    8.3768E-07   4.7142E-07
10.550   2.3131E-07   6.4294E-08    1.0303E-06   4.5127E-07
10.650   2.2431E-07   1.5545E-07    7.4265E-07   3.7627E-07
10.750   1.6225E-07   1.5652E-07    2.2802E-07   2.5642E-07
10.850   2.2072E-07   1.1384E-07    2.7998E-07   2.0604E-07
10.950   1.0740E-07   5.6746E-08   -2.4243E-08   1.5748E-07
11.050   1.0330E-07   9.5861E-08    8.3540E-07   3.7423E-07
11.150   7.6904E-08   9.4311E-08    4.3446E-07   2.3755E-07
11.250   4.6176E-08   3.6593E-08    1.2211E-07   1.1395E-07
11.350   6.0353E-08   4.8256E-08    7.7193E-08   1.7997E-07
11.450   3.3288E-08   2.1636E-08    1.7279E-07   1.7564E-07
11.550   1.1531E-08   1.9701E-07   -4.7177E-08   8.0841E-08
11.650   3.6706E-08   2.9753E-08   -3.0618E-08   5.5689E-08
11.750   7.8255E-10   4.4917E-08   -2.0977E-08   1.6082E-08
11.850   7.8852E-09   1.2053E-08   -1.6768E-09   9.0499E-09
11.950   2.7190E-08   2.7078E-08    6.6705E-09   3.4667E-08
12.050  -3.5658E-09   6.6292E-08    7.7033E-09   1.5361E-08
12.150   9.2650E-09   7.7518E-09    1.2863E-08   5.9046E-08
12.250   1.0246E-08   1.9309E-09   -2.9216E-08   2.5979E-08
12.350   5.1466E-09   4.1167E-09   -1.4544E-08   1.6370E-08
12.450   1.1775E-08   1.0241E-08   -4.7090E-09   4.8631E-09
12.550   1.1223E-08   3.8571E-09    4.3537E-08   3.3725E-08
12.650   7.8947E-09   5.4839E-09    3.8197E-08   3.7038E-08
12.750   4.0190E-09   1.0798E-09    1.7414E-12   1.7372E-12
12.850   1.0050E-09   4.1076E-09   -2.8673E-09   3.0480E-09
12.950   2.6969E-09   1.2976E-09    2.7022E-11   2.6901E-11
13.050   5.9963E-09   1.7346E-09    5.1372E-10   6.6022E-10
13.150  -1.1115E-10   6.9270E-08   -3.7715E-09   3.5315E-09
13.250   0.0000E+00   0.0000E+00    3.3021E-10   3.3571E-10
13.350   3.0615E-09   6.1943E-09   -3.3716E-09   3.3694E-09
13.450   1.8258E-09   3.6872E-10    6.4655E-14   6.4623E-14
13.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
13.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
13.750   1.4595E-11   4.2436E-10   -2.2004E-08   1.9216E-08
13.850   0.0000E+00   0.0000E+00   -1.8358E-08   1.8278E-08
13.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
