   R      RHORP      DRHORP
   .05   .0746      .01181
   .15   .0634      .0041
   .25   .0569      .00235
   .35   .0606      .001741
   .45   .0638      .001383
   .55   .0635      .001132
   .65   .0667     9.87E-4
   .75   .0694     8.73E-4
   .85   .0722     7.83E-4
   .95   .0718     7E-4
  1.05   .0739     6.42E-4
  1.15   .0725     5.82E-4
  1.25   .0731     5.38E-4
  1.35   .0718     4.94E-4
  1.45   .0688     4.5E-4
  1.55   .0669     4.14E-4
  1.65   .0636     3.8E-4
  1.75   .0597     3.46E-4
  1.85   .0558     3.16E-4
  1.95   .0515     2.89E-4
  2.05   .047      2.63E-4
  2.15   .0423     2.38E-4
  2.25   .0379     2.149E-4
  2.35   .0333     1.935E-4
  2.45   .0293     1.747E-4
  2.55   .0251     1.549E-4
  2.65   .02151    1.391E-4
  2.75   .01856    1.249E-4
  2.85   .01521    1.096E-4
  2.95   .01281    9.75E-5
  3.05   .01062    8.67E-5
  3.15   .00852    7.49E-5
  3.25   .00692    6.55E-5
  3.35   .00562    5.78E-5
  3.45   .00449    5.01E-5
  3.55   .00366    4.45E-5
  3.65   .002864   3.84E-5
  3.75   .002299   3.33E-5
  3.85   .001817   2.91E-5
  3.95   .001408   2.476E-5
  4.05   .001118   2.163E-5
  4.15  8.78E-4    1.863E-5
  4.25  7.01E-4    1.63E-5
  4.35  5.7E-4     1.443E-5
  4.45  4.44E-4    1.246E-5
  4.55  3.353E-4   1.056E-5
  4.65  2.655E-4   9.22E-6
  4.75  2.101E-4   8E-6
  4.85  1.688E-4   7.05E-6
  4.95  1.314E-4   6.09E-6
  5.05  1.058E-4   5.37E-6
  5.15  7.43E-5    4.4E-6
  5.25  6.99E-5    4.19E-6
  5.35  5.13E-5    3.522E-6
  5.45  4.227E-5   3.12E-6
  5.55  3.265E-5   2.704E-6
  5.65  2.706E-5   2.43E-6
  5.75  2.311E-5   2.208E-6
  5.85  1.544E-5   1.782E-6
  5.95  1.264E-5   1.571E-6
  6.05  8.32E-6    1.25E-6
  6.15  7.89E-6    1.21E-6
  6.25  5.88E-6    1.017E-6
  6.35  6.02E-6    1.019E-6
  6.45  3.737E-6   7.9E-7
  6.55  3.048E-6   7.07E-7
  6.65  3.237E-6   7E-7
  6.75  1.771E-6   5.2E-7
  6.85  9.28E-7    3.595E-7
  6.95  1.675E-6   4.88E-7
  7.05  3.75E-7    2.226E-7
  7.15  9.73E-7    3.636E-7
  7.25  5.92E-7    2.734E-7
  7.35  4.606E-7   2.312E-7
  7.45  2.242E-7   1.7E-7
  7.55  2.183E-7   1.539E-7
  7.65  1.0629E-7  1.0629E-7
  7.75  4.144E-7   2.172E-7
  7.85  1.0089E-7  1.0089E-7
  7.95  9.84E-8    9.84E-8
  8.05  3.836E-7   1.985E-7
  8.15  9.36E-8    9.36E-8
  8.25  9.14E-8    9.14E-8
  8.35  8.92E-8    8.92E-8
  8.45  0          0
  8.55  8.51E-8    8.51E-8
  8.65  0          0
  8.75  0          0
  8.85  0          0
  8.95  0          0
  9.05  0          0
  9.15  0          0
  9.25  0          0
  9.35  0          0
  9.45  0          0
  9.55  0          0
  9.65  0          0
  9.75  0          0
  9.85  0          0
  9.95  0          0
 10.05  0          0
 10.15  0          0
 10.25  0          0
 10.35  0          0
 10.45  0          0
 10.55  0          0
 10.65  0          0
 10.75  0          0
 10.85  0          0
 10.95  0          0
 11.05  0          0
 11.15  0          0
 11.25  0          0
 11.35  0          0
 11.45  0          0
 11.55  0          0
 11.65  0          0
 11.75  0          0
 11.85  0          0
 11.95  0          0
 12.05  0          0
 12.15  0          0
 12.25  0          0
 12.35  0          0
 12.45  0          0
 12.55  0          0
 12.65  0          0
 12.75  0          0
 12.85  0          0
 12.95  0          0
 13.05  0          0
 13.15  0          0
 13.25  0          0
 13.35  0          0
 13.45  0          0
 13.55  0          0
 13.65  0          0
 13.75  0          0
 13.85  0          0
 13.95  0          0
 14.05  0          0
 14.15  0          0
 14.25  0          0
 14.35  0          0
 14.45  0          0
 14.55  0          0
 14.65  0          0
 14.75  0          0
 14.85  0          0
 14.95  0          0
 15.05  0          0
 15.15  0          0
 15.25  0          0
 15.35  0          0
 15.45  0          0
 15.55  0          0
 15.65  0          0
 15.75  0          0
 15.85  0          0
 15.95  0          0
 16.05  0          0
 16.15  0          0
 16.25  0          0
 16.35  0          0
 16.45  0          0
 16.55  0          0
 16.65  0          0
 16.75  0          0
 16.85  0          0
 16.95  0          0
 17.05  0          0
 17.15  0          0
 17.25  0          0
 17.35  0          0
 17.45  0          0
 17.55  0          0
 17.65  0          0
 17.75  0          0
 17.85  0          0
 17.95  0          0
 18.05  0          0
 18.15  0          0
 18.25  0          0
 18.35  0          0
 18.45  0          0
 18.55  0          0
 18.65  0          0
 18.75  0          0
 18.85  0          0
 18.95  0          0
 19.05  0          0
 19.15  0          0
 19.25  0          0
 19.35  0          0
 19.45  0          0
 19.55  0          0
 19.65  0          0
 19.75  0          0
 19.85  0          0
 19.95  0          0
 20.05  0          0
