   R      RHORP    DRHORP     RHORN      DRHORN
   .05   .0874     .00819    .0956      .00895
   .15   .0814     .00297    .09        .00328
   .25   .0857     .001854   .0927      .002002
   .35   .0878     .001345   .0933      .001429
   .45   .0818     .001013   .0859      .001062
   .55   .0802    8.28E-4    .0819     8.44E-4
   .65   .0801    7.07E-4    .0798     7.02E-4
   .75   .0778    6.09E-4    .075      5.85E-4
   .85   .0759    5.38E-4    .0707     4.98E-4
   .95   .0725    4.75E-4    .0651     4.22E-4
  1.05   .0702    4.28E-4    .0605     3.63E-4
  1.15   .0669    3.88E-4    .0551     3.16E-4
  1.25   .0625    3.48E-4    .0491     2.71E-4
  1.35   .059     3.18E-4    .0443     2.35E-4
  1.45   .0553    2.9E-4     .0394     2.04E-4
  1.55   .0515    2.65E-4    .0348     1.774E-4
  1.65   .0474    2.42E-4    .0302     1.538E-4
  1.75   .0441    2.23E-4    .0266     1.349E-4
  1.85   .0401    2.042E-4   .0229     1.172E-4
  1.95   .0366    1.872E-4   .01941    1.015E-4
  2.05   .0329    1.713E-4   .01631    8.79E-5
  2.15   .0294    1.565E-4   .01356    7.58E-5
  2.25   .0264    1.435E-4   .01136    6.61E-5
  2.35   .0239    1.323E-4   .00954    5.78E-5
  2.45   .02109   1.206E-4   .00779    4.96E-5
  2.55   .01898   1.113E-4   .00646    4.31E-5
  2.65   .01677   1.021E-4   .00525    3.72E-5
  2.75   .01479   9.35E-5    .00419    3.15E-5
  2.85   .01308   8.61E-5    .00332    2.69E-5
  2.95   .01152   7.89E-5    .0027     2.33E-5
  3.05   .01019   7.23E-5    .00212    1.967E-5
  3.15   .00898   6.64E-5    .00168    1.679E-5
  3.25   .00789   6.09E-5    .001314   1.424E-5
  3.35   .00707   5.65E-5    .001047   1.219E-5
  3.45   .00624   5.18E-5   8.16E-4    1.024E-5
  3.55   .00549   4.76E-5   6.25E-4    8.53E-6
  3.65   .00478   4.33E-5   4.99E-4    7.39E-6
  3.75   .00423   3.99E-5   3.87E-4    6.21E-6
  3.85   .00379   3.7E-5    3.01E-4    5.22E-6
  3.95   .00332   3.4E-5    2.36E-4    4.45E-6
  4.05   .00298   3.14E-5   1.785E-4   3.61E-6
  4.15   .0026    2.88E-5   1.333E-4   2.94E-6
  4.25   .002338  2.68E-5   1.044E-4   2.5E-6
  4.35   .00201   2.441E-5  8.41E-5    2.23E-6
  4.45   .001801  2.263E-5  6.41E-5    1.81E-6
  4.55   .001634  2.121E-5  4.74E-5    1.447E-6
  4.65   .001447  1.946E-5  3.9E-5     1.297E-6
  4.75   .001234  1.759E-5  2.71E-5    9.86E-7
  4.85   .001086  1.622E-5  2.23E-5    8.82E-7
  4.95   .001022  1.548E-5  1.748E-5   7.36E-7
  5.05  8.94E-4   1.418E-5  1.32E-5    5.69E-7
  5.15  7.71E-4   1.293E-5  1.049E-5   5.16E-7
  5.25  6.77E-4   1.193E-5  7.15E-6    3.68E-7
  5.35  6.19E-4   1.121E-5  6.23E-6    3.52E-7
  5.45  5.49E-4   1.034E-5  4.83E-6    3.02E-7
  5.55  4.83E-4   9.57E-6   3.77E-6    2.45E-7
  5.65  4.33E-4   8.89E-6   3.08E-6    1.972E-7
  5.75  3.8E-4    8.2E-6    2.47E-6    1.747E-7
  5.85  3.48E-4   7.71E-6   1.723E-6   9.6E-8
  5.95  3E-4      7.04E-6   1.494E-6   1.002E-7
  6.05  2.62E-4   6.51E-6   1.192E-6   1.045E-7
  6.15  2.374E-4  6.06E-6   9.86E-7    6.11E-8
  6.25  2.063E-4  5.57E-6   6.99E-7    4.33E-8
  6.35  1.827E-4  5.16E-6   5.65E-7    3.43E-8
  6.45  1.616E-4  4.77E-6   4.79E-7    5.02E-8
  6.55  1.518E-4  4.57E-6   4E-7       2.6E-8
  6.65  1.294E-4  4.16E-6   3E-7       2E-8
  6.75  1.106E-4  3.8E-6    2.54E-7    2.22E-8
  6.85  9.58E-5   3.46E-6   1.799E-7   1.233E-8
  6.95  8.16E-5   3.15E-6   1.651E-7   2.35E-8
  7.05  7.69E-5   3.01E-6   1.356E-7   1.517E-8
  7.15  6.96E-5   2.83E-6   9.43E-8    6.8E-9
  7.25  6.02E-5   2.61E-6   9.05E-8    1.219E-8
  7.35  5.14E-5   2.388E-6  6.7E-8     8.9E-9
  7.45  4.87E-5   2.264E-6  4.78E-8    3.8E-9
  7.55  4.06E-5   2.046E-6  4.16E-8    3.87E-9
  7.65  3.76E-5   1.934E-6  3.49E-8    2.89E-9
  7.75  3.22E-5   1.77E-6   2.59E-8    2.7E-9
  7.85  2.59E-5   1.569E-6  1.881E-8   1.991E-9
  7.95  2.481E-5  1.519E-6  1.617E-8   1.923E-9
  8.05  2.21E-5   1.411E-6  1.042E-8   1.068E-9
  8.15  1.928E-5  1.299E-6  1.02E-8    1.351E-9
  8.25  1.868E-5  1.262E-6  1.019E-8   1.687E-9
  8.35  1.278E-5  1.037E-6  7.31E-9    1.274E-9
  8.45  1.434E-5  1.086E-6  5.62E-9    9.02E-10
  8.55  1.306E-5  1.022E-6  4.04E-9    6.09E-10
  8.65  9.99E-6   8.82E-7   2.82E-9    5.38E-10
  8.75  1.095E-5  9.26E-7   2.59E-9    3.96E-10
  8.85  9.35E-6   8.37E-7   1.93E-9    3.22E-10
  8.95  7.95E-6   7.58E-7   1.223E-9   1.914E-10
  9.05  8.35E-6   7.8E-7    1.695E-9   3.51E-10
  9.15  7.03E-6   7.04E-7   1.023E-9   1.739E-10
  9.25  5.58E-6   6.25E-7   6.83E-10   1.381E-10
  9.35  5.64E-6   6.14E-7   7.31E-10   2.35E-10
  9.45  4.7E-6    5.58E-7   4.08E-10   8.18E-11
  9.55  4.88E-6   5.61E-7   6.31E-10   1.934E-10
  9.65  4.16E-6   5.11E-7   2.93E-10   6.38E-11
  9.75  4.13E-6   5.04E-7   2.114E-10  4.16E-11
  9.85  3.44E-6   4.59E-7   1.505E-10  3.84E-11
  9.95  2.467E-6  3.82E-7   2.46E-10   8.28E-11
 10.05  2.94E-6   4.11E-7   1.285E-10  4.65E-11
 10.15  3.09E-6   4.27E-7   8.29E-11   1.697E-11
 10.25  2.219E-6  3.56E-7   5.37E-11   1.242E-11
 10.35  1.985E-6  3.35E-7   2.56E-11   7.28E-12
 10.45  1.749E-6  3.05E-7   4.78E-11   1.774E-11
 10.55  2.046E-6  3.31E-7   3.92E-11   1.065E-11
 10.65  1.31E-6   2.62E-7   2.32E-11   7.13E-12
 10.75  1.148E-6  2.455E-7  2.99E-11   1.873E-11
 10.85  1.172E-6  2.46E-7   2.31E-11   1.697E-11
 10.95  1.195E-6  2.463E-7  1.454E-11  5.83E-12
 11.05  8.26E-7   2.03E-7   5.08E-12   1.839E-12
 11.15  5.12E-7   1.552E-7  3.91E-12   2.143E-12
 11.25  5.45E-7   1.575E-7  9.12E-13   3.23E-13
 11.35  5.35E-7   1.627E-7  1.555E-12  6.55E-13
 11.45  4.86E-7   1.456E-7  1.033E-12  4.06E-13
 11.55  4.37E-7   1.386E-7  5.96E-12   4.37E-12
 11.65  3.91E-7   1.313E-7  6.04E-13   2.81E-13
 11.75  5.38E-7   1.496E-7  1.207E-12  4.55E-13
 11.85  2.65E-7   1.092E-7  7.33E-13   5.31E-13
 11.95  5.2E-7    1.474E-7  7.01E-13   3.15E-13
 12.05  4.75E-7   1.389E-7  1.989E-13  6.85E-14
 12.15  1.438E-7  7.52E-8   2.25E-13   1.697E-13
 12.25  2.47E-7   9.56E-8   2.02E-13   1.19E-13
 12.35  2.43E-7   9.39E-8   7.9E-14    4.01E-14
 12.45  4.11E-7   1.283E-7  4.79E-13   2.2E-13
 12.55  2.7E-7    1.027E-7  1.35E-12   1.246E-12
 12.65  1.326E-7  6.73E-8   3.19E-13   2.002E-13
 12.75  1.305E-7  6.74E-8   2.33E-13   2.27E-13
 12.85  2.253E-7  8.81E-8   5.29E-14   2.37E-14
 12.95  9.49E-8   5.69E-8   1.804E-14  1.277E-14
 13.05  9.35E-8   5.45E-8   1.288E-14  7.75E-15
 13.15  1.534E-7  6.96E-8   2.54E-14   1.927E-14
 13.25  6.04E-8   4.51E-8   1.146E-15  8.28E-16
 13.35  5.95E-8   4.23E-8   8.43E-15   6.02E-15
 13.45  2.928E-8  2.928E-8  5.56E-15   5.56E-15
 13.55  8.66E-8   5.09E-8   2.54E-14   2.32E-14
 13.65  5.69E-8   4.04E-8   3.32E-15   2.91E-15
 13.75  5.61E-8   3.97E-8   1.694E-15  1.353E-15
 13.85  8.3E-8    4.92E-8   4.76E-15   4.41E-15
 13.95  2.73E-8   2.73E-8   3.22E-14   3.22E-14
 14.05  0         0         0          0
 14.15  5.29E-8   3.78E-8   1.029E-15  9.85E-16
 14.25  2.616E-8  2.616E-8  6.14E-16   6.14E-16
 14.35  2.58E-8   2.58E-8   1.03E-16   1.03E-16
 14.45  2.541E-8  2.541E-8  1.479E-16  1.479E-16
 14.55  0         0         0          0
 14.65  2.472E-8  2.472E-8  3.47E-17   3.47E-17
 14.75  2.442E-8  2.442E-8  2.68E-16   2.68E-16
 14.85  2.41E-8   2.41E-8   6.46E-16   6.46E-16
 14.95  0         0         0          0
 15.05  0         0         0          0
 15.15  0         0         0          0
 15.25  0         0         0          0
 15.35  0         0         0          0
 15.45  0         0         0          0
 15.55  0         0         0          0
 15.65  0         0         0          0
 15.75  0         0         0          0
 15.85  0         0         0          0
 15.95  0         0         0          0
 16.05  0         0         0          0
 16.15  0         0         0          0
 16.25  0         0         0          0
 16.35  0         0         0          0
 16.45  0         0         0          0
 16.55  0         0         0          0
 16.65  0         0         0          0
 16.75  0         0         0          0
 16.85  0         0         0          0
 16.95  0         0         0          0
 17.05  0         0         0          0
 17.15  0         0         0          0
 17.25  0         0         0          0
 17.35  0         0         0          0
 17.45  0         0         0          0
 17.55  0         0         0          0
 17.65  0         0         0          0
 17.75  0         0         0          0
 17.85  0         0         0          0
 17.95  0         0         0          0
 18.05  0         0         0          0
 18.15  0         0         0          0
 18.25  0         0         0          0
 18.35  0         0         0          0
 18.45  0         0         0          0
 18.55  0         0         0          0
 18.65  0         0         0          0
 18.75  0         0         0          0
 18.85  0         0         0          0
 18.95  0         0         0          0
 19.05  0         0         0          0
 19.15  0         0         0          0
 19.25  0         0         0          0
 19.35  0         0         0          0
 19.45  0         0         0          0
 19.55  0         0         0          0
 19.65  0         0         0          0
 19.75  0         0         0          0
 19.85  0         0         0          0
 19.95  0         0         0          0
 20.05  0         0         0          0
