   R    RHORP_B8  DRHORP_B8   RHORN_B8   DRHORN_B8
   .05   .0743     .00918      .0833      .01037
   .15   .0817     .00362      .0926      .00412
   .25   .0814     .0022       .0908      .00247
   .35   .083      .001586     .0909      .001749
   .45   .0835     .001237     .0888      .001327
   .55   .0819     .001002     .085       .001047
   .65   .082     8.46E-4      .0822     8.55E-4
   .75   .0823    7.3E-4       .0799     7.16E-4
   .85   .0833    6.44E-4      .078      6.09E-4
   .95   .0811    5.66E-4      .0729     5.15E-4
  1.05   .08      5.04E-4      .0696     4.44E-4
  1.15   .0776    4.5E-4       .0651     3.83E-4
  1.25   .0743    4.04E-4      .0602     3.31E-4
  1.35   .0718    3.64E-4      .0562     2.89E-4
  1.45   .0678    3.28E-4      .0513     2.51E-4
  1.55   .0642    2.98E-4      .047      2.209E-4
  1.65   .06      2.69E-4      .0426     1.946E-4
  1.75   .0562    2.46E-4      .0386     1.724E-4
  1.85   .0517    2.248E-4     .0343     1.519E-4
  1.95   .0462    2.044E-4     .0298     1.343E-4
  2.05   .0425    1.885E-4     .02641    1.195E-4
  2.15   .0385    1.732E-4     .02333    1.068E-4
  2.25   .0341    1.588E-4     .01988    9.47E-5
  2.35   .0297    1.454E-4     .01675    8.38E-5
  2.45   .0264    1.34E-4      .01432    7.45E-5
  2.55   .02292   1.227E-4     .01202    6.6E-5
  2.65   .01975   1.121E-4     .01002    5.82E-5
  2.75   .01695   1.023E-4     .00826    5.13E-5
  2.85   .01446   9.3E-5       .00678    4.51E-5
  2.95   .01238   8.51E-5      .00553    3.93E-5
  3.05   .01041   7.71E-5      .00445    3.416E-5
  3.15   .0088    6.98E-5      .003634   2.992E-5
  3.25   .00745   6.34E-5      .002924   2.593E-5
  3.35   .0062    5.7E-5       .002331   2.232E-5
  3.45   .00524   5.15E-5      .001876   1.941E-5
  3.55   .00433   4.6E-5       .001495   1.674E-5
  3.65   .00354   4.12E-5      .001158   1.42E-5
  3.75   .00303   3.74E-5     9.49E-4    1.246E-5
  3.85   .002429  3.31E-5     7.13E-4    1.039E-5
  3.95   .001994  2.94E-5     5.625E-4   8.91E-6
  4.05   .001646  2.624E-5    4.503E-4   7.73E-6
  4.15   .001315  2.306E-5    3.438E-4   6.51E-6
  4.25   .001103  2.088E-5    2.731E-4   5.593E-6
  4.35  9.1E-4    1.867E-5    2.174E-4   4.85E-6
  4.45  7.12E-4   1.63E-5     1.591E-4   4.026E-6
  4.55  6.22E-4   1.489E-5    1.354E-4   3.555E-6
  4.65  4.68E-4   1.27E-5     9.71E-5    2.917E-6
  4.75  3.84E-4   1.134E-5    7.619E-5   2.491E-6
  4.85  3.22E-4   1.017E-5    6.249E-5   2.2E-6
  4.95  2.723E-4  9.23E-6     5.07E-5    1.919E-6
  5.05  2.205E-4  8.18E-6     3.927E-5   1.647E-6
  5.15  1.819E-4  7.27E-6     3.232E-5   1.455E-6
  5.25  1.332E-4  6.14E-6     2.252E-5   1.183E-6
  5.35  1.158E-4  5.62E-6     1.935E-5   1.069E-6
  5.45  9.83E-5   5.13E-6     1.58E-5    9.39E-7
  5.55  7.13E-5   4.22E-6     1.166E-5   7.717E-7
  5.65  6.16E-5   3.87E-6     9.235E-6   6.656E-7
  5.75  5.23E-5   3.54E-6     6.91E-6    5.376E-7
  5.85  3.84E-5   2.999E-6    5.326E-6   4.747E-7
  5.95  4.01E-5   3.011E-6    5.378E-6   4.818E-7
  6.05  2.633E-5  2.375E-6    3.922E-6   4.073E-7
  6.15  2.001E-5  2.045E-6    2.525E-6   2.918E-7
  6.25  1.789E-5  1.889E-6    2.53E-6    3.07E-7
  6.35  1.449E-5  1.679E-6    2.09E-6    2.823E-7
  6.45  1.021E-5  1.383E-6    1.462E-6   2.249E-7
  6.55  1.192E-5  1.494E-6    1.437E-6   2.025E-7
  6.65  7.2E-6    1.151E-6    8.995E-7   1.63E-7
  6.75  5.36E-6   9.68E-7     5.799E-7   1.257E-7
  6.85  4.54E-6   8.8E-7      5.432E-7   1.158E-7
  6.95  3.86E-6   7.8E-7      5.816E-7   1.293E-7
  7.05  3.55E-6   7.42E-7     4.528E-7   1.102E-7
