   R    RHORP_BE7  DRHORP_BE7  RHORN_BE7  DRHORN_BE7
   .05   .0538       .0064      .0608      .0073
   .15   .0642       .00264     .0722      .00299
   .25   .0627       .001586    .0696      .001777
   .35   .0624       .001133    .0681      .001252
   .45   .0628      8.91E-4     .0674     9.68E-4
   .55   .0621      7.29E-4     .0653     7.76E-4
   .65   .063       6.27E-4     .0649     6.53E-4
   .75   .0632      5.49E-4     .0633     5.57E-4
   .85   .0617      4.8E-4      .0606     4.79E-4
   .95   .0614      4.32E-4     .0589     4.21E-4
  1.05   .0605      3.9E-4      .0568     3.72E-4
  1.15   .0588      3.52E-4     .0539     3.29E-4
  1.25   .0574      3.21E-4     .0514     2.94E-4
  1.35   .0555      2.93E-4     .0489     2.64E-4
  1.45   .0533      2.68E-4     .0458     2.37E-4
  1.55   .0508      2.45E-4     .0429     2.131E-4
  1.65   .0472      2.23E-4     .039      1.903E-4
  1.75   .0445      2.05E-4     .0361     1.718E-4
  1.85   .0417      1.871E-4    .0332     1.543E-4
  1.95   .0381      1.711E-4    .0298     1.39E-4
  2.05   .0349      1.563E-4    .02677    1.249E-4
  2.15   .0319      1.433E-4    .02406    1.128E-4
  2.25   .0284      1.296E-4    .02101    1.003E-4
  2.35   .0255      1.179E-4    .01845    8.98E-5
  2.45   .0225      1.071E-4    .0161     8.02E-5
  2.55   .01966     9.64E-5     .01374    7.11E-5
  2.65   .01703     8.71E-5     .01168    6.32E-5
  2.75   .0146      7.81E-5     .00979    5.54E-5
  2.85   .01239     6.99E-5     .00813    4.87E-5
  2.95   .01052     6.27E-5     .00678    4.3E-5
  3.05   .00886     5.59E-5     .00559    3.75E-5
  3.15   .00735     4.95E-5     .00454    3.265E-5
  3.25   .00614     4.42E-5     .003704   2.851E-5
  3.35   .00495     3.88E-5     .002928   2.446E-5
  3.45   .004       3.42E-5     .002322   2.115E-5
  3.55   .0033      3.02E-5     .001878   1.831E-5
  3.65   .00267     2.66E-5     .001483   1.583E-5
  3.75   .00213     2.31E-5     .001158   1.345E-5
  3.85   .001779    2.08E-5    9.44E-4    1.178E-5
  3.95   .001405    1.803E-5   7.31E-4    1.002E-5
  4.05   .001133    1.582E-5   5.783E-4   8.62E-6
  4.15  8.99E-4     1.381E-5   4.512E-4   7.43E-6
  4.25  7.17E-4     1.213E-5   3.497E-4   6.32E-6
  4.35  5.88E-4     1.075E-5   2.814E-4   5.48E-6
  4.45  4.67E-4     9.4E-6     2.192E-4   4.708E-6
  4.55  3.69E-4     8.21E-6    1.684E-4   3.996E-6
  4.65  2.84E-4     7.08E-6    1.294E-4   3.414E-6
  4.75  2.22E-4     6.13E-6    9.87E-5    2.919E-6
  4.85  1.821E-4    5.49E-6    7.792E-5   2.493E-6
  4.95  1.501E-4    4.87E-6    6.422E-5   2.214E-6
  5.05  1.088E-4    4.09E-6    4.532E-5   1.801E-6
  5.15  9.43E-5     3.74E-6    3.884E-5   1.639E-6
  5.25  8.13E-5     3.42E-6    3.186E-5   1.417E-6
  5.35  5.68E-5     2.8E-6     2.274E-5   1.211E-6
