   R      RHORP    DRHORP     RHORN    DRHORN
   .05   .0975     .00876    .0999     .00897
   .15   .0933     .00323    .0962     .00333
   .25   .0885     .001905   .0909     .001957
   .35   .0885     .001363   .0905     .001393
   .45   .087      .00105    .0884     .001067
   .55   .0848    8.5E-4     .0854    8.55E-4
   .65   .0829    7.15E-4    .0827    7.13E-4
   .75   .0792    6.07E-4    .0782    5.98E-4
   .85   .0752    5.22E-4    .0734    5.09E-4
   .95   .072     4.59E-4    .0693    4.4E-4
  1.05   .0678    4.05E-4    .0644    3.83E-4
  1.15   .0633    3.61E-4    .0592    3.35E-4
  1.25   .0592    3.2E-4     .0546    2.93E-4
  1.35   .0548    2.87E-4    .0498    2.58E-4
  1.45   .0506    2.57E-4    .0452    2.27E-4
  1.55   .0463    2.32E-4    .0405    2.008E-4
  1.65   .0426    2.097E-4   .0366    1.786E-4
  1.75   .038     1.878E-4   .032     1.568E-4
  1.85   .0344    1.706E-4   .0286    1.398E-4
  1.95   .0308    1.537E-4   .025     1.235E-4
  2.05   .0275    1.392E-4   .0218    1.095E-4
  2.15   .0247    1.267E-4   .01923   9.79E-5
  2.25   .02165   1.139E-4   .01651   8.61E-5
  2.35   .01901   1.031E-4   .01419   7.62E-5
  2.45   .01674   9.29E-5    .01225   6.75E-5
  2.55   .01475   8.47E-5    .01052   6.01E-5
  2.65   .0128    7.67E-5    .0089    5.3E-5
  2.75   .01129   6.97E-5    .00769   4.73E-5
  2.85   .00975   6.3E-5     .0065    4.19E-5
  2.95   .00852   5.72E-5    .00556   3.72E-5
  3.05   .00745   5.23E-5    .00475   3.34E-5
  3.15   .00658   4.78E-5    .00411   2.98E-5
  3.25   .00577   4.35E-5    .00354   2.67E-5
  3.35   .00495   3.95E-5    .00298   2.37E-5
  3.45   .00433   3.59E-5    .00255   2.117E-5
  3.55   .00381   3.29E-5    .002213  1.903E-5
  3.65   .00332   2.99E-5    .001901  1.711E-5
  3.75   .00293   2.76E-5    .001649  1.552E-5
  3.85   .00253   2.5E-5     .001404  1.387E-5
  3.95   .002251  2.301E-5   .001235  1.264E-5
  4.05   .001962  2.106E-5   .001064  1.139E-5
  4.15   .001709  1.93E-5   9.21E-4   1.036E-5
