   R      RHORP    DRHORP
   .05   .0454     .00736
   .15   .04       .00262
   .25   .0396     .00157
   .35   .0422     .00116
   .45   .0434    9.12E-4
   .55   .0458    7.62E-4
   .65   .0462    6.42E-4
   .75   .0472    5.58E-4
   .85   .049     4.96E-4
   .95   .0498    4.42E-4
  1.05   .05      3.94E-4
  1.15   .051     3.56E-4
  1.25   .049     3.18E-4
  1.35   .05      2.9E-4
  1.45   .049     2.62E-4
  1.55   .048     2.38E-4
  1.65   .0458    2.14E-4
  1.75   .044     1.944E-4
  1.85   .042     1.766E-4
  1.95   .0396    1.604E-4
  2.05   .0368    1.46E-4
  2.15   .034     1.33E-4
  2.25   .0312    1.216E-4
  2.35   .028     1.11E-4
  2.45   .0248    1.014E-4
  2.55   .0218    9.28E-5
  2.65   .01914   8.48E-5
  2.75   .01654   7.72E-5
  2.85   .01394   6.98E-5
  2.95   .01164   6.3E-5
  3.05   .00958   5.64E-5
  3.15   .00806   5.08E-5
  3.25   .0065    4.5E-5
  3.35   .00518   3.96E-5
  3.45   .00414   3.48E-5
  3.55   .00328   3.04E-5
  3.65   .00262   2.68E-5
  3.75   .00202   2.3E-5
  3.85   .001562  1.988E-5
  3.95   .001224  1.724E-5
  4.05  9.56E-4   1.492E-5
  4.15  7.22E-4   1.272E-5
  4.25  5.56E-4   1.092E-5
  4.35  4.48E-4   9.6E-6
  4.45  3.3E-4    8.06E-6
  4.55  2.6E-4    7.02E-6
  4.65  1.936E-4  5.94E-6
  4.75  1.626E-4  5.32E-6
  4.85  1.208E-4  4.5E-6
  4.95  9.32E-5   3.88E-6
  5.05  7.14E-5   3.34E-6
  5.15  5.44E-5   2.86E-6
  5.25  4.02E-5   2.4E-6
  5.35  2.9E-5    2E-6
  5.45  2.66E-5   1.888E-6
  5.55  1.924E-5  1.576E-6
  5.65  1.534E-5  1.382E-6
  5.75  1.384E-5  1.29E-6
  5.85  9.76E-6   1.066E-6
  5.95  9.1E-6    1.012E-6
  6.05  7.4E-6    8.96E-7
  6.15  5.36E-6   7.52E-7
  6.25  3.88E-6   6.28E-7
  6.35  2.76E-6   5.22E-7
  6.45  2E-6      4.38E-7
  6.55  2.78E-6   5.08E-7
  6.65  1.53E-6   3.7E-7
  6.75  6.98E-7   2.46E-7
  6.85  1.356E-6  3.4E-7
  6.95  7.42E-7   2.48E-7
  7.05  4E-7      1.79E-7
  7.15  6.22E-7   2.2E-7
  7.25  4.54E-7   1.854E-7
  7.35  5.16E-7   1.948E-7
  7.45  5.74E-7   2.02E-7
  7.55  2.8E-7    1.396E-7
  7.65  6.8E-8    6.8E-8
  7.75  1.324E-7  9.36E-8
  7.85  1.292E-7  9.14E-8
  7.95  6.3E-8    6.3E-8
  8.05  6.14E-8   6.14E-8
  8.15  1.198E-7  8.48E-8
  8.25  0         0
  8.35  1.142E-7  8.08E-8
  8.45  0         0
  8.55  0         0
  8.65  1.064E-7  7.52E-8
  8.75  0         0
  8.85  0         0
  8.95  0         0
  9.05  0         0
  9.15  0         0
  9.25  9.3E-8    6.58E-8
  9.35  0         0
  9.45  0         0
  9.55  4.36E-8   4.36E-8
  9.65  0         0
  9.75  4.18E-8   4.18E-8
  9.85  4.1E-8    4.1E-8
  9.95  0         0
 10.05  0         0
 10.15  0         0
 10.25  0         0
 10.35  0         0
 10.45  0         0
 10.55  0         0
 10.65  7.02E-8   4.96E-8
 10.75  0         0
 10.85  0         0
 10.95  0         0
 11.05  0         0
 11.15  0         0
 11.25  0         0
 11.35  0         0
 11.45  0         0
 11.55  0         0
 11.65  0         0
 11.75  0         0
 11.85  0         0
 11.95  0         0
 12.05  0         0
 12.15  0         0
 12.25  0         0
 12.35  0         0
 12.45  0         0
 12.55  0         0
 12.65  0         0
 12.75  0         0
 12.85  0         0
 12.95  0         0
 13.05  0         0
 13.15  0         0
 13.25  0         0
 13.35  0         0
 13.45  0         0
 13.55  0         0
 13.65  0         0
 13.75  0         0
 13.85  0         0
 13.95  0         0
 14.05  0         0
 14.15  0         0
 14.25  0         0
 14.35  0         0
 14.45  0         0
 14.55  0         0
 14.65  0         0
 14.75  0         0
 14.85  0         0
 14.95  0         0
 15.05  0         0
 15.15  0         0
 15.25  0         0
 15.35  0         0
 15.45  0         0
 15.55  0         0
 15.65  0         0
 15.75  0         0
 15.85  0         0
 15.95  0         0
 16.05  0         0
 16.15  0         0
 16.25  0         0
 16.35  0         0
 16.45  0         0
 16.55  0         0
 16.65  0         0
 16.75  0         0
 16.85  0         0
 16.95  0         0
 17.05  0         0
 17.15  0         0
 17.25  0         0
 17.35  0         0
 17.45  0         0
 17.55  0         0
 17.65  0         0
 17.75  0         0
 17.85  0         0
 17.95  0         0
 18.05  0         0
 18.15  0         0
 18.25  0         0
 18.35  0         0
 18.45  0         0
 18.55  0         0
 18.65  0         0
 18.75  0         0
 18.85  0         0
 18.95  0         0
 19.05  0         0
 19.15  0         0
 19.25  0         0
 19.35  0         0
 19.45  0         0
 19.55  0         0
 19.65  0         0
 19.75  0         0
 19.85  0         0
 19.95  0         0
 20.05  0         0
