   R      RHORP    DRHORP     RHORN    DRHORN
   .05   .0594     .021      .06       .0212
   .15   .0641     .00821    .0659     .00844
   .25   .058      .00475    .059      .00482
   .35   .0643     .00356    .0648     .0036
   .45   .0659     .00283    .0652     .0028
   .55   .0716     .00244    .0694     .00237
   .65   .0718     .002032   .0685     .001952
   .75   .0804     .001905   .0757     .001798
   .85   .0822     .001725   .0765     .001611
   .95   .083      .001534   .0761     .001416
  1.05   .0842     .001414   .0763     .001288
  1.15   .0821     .001263   .074      .001145
  1.25   .0834     .001181   .0744     .001062
  1.35   .0825     .001075   .0729    9.58E-4
  1.45   .0783    9.75E-4    .0688    8.64E-4
  1.55   .0772    9.05E-4    .0673    7.96E-4
  1.65   .0727    8.33E-4    .063     7.29E-4
  1.75   .0694    7.66E-4    .0597    6.64E-4
  1.85   .064     6.98E-4    .0546    6.02E-4
  1.95   .0596    6.31E-4    .0505    5.42E-4
  2.05   .0553    5.85E-4    .0466    5E-4
  2.15   .0492    5.25E-4    .0415    4.47E-4
  2.25   .0441    4.74E-4    .0371    4.03E-4
  2.35   .0399    4.36E-4    .0331    3.68E-4
  2.45   .0346    3.87E-4    .0287    3.26E-4
  2.55   .031     3.53E-4    .0255    2.95E-4
  2.65   .0264    3.17E-4    .02161   2.64E-4
  2.75   .0226    2.81E-4    .01829   2.32E-4
  2.85   .01871   2.53E-4    .01501   2.063E-4
  2.95   .01615   2.26E-4    .01284   1.831E-4
  3.05   .01336   1.991E-4   .0105    1.602E-4
  3.15   .01153   1.801E-4   .00901   1.441E-4
  3.25   .00936   1.588E-4   .00724   1.254E-4
  3.35   .00736   1.381E-4   .00563   1.081E-4
  3.45   .006     1.219E-4   .00454   9.47E-5
  3.55   .00495   1.073E-4   .00368   8.17E-5
  3.65   .00418   9.58E-5    .00307   7.24E-5
  3.75   .00309   8.02E-5    .002282  6.06E-5
  3.85   .00248   7.09E-5    .001794  5.25E-5
  3.95   .001953  6.15E-5    .001376  4.47E-5
  4.05   .001524  5.3E-5     .00108   3.88E-5
  4.15   .001281  4.72E-5   8.88E-4   3.37E-5
  4.25   .001059  4.24E-5   7.19E-4   2.97E-5
  4.35  7.48E-4   3.45E-5   5.01E-4   2.386E-5
  4.45  6.21E-4   3.1E-5    4.17E-4   2.146E-5
  4.55  4.3E-4    2.52E-5   2.79E-4   1.676E-5
  4.65  4.08E-4   2.42E-5   2.594E-4  1.599E-5
  4.75  3.26E-4   2.12E-5   2.099E-4  1.42E-5
  4.85  2.025E-4  1.638E-5  1.29E-4   1.074E-5
  4.95  1.819E-4  1.542E-5  1.083E-4  9.54E-6
  5.05  1.577E-4  1.422E-5  9.58E-5   9E-6
  5.15  1.037E-4  1.116E-5  6.13E-5   6.84E-6
  5.25  9.37E-5   1.055E-5  5.43E-5   6.31E-6
  5.35  7.2E-5    9.02E-6   4.09E-5   5.31E-6
  5.45  4.59E-5   7.08E-6   2.605E-5  4.19E-6
  5.55  3.26E-5   5.84E-6   1.895E-5  3.54E-6
  5.65  3.49E-5   5.95E-6   1.972E-5  3.47E-6
  5.75  2.56E-5   5.05E-6   1.355E-5  2.795E-6
  5.85  1.726E-5  4.11E-6   8.89E-6   2.191E-6
