   R    RHORP_C8  DRHORP_C8   RHORN_C8  DRHORN_C8
   .05   .104      .01082     .118       .01226
   .15   .0934     .00386     .106       .00438
   .25   .0988     .00242     .1096      .00268
   .35   .0928     .001684    .1008      .001828
   .45   .089      .001292    .094       .00136
   .55   .092      .001082    .094       .001104
   .65   .0872    9.04E-4     .0856     8.84E-4
   .75   .088     7.96E-4     .0828     7.44E-4
   .85   .0854    7E-4        .0766     6.24E-4
   .95   .084     6.32E-4     .0712     5.32E-4
  1.05   .0812    5.72E-4     .065      4.54E-4
  1.15   .078     5.2E-4      .0588     3.88E-4
  1.25   .0738    4.7E-4      .0522     3.32E-4
  1.35   .0704    4.32E-4     .0466     2.84E-4
  1.45   .067     3.96E-4     .0418     2.46E-4
  1.55   .063     3.66E-4     .0362     2.12E-4
  1.65   .0588    3.36E-4     .0316     1.84E-4
  1.75   .0538    3.08E-4     .0266     1.574E-4
  1.85   .0508    2.86E-4     .023      1.362E-4
  1.95   .0462    2.62E-4     .01948    1.172E-4
  2.05   .042     2.4E-4      .01616    1.002E-4
  2.15   .0382    2.2E-4      .01338    8.54E-5
  2.25   .0342    2.02E-4     .01096    7.3E-5
  2.35   .0304    1.834E-4    .0089     6.24E-5
  2.45   .0272    1.684E-4    .00712    5.26E-5
  2.55   .0244    1.54E-4     .00588    4.54E-5
  2.65   .0214    1.41E-4     .00464    3.84E-5
  2.75   .01904   1.29E-4     .00362    3.16E-5
  2.85   .01658   1.17E-4     .00288    2.68E-5
  2.95   .01486   1.08E-4     .00228    2.26E-5
  3.05   .01294   9.8E-5      .00177    1.88E-5
  3.15   .01158   9.04E-5     .001382   1.564E-5
  3.25   .01014   8.24E-5     .001076   1.31E-5
  3.35   .00882   7.54E-5    8.22E-4    1.074E-5
  3.45   .00776   6.86E-5    6.34E-4    8.84E-6
  3.55   .00678   6.28E-5    4.92E-4    7.48E-6
  3.65   .0059    5.72E-5    3.7E-4     6E-6
  3.75   .00524   5.26E-5    2.86E-4    4.96E-6
  3.85   .0046    4.82E-5    2.2E-4     4.14E-6
  3.95   .00388   4.34E-5    1.62E-4    3.3E-6
  4.05   .00352   4.04E-5    1.262E-4   2.7E-6
  4.15   .00302   3.64E-5    9.3E-5     2.18E-6
  4.25   .0026    3.32E-5    6.92E-5    1.71E-6
  4.35   .00228   3.06E-5    5.44E-5    1.494E-6
  4.45   .001996  2.8E-5     4.2E-5     1.236E-6
  4.55   .00172   2.54E-5    3.14E-5    1.03E-6
  4.65   .001542  2.36E-5    2.44E-5    8.46E-7
  4.75   .001282  2.1E-5     1.662E-5   6.02E-7
  4.85   .001158  1.964E-5   1.318E-5   4.84E-7
  4.95   .001002  1.792E-5   1.002E-5   4.24E-7
  5.05  8.5E-4    1.618E-5   7.28E-6    3.2E-7
  5.15  7.8E-4    1.52E-5    6E-6       2.76E-7
  5.25  6.76E-4   1.394E-5   4.86E-6    2.64E-7
  5.35  5.68E-4   1.254E-5   3.56E-6    1.948E-7
  5.45  4.9E-4    1.142E-5   2.7E-6     1.746E-7
  5.55  4.2E-4    1.038E-5   2.2E-6     1.328E-7
  5.65  3.6E-4    9.44E-6    1.56E-6    8.6E-8
  5.75  3.14E-4   8.68E-6    1.304E-6   1.13E-7
  5.85  2.78E-4   8.04E-6    1.036E-6   5.94E-8
  5.95  2.36E-4   7.3E-6     8.2E-7     7.82E-8
  6.05  2.12E-4   6.76E-6    5.72E-7    3.38E-8
  6.15  1.782E-4  6.12E-6    4.9E-7     3.54E-8
  6.25  1.644E-4  5.78E-6    4.3E-7     3.08E-8
  6.35  1.252E-4  4.96E-6    3.12E-7    2.54E-8
  6.45  1.266E-4  4.9E-6     3.36E-7    4.3E-8
  6.55  1.018E-4  4.34E-6    2.16E-7    1.776E-8
  6.65  9E-5      4.02E-6    1.57E-7    9.88E-9
  6.75  8.06E-5   3.74E-6    1.52E-7    1.076E-8
  6.85  6.62E-5   3.36E-6    1.016E-7   7.44E-9
  6.95  5.84E-5   3.1E-6     9.64E-8    8.44E-9
  7.05  4.42E-5   2.66E-6    7.06E-8    6.08E-9
  7.15  4.74E-5   2.72E-6    7.06E-8    6.62E-9
  7.25  3.94E-5   2.44E-6    5.34E-8    5.54E-9
  7.35  3.28E-5   2.2E-6     4.24E-8    4.1E-9
  7.45  3.46E-5   2.24E-6    3.2E-8     3E-9
  7.55  2.66E-5   1.946E-6   2.56E-8    2.48E-9
  7.65  2.16E-5   1.712E-6   2.46E-8    3.56E-9
  7.75  2.14E-5   1.684E-6   1.506E-8   1.592E-9
  7.85  1.884E-5  1.568E-6   1.258E-8   1.43E-9
  7.95  1.334E-5  1.294E-6   8.58E-9    1.202E-9
  8.05  1.228E-5  1.226E-6   8.26E-9    1.272E-9
  8.15  1.126E-5  1.16E-6    7.38E-9    1.212E-9
  8.25  1.052E-5  1.108E-6   6.18E-9    1.188E-9
  8.35  1.084E-5  1.112E-6   5.1E-9     7.88E-10
  8.45  8.36E-6   9.64E-7    3.76E-9    7.52E-10
  8.55  7.18E-6   8.84E-7    2.96E-9    5.24E-10
  8.65  5.74E-6   7.82E-7    2.24E-9    4.64E-10
  8.75  3.94E-6   6.4E-7     1.186E-9   3E-10
  8.85  4.68E-6   6.88E-7    1.094E-9   3E-10
  8.95  3.08E-6   5.52E-7    1.428E-9   5.16E-10
  9.05  2.92E-6   5.32E-7    3.64E-10   1.104E-10
  9.15  2.66E-6   5.02E-7    5.62E-10   2.46E-10
  9.25  2.24E-6   4.56E-7    2.62E-10   8.62E-11
  9.35  1.274E-6  3.4E-7     3.96E-10   1.944E-10
  9.45  1.604E-6  3.78E-7    1.422E-10  4.7E-11
  9.55  1.57E-6   3.7E-7     1.458E-10  6.42E-11
  9.65  1.196E-6  3.2E-7     1.156E-10  5.06E-11
  9.75  7.54E-7   2.52E-7    3.16E-11   1.352E-11
  9.85  8.2E-7    2.6E-7     2.7E-11    1.14E-11
  9.95  1.126E-6  3E-7       4.98E-11   1.872E-11
 10.05  1.024E-6  2.84E-7    5.98E-11   2.34E-11
 10.15  1.004E-6  2.78E-7    4.74E-11   2.12E-11
 10.25  9.08E-7   2.62E-7    1.248E-10  8.02E-11
 10.35  5.2E-7    1.966E-7   2.72E-11   1.828E-11
 10.45  4.38E-7   1.784E-7   1.062E-11  7.34E-12
 10.55  6.44E-7   2.14E-7    3.28E-11   1.972E-11
 10.65  4.92E-7   1.856E-7   9.92E-12   5.72E-12
 10.75  7.58E-7   2.28E-7    1.554E-11  7.36E-12
 10.85  4.74E-7   1.788E-7   9.74E-12   6.36E-12
 10.95  5.98E-7   1.99E-7    5.04E-12   2.52E-12
 11.05  3.26E-7   1.458E-7   2.58E-12   1.588E-12
 11.15  2.56E-7   1.28E-7    1.464E-12  8.92E-13
 11.25  4.4E-7    1.664E-7   3.26E-12   1.664E-12
 11.35  3.08E-7   1.382E-7   1.012E-12  6.3E-13
 11.45  1.82E-7   1.052E-7   6.62E-13   5.5E-13
 11.55  1.79E-7   1.034E-7   2.68E-13   1.74E-13
 11.65  2.94E-7   1.312E-7   5.38E-13   3.56E-13
 11.75  2.88E-7   1.288E-7   1.172E-12  7.42E-13
 11.85  1.7E-7    9.82E-8    5.58E-13   4.12E-13
 11.95  1.114E-7  7.88E-8    4.46E-13   3.84E-13
 12.05  1.096E-7  7.76E-8    8.36E-15   6.4E-15
 12.15  1.618E-7  9.34E-8    3.44E-13   2.94E-13
 12.25  0         0          0          0
 12.35  1.044E-7  7.38E-8    1.814E-14  1.374E-14
 12.45  1.54E-7   8.9E-8     7.48E-14   5.36E-14
 12.55  5.06E-8   5.06E-8    4.74E-15   4.74E-15
 12.65  0         0          0          0
 12.75  0         0          0          0
 12.85  0         0          0          0
 12.95  0         0          0          0
 13.05  4.68E-8   4.68E-8    6.34E-15   6.34E-15
 13.15  0         0          0          0
 13.25  0         0          0          0
 13.35  0         0          0          0
 13.45  0         0          0          0
 13.55  0         0          0          0
 13.65  0         0          0          0
 13.75  4.2E-8    4.2E-8     5.24E-15   5.24E-15
 13.85  0         0          0          0
 13.95  0         0          0          0
 14.05  0         0          0          0
 14.15  0         0          0          0
 14.25  0         0          0          0
 14.35  0         0          0          0
 14.45  0         0          0          0
 14.55  0         0          0          0
 14.65  0         0          0          0
 14.75  0         0          0          0
 14.85  0         0          0          0
 14.95  0         0          0          0
 15.05  0         0          0          0
 15.15  0         0          0          0
 15.25  0         0          0          0
 15.35  0         0          0          0
 15.45  0         0          0          0
 15.55  0         0          0          0
 15.65  0         0          0          0
 15.75  0         0          0          0
 15.85  0         0          0          0
 15.95  0         0          0          0
 16.05  0         0          0          0
 16.15  0         0          0          0
 16.25  0         0          0          0
 16.35  0         0          0          0
 16.45  0         0          0          0
 16.55  0         0          0          0
 16.65  0         0          0          0
 16.75  0         0          0          0
 16.85  0         0          0          0
 16.95  0         0          0          0
 17.05  0         0          0          0
 17.15  0         0          0          0
 17.25  0         0          0          0
 17.35  0         0          0          0
 17.45  0         0          0          0
 17.55  0         0          0          0
 17.65  0         0          0          0
 17.75  0         0          0          0
 17.85  0         0          0          0
 17.95  0         0          0          0
 18.05  0         0          0          0
 18.15  0         0          0          0
 18.25  0         0          0          0
 18.35  0         0          0          0
 18.45  0         0          0          0
 18.55  0         0          0          0
 18.65  0         0          0          0
 18.75  0         0          0          0
 18.85  0         0          0          0
 18.95  0         0          0          0
 19.05  0         0          0          0
 19.15  0         0          0          0
 19.25  0         0          0          0
 19.35  0         0          0          0
 19.45  0         0          0          0
 19.55  0         0          0          0
 19.65  0         0          0          0
 19.75  0         0          0          0
 19.85  0         0          0          0
 19.95  0         0          0          0
 20.05  0         0          0          0
