   R       RHORP        DRHORP
 0.050   8.5989E-02   5.4242E-02
 0.150   9.9157E-02   1.8522E-02
 0.250   9.6783E-02   1.1724E-02
 0.350   9.4673E-02   8.1278E-03
 0.450   9.4098E-02   6.2358E-03
 0.550   9.2011E-02   5.1538E-03
 0.650   8.8943E-02   4.3920E-03
 0.750   8.6109E-02   3.6719E-03
 0.850   8.1805E-02   4.1474E-03
 0.950   7.9960E-02   2.9173E-03
 1.050   7.5909E-02   2.5688E-03
 1.150   7.4545E-02   2.3157E-03
 1.250   7.2595E-02   2.1800E-03
 1.350   6.9840E-02   1.9717E-03
 1.450   6.9679E-02   1.8314E-03
 1.550   6.7545E-02   1.7392E-03
 1.650   6.6828E-02   1.6316E-03
 1.750   6.6311E-02   1.5221E-03
 1.850   6.6682E-02   1.4802E-03
 1.950   6.6455E-02   1.4101E-03
 2.050   6.6637E-02   1.3627E-03
 2.150   6.6834E-02   1.3156E-03
 2.250   6.7184E-02   1.2666E-03
 2.350   6.7577E-02   1.2436E-03
 2.450   6.7587E-02   1.1808E-03
 2.550   6.6884E-02   1.1491E-03
 2.650   6.6249E-02   1.1335E-03
 2.750   6.5345E-02   1.1145E-03
 2.850   6.3925E-02   1.0572E-03
 2.950   6.2622E-02   1.0664E-03
 3.050   6.0175E-02   1.0327E-03
 3.150   5.8135E-02   9.5573E-04
 3.250   5.5235E-02   9.4027E-04
 3.350   5.2165E-02   9.0756E-04
 3.450   4.8881E-02   8.9626E-04
 3.550   4.5405E-02   8.5651E-04
 3.650   4.1884E-02   8.0965E-04
 3.750   3.8180E-02   7.8590E-04
 3.850   3.4774E-02   7.3620E-04
 3.950   3.1187E-02   7.1681E-04
 4.050   2.7949E-02   6.5755E-04
 4.150   2.4757E-02   6.4663E-04
 4.250   2.1876E-02   5.9967E-04
 4.350   1.9114E-02   5.5354E-04
 4.450   1.6633E-02   5.3573E-04
 4.550   1.4380E-02   4.9264E-04
 4.650   1.2320E-02   4.5522E-04
 4.750   1.0502E-02   4.2353E-04
 4.850   8.9283E-03   3.9909E-04
 4.950   7.5551E-03   3.7479E-04
 5.050   6.3661E-03   3.3825E-04
 5.150   5.3337E-03   3.1227E-04
 5.250   4.4291E-03   2.8995E-04
 5.350   3.7364E-03   2.6549E-04
 5.450   3.0896E-03   2.4545E-04
 5.550   2.5802E-03   2.2096E-04
 5.650   2.1043E-03   2.0247E-04
 5.750   1.7470E-03   1.8839E-04
 5.850   1.4390E-03   1.7485E-04
 5.950   1.1792E-03   1.5395E-04
 6.050   9.6059E-04   1.4049E-04
 6.150   7.8808E-04   1.2719E-04
 6.250   6.5554E-04   1.1519E-04
 6.350   5.3062E-04   1.0414E-04
 6.450   4.3462E-04   9.4344E-05
 6.550   3.4334E-04   8.5886E-05
 6.650   2.8202E-04   7.7032E-05
 6.750   2.3370E-04   6.8382E-05
 6.850   1.8896E-04   6.2582E-05
 6.950   1.5272E-04   5.6206E-05
 7.050   1.2691E-04   4.9058E-05
 7.150   1.0159E-04   4.6238E-05
 7.250   7.9751E-05   4.0451E-05
 7.350   6.7143E-05   4.7609E-05
 7.450   5.3913E-05   3.3054E-05
 7.550   4.2507E-05   2.8621E-05
 7.650   3.4143E-05   2.6331E-05
 7.750   2.7662E-05   2.3125E-05
 7.850   2.3154E-05   2.1636E-05
 7.950   1.8609E-05   2.0080E-05
 8.050   1.5629E-05   1.8726E-05
 8.150   1.2599E-05   1.6052E-05
 8.250   9.7936E-06   1.3747E-05
 8.350   8.2056E-06   1.2418E-05
 8.450   6.3937E-06   1.4763E-05
 8.550   5.9280E-06   1.0434E-05
 8.650   4.0681E-06   8.9210E-06
 8.750   3.5095E-06   8.5220E-06
 8.850   3.0948E-06   7.8403E-06
 8.950   1.8491E-06   5.9584E-06
 9.050   1.8111E-06   5.8765E-06
 9.150   1.4880E-06   4.6718E-06
 9.250   1.1810E-06   4.2763E-06
 9.350   1.1288E-06   5.5551E-06
 9.450   8.3162E-07   3.6129E-06
 9.550   6.9282E-07   2.8210E-06
 9.650   6.4275E-07   3.4301E-06
 9.750   4.2373E-07   2.5293E-06
 9.850   4.0003E-07   2.1717E-06
 9.950   2.5472E-07   1.7703E-06
10.050   1.5058E-07   2.3965E-06
10.150   1.8924E-07   1.2386E-06
10.250   1.2604E-07   8.9764E-07
10.350   1.8172E-07   1.4304E-06
10.450   6.5702E-08   7.2647E-07
10.550   7.2438E-08   6.9590E-07
10.650   6.8707E-08   9.7728E-07
10.750   4.6283E-08   5.8368E-07
10.850  -1.5296E-09   6.2741E-07
10.950   3.7584E-08   9.9164E-07
11.050   1.0925E-08   4.0516E-07
11.150   4.4993E-08   5.9783E-07
11.250   3.6510E-10   1.4013E-06
11.350   2.2603E-08   5.7408E-07
11.450   0.0000E+00   0.0000E+00
11.550   1.9050E-08   3.1483E-07
11.650   1.4179E-08   2.5119E-07
11.750   1.7920E-08   1.1252E-06
11.850   7.4187E-09   3.6637E-07
11.950   0.0000E+00   0.0000E+00
12.050  -1.0536E-09   7.1416E-08
12.150   0.0000E+00   0.0000E+00
12.250   0.0000E+00   0.0000E+00
12.350  -3.6984E-09   1.0929E-07
12.450   0.0000E+00   0.0000E+00
12.550   1.1803E-09   2.6632E-07
12.650  -1.4323E-09   2.6484E-07
12.750   8.3530E-10   5.8850E-08
12.850   0.0000E+00   0.0000E+00
12.950   0.0000E+00   0.0000E+00
13.050   0.0000E+00   0.0000E+00
13.150   0.0000E+00   0.0000E+00
13.250   3.5335E-09   4.9526E-07
13.350   0.0000E+00   0.0000E+00
13.450   0.0000E+00   0.0000E+00
13.550   0.0000E+00   0.0000E+00
13.650   0.0000E+00   0.0000E+00
13.750   0.0000E+00   0.0000E+00
13.850   0.0000E+00   0.0000E+00
13.950   0.0000E+00   0.0000E+00
14.050   0.0000E+00   0.0000E+00
14.150   0.0000E+00   0.0000E+00
14.250   0.0000E+00   0.0000E+00
14.350   0.0000E+00   0.0000E+00
14.450   0.0000E+00   0.0000E+00
14.550   0.0000E+00   0.0000E+00
14.650   0.0000E+00   0.0000E+00
14.750   0.0000E+00   0.0000E+00
14.850   0.0000E+00   0.0000E+00
14.950   0.0000E+00   0.0000E+00
15.050   0.0000E+00   0.0000E+00
15.150   0.0000E+00   0.0000E+00
15.250   0.0000E+00   0.0000E+00
15.350   0.0000E+00   0.0000E+00
15.450   0.0000E+00   0.0000E+00
15.550   0.0000E+00   0.0000E+00
15.650   0.0000E+00   0.0000E+00
15.750   0.0000E+00   0.0000E+00
15.850   0.0000E+00   0.0000E+00
15.950   0.0000E+00   0.0000E+00
16.050   0.0000E+00   0.0000E+00
16.150   0.0000E+00   0.0000E+00
16.250   0.0000E+00   0.0000E+00
16.350   0.0000E+00   0.0000E+00
16.450   0.0000E+00   0.0000E+00
16.550   0.0000E+00   0.0000E+00
16.650   0.0000E+00   0.0000E+00
16.750   0.0000E+00   0.0000E+00
16.850   0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00
17.150   0.0000E+00   0.0000E+00
17.250   0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00
