   R    INTERP(R,RHORCM,RCM)    RHORP      DRHORP
   .05        .0048173         .0050138   .00109
   .15        .015282          .018192   7.4941E-4
   .25        .050031          .05446    7.6491E-4
   .35        .10057           .10218    7.3899E-4
   .45        .1287            .1276     6.3736E-4
   .55        .1249            .1238     5.112E-4
   .65        .10584           .10522    4.0012E-4
   .75        .084594          .08398    3.1134E-4
   .85        .066106          .06618    2.4484E-4
   .95        .051328          .05137    1.9453E-4
  1.05        .039897          .03951    1.5534E-4
  1.15        .031156          .0313     1.2722E-4
  1.25        .024484          .02445    1.0414E-4
  1.35        .019375          .019352   8.6493E-5
  1.45        .015439          .01544    7.2363E-5
  1.55        .012387          .0126     6.1443E-5
  1.65        .010003          .009956   5.153E-5
  1.75        .0081267         .008113   4.4021E-5
  1.85        .0066395         .006679   3.7915E-5
  1.95        .0054527         .005397   3.251E-5
  2.05        .0044996         .0045095  2.8307E-5
  2.15        .0037297         .0037379  2.4605E-5
  2.25        .0031042         .0031322  2.1604E-5
  2.35        .0025934         .0025694  1.8803E-5
  2.45        .0021743         .002171   1.6602E-5
  2.55        .0018289         .0018141  1.4602E-5
  2.65        .001543          .0015287  1.2901E-5
  2.75        .0013055         .0013049  1.1501E-5
  2.85        .0011075         .0011321  1.0301E-5
  2.95       9.4178E-4        9.4353E-4  9.1506E-6
  3.05       8.0273E-4        8.1153E-4  8.2205E-6
  3.15       6.857E-4         6.8708E-4  7.3304E-6
  3.25       5.8691E-4        5.949E-4   6.6103E-6
  3.35       5.0332E-4        5.0398E-4  5.9102E-6
  3.45       4.3241E-4        4.2917E-4  5.3002E-6
  3.55       3.7213E-4        3.726E-4   4.8001E-6
  3.65       3.2076E-4        3.1913E-4  4.3301E-6
  3.75       2.769E-4         2.7272E-4  3.8901E-6
  3.85       2.3939E-4        2.3744E-4  3.5401E-6
  3.95       2.0724E-4        1.9712E-4  3.1401E-6
  4.05       1.7964E-4        1.7998E-4  2.9401E-6
  4.15       1.5591E-4        1.4979E-4  2.61E-6
  4.25       1.3547E-4        1.3568E-4  2.43E-6
  4.35       1.1784E-4        1.1758E-4  2.21E-6
  4.45       1.0262E-4        1.0147E-4  2E-6
  4.55       8.9455E-5        9.0395E-5  1.85E-6
  4.65       7.8055E-5        7.7727E-5  1.68E-6
  4.75       6.8172E-5        6.8182E-5  1.54E-6
  4.85       5.9594E-5        6.044E-5   1.42E-6
  4.95       5.214E-5         5.1899E-5  1.29E-6
  5.05       4.5656E-5        4.5971E-5  1.19E-6
  5.15       4.001E-5         3.9542E-5  1.09E-6
  5.25       3.5089E-5        3.4722E-5  9.9701E-7
  5.35       3.0795E-5        3.2209E-5  9.4301E-7
  5.45       2.7046E-5        2.6986E-5  8.4701E-7
  5.55       2.377E-5         2.2774E-5  7.65E-7
  5.65       2.0904E-5        2.0664E-5  7.14E-7
  5.75       1.8396E-5        1.8052E-5  6.57E-7
  5.85       1.6198E-5        1.6148E-5  6.11E-7
  5.95       1.4271E-5        1.3739E-5  5.54E-7
  6.05       1.2581E-5        1.1331E-5  4.94E-7
  6.15       1.1097E-5        1.1631E-5  4.92E-7
  6.25       9.7931E-6        1.0126E-5  4.54E-7
  6.35       8.647E-6         8.7224E-6  4.14E-7
  6.45       7.6388E-6        7.5792E-6  3.8E-7
  6.55       6.7514E-6        6.8071E-6  3.54E-7
  6.65       5.9699E-6        6.0245E-6  3.29E-7
  6.75       5.2813E-6        5.1527E-6  2.99E-7
  6.85       4.6742E-6        4.6507E-6  2.8E-7
  6.95       4.1386E-6        4.1196E-6  2.6E-7
  7.05       3.666E-6         3.4777E-6  2.35E-7
  7.15       3.2486E-6        3.2369E-6  2.24E-7
  7.25       2.8799E-6        2.696E-6   2.02E-7
  7.35       2.554E-6         2.6657E-6  1.98E-7
  7.45       2.2658E-6        2.5255E-6  1.9E-7
  7.55       2.0109E-6        1.8538E-6  1.61E-7
  7.65       1.7853E-6        1.7033E-6  1.52E-7
  7.75       1.5855E-6        1.8641E-6  1.57E-7
  7.85       1.4086E-6        1.3728E-6  1.33E-7
  7.95       1.2518E-6        1.2724E-6  1.26E-7
  8.05       1.1128E-6        9.6987E-7  1.09E-7
  8.15       9.8959E-7        1.1019E-6  1.15E-7
  8.25       8.8026E-7        9.7086E-7  1.06E-7
  8.35       7.8325E-7        7.3033E-7  9.11E-8
  8.45       6.9712E-7        6.9125E-7  8.76E-8
  8.55       6.2064E-7        6.2001E-7  8.2E-8
  8.65       5.527E-7         5.6393E-7  7.73E-8
  8.75       4.9234E-7        4.7782E-7  7.04E-8
  8.85       4.3868E-7        5.5901E-7  7.52E-8
  8.95       3.9096E-7        5.2677E-7  7.22E-8
  9.05       3.4853E-7        3.2056E-7  5.57E-8
  9.15       3.1078E-7        2.5646E-7  4.93E-8
  9.25       2.7718E-7        3.6262E-7  5.8E-8
  9.35       2.4727E-7        3.736E-7   5.82E-8
  9.45       2.2064E-7        2.3129E-7  4.54E-8
  9.55       1.9693E-7        1.833E-7   3.99E-8
  9.65       1.758E-7         1.9631E-7  4.09E-8
  9.75       1.5697E-7        1.4222E-7  3.45E-8
  9.85       1.4019E-7        1.9731E-7  4.01E-8
  9.95       1.2522E-7        1.202E-7   3.11E-8
 10.05       1.1188E-7        7.874E-8   2.49E-8
 10.15       9.9981E-8        1.0817E-7  2.89E-8
 10.25       8.9363E-8        1.1316E-7  2.93E-8
 10.35       7.9888E-8        7.4301E-8  2.35E-8
 10.45       7.1431E-8        6.5597E-8  2.18E-8
 10.55       6.3881E-8        1.0006E-7  2.67E-8
 10.65       5.714E-8         2.8035E-8  1.4E-8
 10.75       5.1119E-8        4.8249E-8  1.82E-8
 10.85       4.574E-8         6.7618E-8  2.13E-8
 10.95       4.0934E-8        5.969E-8   1.99E-8
 11.05       3.6639E-8        4.5653E-8  1.72E-8
