   R      RHORPT      DRHORPT    RHORNT    DRHORNT
   .05   .081267     .0026296    .1491     .00486
   .15   .08227      .0010136    .1461     .001798
   .25   .08629     6.381E-4     .146      .001071
   .35   .08936     4.678E-4     .1459    7.58E-4
   .45   .09244     3.709E-4     .1496    6.01E-4
   .55   .09052     3.006E-4     .1487    4.99E-4
   .65   .08605     2.472E-4     .1451    4.25E-4
   .75   .07785     2.015E-4     .1353    3.58E-4
   .85   .06875     1.648E-4     .1229    3E-4
   .95   .05846     1.34E-4      .1071    2.5E-4
  1.05   .04855     1.0918E-4    .0907    2.08E-4
  1.15   .03964     8.952E-5     .0754    1.727E-4
  1.25   .03205     7.372E-5     .0621    1.445E-4
  1.35   .02572     6.091E-5     .0507    1.209E-4
  1.45   .02042     5.049E-5     .0408    1.015E-4
  1.55   .016118    4.189E-5     .0327    8.55E-5
  1.65   .012703    3.505E-5     .0263    7.23E-5
  1.75   .010032    2.934E-5     .021     6.13E-5
  1.85   .007875    2.452E-5     .01676   5.21E-5
  1.95   .006243    2.078E-5     .01347   4.46E-5
  2.05   .004898    1.7476E-5    .01077   3.81E-5
  2.15   .003894    1.4818E-5    .0087    3.27E-5
  2.25   .00307     1.26E-5      .00697   2.82E-5
  2.35   .0024341   1.0689E-5    .00564   2.44E-5
  2.45   .0019256   9.09E-6      .00452   2.099E-5
  2.55   .0015313   7.745E-6     .00365   1.82E-5
  2.65   .0012112   6.608E-6     .00295   1.579E-5
  2.75  9.586E-4    5.656E-6     .00238   1.373E-5
  2.85  7.73E-4     4.881E-6     .001959  1.205E-5
  2.95  6.134E-4    4.165E-6     .00159   1.052E-5
  3.05  4.933E-4    3.597E-6     .0013    9.22E-6
  3.15  3.8784E-4   3.076E-6     .001039  8.01E-6
  3.25  3.1387E-4   2.6564E-6   8.63E-4   7.09E-6
  3.35  2.4848E-4   2.2921E-6   6.96E-4   6.21E-6
  3.45  2.0253E-4   1.9902E-6   5.79E-4   5.5E-6
  3.55  1.6373E-4   1.7389E-6   4.75E-4   4.86E-6
  3.65  1.2797E-4   1.4678E-6   3.86E-4   4.28E-6
  3.75  1.056E-4    1.3018E-6   3.21E-4   3.8E-6
  3.85  8.452E-5    1.1252E-6   2.65E-4   3.37E-6
  3.95  6.9881E-5   9.936E-7    2.21E-4   3.01E-6
  4.05  5.5308E-5   8.529E-7    1.8E-4    2.65E-6
  4.15  4.5297E-5   7.544E-7    1.477E-4  2.35E-6
  4.25  3.6354E-5   6.501E-7    1.23E-4   2.095E-6
  4.35  2.8726E-5   5.595E-7    9.92E-5   1.843E-6
  4.45  2.4048E-5   4.963E-7    8.6E-5    1.688E-6
  4.55  1.9591E-5   4.351E-7    7.04E-5   1.492E-6
  4.65  1.5662E-5   3.793E-7    5.81E-5   1.332E-6
  4.75  1.3127E-5   3.4113E-7   4.82E-5   1.186E-6
  4.85  1.0906E-5   3.0284E-7   4.12E-5   1.076E-6
  4.95  8.8588E-6   2.6473E-7   3.43E-5   9.65E-7
  5.05  7.3152E-6   2.3489E-7   2.86E-5   8.64E-7
  5.15  6.2371E-6   2.1237E-7   2.47E-5   7.89E-7
