   R       RHORP      DRHORP      RHORN    DRHORN
   .05   .03301      .003325     .0514     .00509
   .15   .02899      .0011771    .0457     .001825
   .25   .02706     6.91E-4      .0433     .001081
   .35   .02815     5.028E-4     .0451    7.91E-4
   .45   .02685     3.805E-4     .0442    6.13E-4
   .55   .02601     3.057E-4     .0434    5.01E-4
   .65   .02481     2.499E-4     .0428    4.23E-4
   .75   .02364     2.109E-4     .0424    3.71E-4
   .85   .0222      1.779E-4     .0409    3.21E-4
   .95   .02069     1.528E-4     .0397    2.86E-4
  1.05   .01926     1.32E-4      .0382    2.54E-4
  1.15   .01817     1.1565E-4    .0374    2.32E-4
  1.25   .01676     1.0125E-4    .0356    2.09E-4
  1.35   .01535     8.867E-5     .0339    1.895E-4
  1.45   .01416     7.844E-5     .0326    1.73E-4
  1.55   .012965    6.962E-5     .0311    1.592E-4
  1.65   .011663    6.133E-5     .029     1.453E-4
  1.75   .010551    5.468E-5     .0276    1.342E-4
  1.85   .009701    4.909E-5     .0263    1.241E-4
  1.95   .008638    4.362E-5     .0244    1.139E-4
  2.05   .007839    3.939E-5     .0232    1.061E-4
  2.15   .006975    3.513E-5     .0216    9.78E-5
  2.25   .006168    3.139E-5     .01984   9E-5
  2.35   .005432    2.801E-5     .01839   8.32E-5
  2.45   .004843    2.524E-5     .01712   7.76E-5
  2.55   .004216    2.252E-5     .01568   7.16E-5
  2.65   .003662    2.009E-5     .01427   6.59E-5
  2.75   .003167    1.791E-5     .01303   6.1E-5
  2.85   .002736    1.605E-5     .01177   5.63E-5
  2.95   .002335    1.428E-5     .01069   5.22E-5
  3.05   .002       1.2642E-5    .00963   4.8E-5
  3.15   .0016886   1.122E-5     .0086    4.42E-5
  3.25   .0014526   1.0081E-5    .00779   4.09E-5
  3.35   .0012165   8.88E-6      .0069    3.75E-5
  3.45   .0010046   7.808E-6     .00612   3.46E-5
  3.55  8.467E-4    6.94E-6      .00551   3.2E-5
  3.65  6.881E-4    6.013E-6     .00484   2.93E-5
  3.75  5.764E-4    5.328E-6     .00436   2.72E-5
  3.85  4.695E-4    4.67E-6      .00381   2.48E-5
  3.95  3.883E-4    4.123E-6     .00342   2.3E-5
  4.05  3.241E-4    3.65E-6      .00304   2.12E-5
  4.15  2.626E-4    3.171E-6     .00263   1.936E-5
  4.25  2.1881E-4   2.822E-6     .00235   1.791E-5
  4.35  1.7868E-4   2.464E-6     .00211   1.66E-5
  4.45  1.3899E-4   2.091E-6     .001849  1.525E-5
  4.55  1.1705E-4   1.8774E-6    .00164   1.408E-5
  4.65  9.124E-5    1.5917E-6    .001425  1.29E-5
  4.75  7.537E-5    1.4118E-6    .001266  1.193E-5
  4.85  5.913E-5    1.2083E-6    .001108  1.093E-5
  4.95  4.939E-5    1.0724E-6   9.9E-4    1.017E-5
  5.05  4.282E-5    9.959E-7    8.75E-4   9.39E-6
  5.15  3.3782E-5   8.443E-7    7.77E-4   8.68E-6
  5.25  2.6688E-5   7.249E-7    6.92E-4   8.06E-6
  5.35  2.2587E-5   6.556E-7    6.21E-4   7.49E-6
  5.45  1.7957E-5   5.683E-7    5.43E-4   6.89E-6
  5.55  1.4547E-5   4.925E-7    4.74E-4   6.33E-6
  5.65  1.0871E-5   4.08E-7     4.19E-4   5.86E-6
  5.75  8.875E-6    3.542E-7    3.64E-4   5.36E-6
  5.85  7.815E-6    3.291E-7    3.34E-4   5.05E-6
  5.95  6.67E-6     2.98E-7     3E-4      4.72E-6
  6.05  4.773E-6    2.45E-7     2.66E-4   4.37E-6
  6.15  3.6566E-6   2.056E-7    2.38E-4   4.08E-6
  6.25  3.4874E-6   2.0036E-7   2.1E-4    3.78E-6
  6.35  2.8985E-6   1.7855E-7   1.845E-4  3.48E-6
  6.45  2.4249E-6   1.6625E-7   1.621E-4  3.21E-6
  6.55  1.631E-6    1.166E-7    1.442E-4  2.98E-6
  6.65  1.4E-6      1.1227E-7   1.309E-4  2.81E-6
  6.75  1.2475E-6   1.0329E-7   1.167E-4  2.61E-6
  6.85  1.1485E-6   1.029E-7    1.045E-4  2.44E-6
  6.95  8.369E-7    7.583E-8    9.38E-5   2.28E-6
  7.05  7.144E-7    6.967E-8    8.35E-5   2.12E-6
  7.15  5.275E-7    5.848E-8    7.33E-5   1.966E-6
  7.25  4.2248E-7   4.679E-8    6.51E-5   1.818E-6
  7.35  3.8639E-7   4.82E-8     6.15E-5   1.744E-6
  7.45  3.3014E-7   4.028E-8    5.2E-5    1.585E-6
  7.55  2.4113E-7   3.3116E-8   4.78E-5   1.493E-6
  7.65  2.4747E-7   3.72E-8     4.38E-5   1.413E-6
  7.75  1.4521E-7   2.1423E-8   3.63E-5   1.269E-6
  7.85  1.1737E-7   2.0735E-8   3.47E-5   1.228E-6
  7.95  7.922E-8    1.5716E-8   3.21E-5   1.167E-6
  8.05  1.0714E-7   1.644E-8    2.81E-5   1.075E-6
  8.15  7.4005E-8   1.4541E-8   2.56E-5   1.013E-6
  8.25  6.3793E-8   1.0729E-8   2.3E-5    9.51E-7
  8.35  4.4354E-8   9.477E-9    2.31E-5   9.4E-7
  8.45  3.1073E-8   5.473E-9    1.806E-5  8.29E-7
  8.55  3.321E-8    5.478E-9    1.79E-5   8.08E-7
  8.65  3.5979E-8   1.0107E-8   1.521E-5  7.38E-7
  8.75  2.3751E-8   5.7089E-9   1.477E-5  7.19E-7
  8.85  1.3807E-8   2.7579E-9   1.265E-5  6.58E-7
  8.95  1.411E-8    4.3E-9      1.141E-5  6.2E-7
  9.05  1.0248E-8   2.1787E-9   1.094E-5  5.98E-7
  9.15  1.0073E-8   3.3855E-9   9.91E-6   5.62E-7
  9.25  1.0067E-8   3.2404E-9   9.57E-6   5.52E-7
  9.35  5.4434E-9   1.5167E-9   8.61E-6   5.14E-7
  9.45  5.6522E-9   1.343E-9    7.86E-6   4.9E-7
  9.55  6.4566E-9   3.0636E-9   8.14E-6   4.88E-7
  9.65  2.3442E-9   5.0418E-10  6.35E-6   4.27E-7
  9.75  1.4999E-9   3.3039E-10  5.58E-6   3.99E-7
  9.85  2.5811E-9   8.8026E-10  4.72E-6   3.61E-7
  9.95  1.7929E-9   4.9603E-10  4.18E-6   3.36E-7
 10.05  2.3099E-9   1.1222E-9   4.78E-6   3.56E-7
 10.15  7.7281E-10  1.7873E-10  3.81E-6   3.15E-7
 10.25  1.1826E-9   3.6542E-10  3.94E-6   3.17E-7
 10.35  1.493E-9    7.6592E-10  3.19E-6   2.83E-7
 10.45  8.9351E-10  2.8458E-10  3.01E-6   2.72E-7
 10.55  6.0871E-10  2.9977E-10  2.86E-6   2.62E-7
 10.65  1.8961E-10  5.6797E-11  2.34E-6   2.35E-7
 10.75  3.9136E-10  1.3908E-10  2.201E-6  2.257E-7
 10.85  4.0802E-10  1.9738E-10  2.004E-6  2.133E-7
 10.95  9.3968E-11  4.2952E-11  2.061E-6  2.152E-7
 11.05  1.1503E-10  4.2038E-11  1.716E-6  1.943E-7
 11.15  1.1206E-9   1.0604E-9   1.817E-6  1.979E-7
 11.25  1.2866E-10  6.1459E-11  1.488E-6  1.778E-7
 11.35  5.397E-11   1.9054E-11  1.276E-6  1.658E-7
 11.45  1.8146E-10  1.0725E-10  1.417E-6  1.726E-7
 11.55  3.7459E-11  1.5321E-11  9.94E-7   1.415E-7
 11.65  6.31E-11    2.9156E-11  1.192E-6  1.535E-7
 11.75  5.7745E-11  2.7467E-11  1.134E-6  1.485E-7
 11.85  4.7946E-11  2.5114E-11  1.076E-6  1.436E-7
 11.95  6.6663E-11  3.1004E-11  1.133E-6  1.46E-7
 12.05  1.1855E-11  4.7158E-12  5.85E-7   1.043E-7
 12.15  8.712E-12   3.913E-12   5.93E-7   1.038E-7
 12.25  1.4336E-11  1.0217E-11  6.89E-7   1.11E-7
 12.35  4.9818E-11  2.2125E-11  8.7E-7    1.236E-7
 12.45  1.6348E-11  9.4263E-12  5.3E-7    9.58E-8
 12.55  3.5472E-12  1.2748E-12  6.74E-7   1.073E-7
 12.65  3.1796E-12  1.5618E-12  4.97E-7   9.12E-8
 12.75  4.4599E-12  2.9434E-12  3.92E-7   8.04E-8
 12.85  1.1434E-12  6.061E-13   3.37E-7   7.41E-8
 12.95  1.5826E-12  9.554E-13   3.16E-7   7.1E-8
 13.05  2.6252E-12  1.7012E-12  3.74E-7   7.67E-8
 13.15  4.6779E-12  2.444E-12   3.37E-7   7.24E-8
 13.25  3.3516E-12  2.8709E-12  2.72E-7   6.45E-8
 13.35  8.9828E-13  5.0872E-13  3.13E-7   6.87E-8
 13.45  4.0967E-13  1.6094E-13  2.79E-7   6.44E-8
 13.55  1.1854E-12  8.758E-13   2.6E-7    6.19E-8
 13.65  6.9106E-13  3.6361E-13  2.567E-7  6.08E-8
 13.75  2.1641E-12  1.9027E-12  2.109E-7  5.47E-8
 13.85  1.5705E-12  1.3404E-12  2.212E-7  5.57E-8
 13.95  5.1121E-13  3.7509E-13  2.043E-7  5.31E-8
 14.05  7.8277E-13  5.8311E-13  1.879E-7  5.05E-8
 14.15  7.1226E-13  3.8204E-13  1.858E-7  4.97E-8
 14.25  1.1321E-12  5.8435E-13  2.74E-7   6.03E-8
 14.35  1.8617E-13  1.2185E-13  1.031E-7  3.66E-8
 14.45  1.7947E-13  9.7191E-14  2.414E-7  5.57E-8
 14.55  1.3163E-13  9.0219E-14  1.127E-7  3.79E-8
 14.65  9.1313E-14  5.2094E-14  1.236E-7  3.93E-8
 14.75  7.0551E-14  5.3868E-14  1.464E-7  4.24E-8
 14.85  1.7906E-14  1.1464E-14  6.02E-8   2.7E-8
 14.95  1.1112E-12  7.5886E-13  1.187E-7  3.79E-8
 15.05  3.7295E-15  2.176E-15   4.69E-8   2.364E-8
 15.15  5.081E-13   4.6806E-13  1.155E-7  3.69E-8
 15.25  1.9035E-14  1.062E-14   9.12E-8   3.23E-8
 15.35  3.5307E-14  3.1704E-14  4.5E-8    2.255E-8
 15.45  2.0686E-14  1.6461E-14  4.44E-8   2.238E-8
 15.55  1.4867E-14  1.3351E-14  4.39E-8   2.199E-8
 15.65  2.0637E-14  1.5197E-14  4.33E-8   2.172E-8
 15.75  3.3227E-15  1.6271E-15  8.56E-8   3.06E-8
 15.85  2.4609E-14  1.7605E-14  6.33E-8   2.6E-8
 15.95  2.7466E-14  1.6441E-14  6.26E-8   2.56E-8
 16.05  6.8936E-15  6.8936E-15  1.03E-8   1.03E-8
 16.15  3.3606E-14  3.2806E-14  3.05E-8   1.775E-8
 16.25  3.8528E-15  2.6718E-15  7.03E-8   2.67E-8
 16.35  5.062E-14   4.7413E-14  7.93E-8   2.82E-8
 16.45  1.0044E-15  7.791E-16   2.94E-8   1.704E-8
 16.55  2.3009E-15  1.6808E-15  1.938E-8  1.371E-8
