   R      RHORP      DRHORP     RHORN    DRHORN
   .05   .084       .013       .0726     .01124
   .15   .0946      .00516     .085      .00464
   .25   .093       .0031      .0832     .00278
   .35   .093       .0022      .0836     .001992
   .45   .086       .001646    .0794     .001526
   .55   .0844      .00132     .0812     .001276
   .65   .0798      .001082    .078      .001064
   .75   .0756     9.04E-4     .077     9.24E-4
   .85   .07       7.6E-4      .0738    8.06E-4
   .95   .0652     6.52E-4     .0718    7.22E-4
  1.05   .0598     5.58E-4     .0692    6.48E-4
  1.15   .0546     4.78E-4     .0668    5.88E-4
  1.25   .0496     4.18E-4     .0638    5.4E-4
  1.35   .045      3.62E-4     .0618    4.96E-4
  1.45   .0396     3.12E-4     .0576    4.5E-4
  1.55   .035      2.7E-4      .0548    4.18E-4
  1.65   .0304     2.34E-4     .0514    3.86E-4
  1.75   .0266     2.04E-4     .0484    3.58E-4
  1.85   .0228     1.75E-4     .0452    3.32E-4
  1.95   .0193     1.512E-4    .042     3.1E-4
  2.05   .0164     1.312E-4    .0388    2.86E-4
  2.15   .01388    1.128E-4    .0364    2.68E-4
  2.25   .01154    9.7E-5      .0338    2.5E-4
  2.35   .00966    8.3E-5      .0316    2.34E-4
  2.45   .00788    7.12E-5     .029     2.2E-4
  2.55   .00636    6E-5        .0264    2.02E-4
  2.65   .00518    5.12E-5     .0244    1.892E-4
  2.75   .00416    4.32E-5     .0222    1.75E-4
  2.85   .0033     3.64E-5     .0204    1.64E-4
  2.95   .00264    3.06E-5     .01868   1.528E-4
  3.05   .00208    2.56E-5     .01714   1.418E-4
  3.15   .001646   2.12E-5     .01564   1.322E-4
  3.25   .00128    1.744E-5    .0146    1.244E-4
  3.35   .00103    1.482E-5    .01326   1.158E-4
  3.45  7.78E-4    1.208E-5    .01192   1.074E-4
  3.55  6.1E-4     1.014E-5    .011     1.002E-4
  3.65  4.7E-4     8.06E-6     .01014   9.44E-5
  3.75  3.58E-4    6.54E-6     .0092    8.76E-5
  3.85  2.82E-4    5.4E-6      .00854   8.24E-5
  3.95  2.26E-4    4.6E-6      .0078    7.7E-5
  4.05  1.782E-4   3.86E-6     .00694   7.12E-5
  4.15  1.298E-4   2.8E-6      .00646   6.68E-5
  4.25  9.8E-5     2.32E-6     .00574   6.18E-5
  4.35  7.52E-5    1.892E-6    .00516   5.72E-5
  4.45  5.62E-5    1.396E-6    .00478   5.4E-5
  4.55  4.42E-5    1.216E-6    .00438   5.04E-5
  4.65  3.3E-5     9.58E-7     .00388   4.66E-5
  4.75  2.7E-5     8.44E-7     .00358   4.4E-5
  4.85  2.04E-5    6.7E-7      .0032    4.08E-5
  4.95  1.454E-5   4.62E-7     .00286   3.8E-5
  5.05  1.164E-5   4.28E-7     .00256   3.5E-5
  5.15  8.68E-6    3.24E-7     .00232   3.28E-5
  5.25  7.18E-6    3.5E-7      .00208   3.04E-5
  5.35  5.04E-6    2E-7        .001814  2.78E-5
  5.45  3.78E-6    1.51E-7     .001644  2.62E-5
  5.55  2.96E-6    1.168E-7    .001502  2.46E-5
  5.65  2.16E-6    9.42E-8     .001286  2.24E-5
  5.75  1.744E-6   7.38E-8     .001186  2.1E-5
  5.85  1.284E-6   5.02E-8     .001096  1.986E-5
  5.95  9.9E-7     6.44E-8    9.3E-4    1.804E-5
  6.05  7.56E-7    3.64E-8    8.44E-4   1.69E-5
  6.15  6.24E-7    2.94E-8    7.86E-4   1.6E-5
  6.25  5E-7       2.54E-8    6.52E-4   1.432E-5
  6.35  3.9E-7     2.04E-8    5.86E-4   1.342E-5
  6.45  3.04E-7    1.19E-8    5.46E-4   1.274E-5
  6.55  2.5E-7     2.02E-8    4.58E-4   1.146E-5
  6.65  1.916E-7   8.3E-9     4.04E-4   1.066E-5
  6.75  1.678E-7   7.08E-9    3.78E-4   1.012E-5
  6.85  1.34E-7    6.74E-9    3.26E-4   9.28E-6
  6.95  1.236E-7   1.106E-8   2.86E-4   8.58E-6
  7.05  1.014E-7   4.96E-9    2.66E-4   8.14E-6
  7.15  7.26E-8    3.2E-9     2.26E-4   7.42E-6
  7.25  6.44E-8    3.66E-9    1.93E-4   6.76E-6
  7.35  5.14E-8    2.66E-9    1.738E-4  6.34E-6
  7.45  4.46E-8    2.6E-9     1.6E-4    6.02E-6
  7.55  3.64E-8    1.952E-9   1.424E-4  5.58E-6
  7.65  2.98E-8    1.636E-9   1.258E-4  5.18E-6
  7.75  2.54E-8    1.518E-9   1.14E-4   4.86E-6
  7.85  2.24E-8    1.492E-9   9.94E-5   4.48E-6
  7.95  2.04E-8    1.482E-9   1.014E-4  4.46E-6
  8.05  1.562E-8   1.062E-9   8.46E-5   4.02E-6
  8.15  1.184E-8   8.58E-10   7.3E-5    3.7E-6
  8.25  9.2E-9     7.26E-10   6.3E-5    3.4E-6
  8.35  7.6E-9     5.92E-10   6E-5      3.26E-6
  8.45  6.44E-9    5.5E-10    5.58E-5   3.12E-6
  8.55  5.5E-9     5.2E-10    4.98E-5   2.9E-6
  8.65  5.68E-9    5.1E-10    5E-5      2.88E-6
  8.75  3.58E-9    3.4E-10    4.16E-5   2.64E-6
  8.85  3.32E-9    3.5E-10    3.6E-5    2.38E-6
  8.95  2.54E-9    2.82E-10   3.52E-5   2.36E-6
  9.05  2.16E-9    2.58E-10   2.8E-5    2.06E-6
  9.15  1.426E-9   1.862E-10  2.36E-5   1.87E-6
  9.25  1.398E-9   1.784E-10  2.84E-5   2.02E-6
  9.35  1.206E-9   1.638E-10  2.46E-5   1.868E-6
  9.45  6.96E-10   1.2E-10    2E-5      1.668E-6
  9.55  6.3E-10    8.88E-11   1.826E-5  1.576E-6
  9.65  4.86E-10   8.16E-11   1.548E-5  1.436E-6
  9.75  4.02E-10   6.78E-11   1.518E-5  1.408E-6
  9.85  3.08E-10   7.62E-11   1.372E-5  1.324E-6
  9.95  1.966E-10  3.72E-11   1.244E-5  1.248E-6
 10.05  2.46E-10   1.068E-10  9.98E-6   1.108E-6
 10.15  1.866E-10  3.1E-11    1.232E-5  1.218E-6
 10.25  7.26E-11   1.816E-11  7.7E-6    9.54E-7
 10.35  9.76E-11   2.32E-11   7.9E-6    9.56E-7
 10.45  4.52E-11   1.2E-11    7.28E-6   9.1E-7
 10.55  6.54E-11   2.92E-11   6.14E-6   8.28E-7
 10.65  2.98E-11   7.48E-12   5.48E-6   7.74E-7
 10.75  1.544E-11  4.28E-12   4.74E-6   7.14E-7
 10.85  1.996E-11  4.38E-12   5.38E-6   7.54E-7
 10.95  3.12E-11   1.006E-11  3.94E-6   6.4E-7
 11.05  1.006E-11  2.72E-12   4.58E-6   6.82E-7
 11.15  1.306E-11  4.62E-12   3E-6      5.48E-7
 11.25  1.318E-11  5.22E-12   3.74E-6   6.06E-7
 11.35  4.8E-12    1.542E-12  2.9E-6    5.28E-7
 11.45  4.58E-12   1.336E-12  2.66E-6   5.02E-7
 11.55  1.844E-12  6.24E-13   1.77E-6   4.06E-7
 11.65  3.2E-12    1.034E-12  2.94E-6   5.18E-7
 11.75  8.74E-13   2.36E-13   2.16E-6   4.42E-7
 11.85  1.76E-12   7.58E-13   1.594E-6  3.76E-7
 11.95  2.56E-12   1.274E-12  2.7E-6    4.84E-7
 12.05  1.01E-12   6.62E-13   1.37E-6   3.42E-7
 12.15  9.64E-13   5.56E-13   1.18E-6   3.16E-7
 12.25  2.4E-13    7.44E-14   1.574E-6  3.62E-7
 12.35  4.34E-13   2.52E-13   9.78E-7   2.82E-7
 12.45  1.8E-13    7.56E-14   1.042E-6  2.9E-7
 12.55  2.9E-13    1.55E-13   8.68E-7   2.62E-7
 12.65  1.418E-13  6.78E-14   6.22E-7   2.2E-7
 12.75  9.88E-14   4.4E-14    9.18E-7   2.64E-7
 12.85  9.02E-14   4.46E-14   1.054E-6  2.82E-7
 12.95  1.566E-13  1.428E-13  2.22E-7   1.284E-7
 13.05  3.32E-14   2.72E-14   2.92E-7   1.46E-7
 13.15  4.46E-14   2.52E-14   7.2E-7    2.28E-7
 13.25  1.06E-14   4.82E-15   5.66E-7   2E-7
 13.35  8.06E-15   3.92E-15   6.28E-7   2.1E-7
 13.45  4.44E-15   2.22E-15   3.44E-7   1.536E-7
 13.55  8.38E-15   4.2E-15    5.42E-7   1.916E-7
 13.65  3.6E-15    2.08E-15   2.66E-7   1.334E-7
 13.75  4.72E-15   3.28E-15   1.972E-7  1.14E-7
 13.85  7.52E-16   4E-16      2.6E-7    1.296E-7
 13.95  1.596E-15  8E-16      3.2E-7    1.428E-7
 14.05  2.7E-15    1.958E-15  3.14E-7   1.408E-7
 14.15  1.956E-15  1.482E-15  1.864E-7  1.076E-7
 14.25  1.144E-15  1.044E-15  1.836E-7  1.06E-7
 14.35  1.13E-15   7.24E-16   2.42E-7   1.208E-7
 14.45  6.48E-17   6.48E-17   5.96E-8   5.96E-8
 14.55  5.8E-16    3.06E-16   2.94E-7   1.314E-7
 14.65  4.98E-17   4.98E-17   5.8E-8    5.8E-8
 14.75  2.7E-16    1.472E-16  2.28E-7   1.142E-7
 14.85  3.02E-16   3.02E-16   5.64E-8   5.64E-8
 14.95  3.5E-16    2.16E-16   2.22E-7   1.112E-7
 15.05  2.66E-16   2.1E-16    1.646E-7  9.5E-8
 15.15  9.88E-17   6.2E-17    1.626E-7  9.38E-8
 15.25  2.74E-18   2.74E-18   5.34E-8   5.34E-8
 15.35  2.4E-16    1.446E-16  3.7E-7    1.396E-7
 15.45  2.88E-17   2.2E-17    1.042E-7  7.36E-8
 15.55  2.84E-17   1.936E-17  2.06E-7   1.028E-7
 15.65  8.8E-19    6.94E-19   1.016E-7  7.18E-8
 15.75  1.09E-18   1.09E-18   5.02E-8   5.02E-8
 15.85  2.92E-17   2.92E-17   4.94E-8   4.94E-8
 15.95  0          0          0         0
 16.05  0          0          0         0
 16.15  0          0          0         0
 16.25  0          0          0         0
 16.35  0          0          0         0
 16.45  0          0          0         0
 16.55  2.84E-18   2.84E-18   4.54E-8   4.54E-8
 16.65  0          0          0         0
 16.75  0          0          0         0
 16.85  0          0          0         0
 16.95  0          0          0         0
 17.05  0          0          0         0
 17.15  0          0          0         0
 17.25  0          0          0         0
 17.35  0          0          0         0
 17.45  0          0          0         0
 17.55  0          0          0         0
 17.65  0          0          0         0
 17.75  0          0          0         0
 17.85  0          0          0         0
 17.95  0          0          0         0
 18.05  0          0          0         0
 18.15  0          0          0         0
 18.25  0          0          0         0
 18.35  0          0          0         0
 18.45  0          0          0         0
 18.55  0          0          0         0
 18.65  0          0          0         0
 18.75  0          0          0         0
 18.85  0          0          0         0
 18.95  0          0          0         0
 19.05  0          0          0         0
 19.15  0          0          0         0
 19.25  0          0          0         0
 19.35  0          0          0         0
 19.45  0          0          0         0
 19.55  0          0          0         0
 19.65  0          0          0         0
 19.75  0          0          0         0
 19.85  0          0          0         0
 19.95  0          0          0         0
 20.05  0          0          0         0
