   R     RHORPH    DRHORPH    RHORNH      DRHORNH
   .05   .1361     .00464    .074409     .0025168
   .15   .1444     .001786   .08206      .0010142
   .25   .142      .001056   .08448     6.329E-4
   .35   .1425    7.48E-4    .0878      4.644E-4
   .45   .1459    5.93E-4    .09063     3.684E-4
   .55   .1463    4.96E-4    .08945     3.003E-4
   .65   .142     4.2E-4     .08455     2.449E-4
   .75   .1326    3.53E-4    .0767      2.002E-4
   .85   .1202    2.98E-4    .06762     1.636E-4
   .95   .1046    2.48E-4    .05746     1.329E-4
  1.05   .0893    2.06E-4    .048       1.0905E-4
  1.15   .0744    1.715E-4   .03922     8.933E-5
  1.25   .0613    1.434E-4   .03183     7.352E-5
  1.35   .05      1.202E-4   .02551     6.083E-5
  1.45   .0406    1.01E-4    .02042     5.052E-5
  1.55   .0326    8.53E-5    .016126    4.202E-5
  1.65   .0263    7.22E-5    .01281     3.509E-5
  1.75   .021     6.14E-5    .010092    2.948E-5
  1.85   .01702   5.25E-5    .008029    2.487E-5
  1.95   .0136    4.47E-5    .00632     2.091E-5
  2.05   .01094   3.83E-5    .004986    1.761E-5
  2.15   .00885   3.3E-5     .00397     1.4949E-5
  2.25   .00709   2.84E-5    .003123    1.2614E-5
  2.35   .00575   2.45E-5    .0024887   1.0817E-5
  2.45   .00466   2.13E-5    .0019794   9.231E-6
  2.55   .0038    1.859E-5   .001585    7.92E-6
  2.65   .00308   1.612E-5   .0012539   6.743E-6
  2.75   .00253   1.416E-5   .0010107   5.801E-6
  2.85   .002049  1.233E-5  8.048E-4    4.983E-6
  2.95   .00166   1.078E-5  6.387E-4    4.267E-6
  3.05   .001355  9.44E-6   5.125E-4    3.68E-6
  3.15   .001108  8.28E-6   4.0965E-4   3.157E-6
  3.25  9.04E-4   7.29E-6   3.2778E-4   2.74E-6
  3.35  7.46E-4   6.44E-6   2.6419E-4   2.3634E-6
  3.45  6.04E-4   5.63E-6   2.0991E-4   2.0356E-6
  3.55  4.94E-4   4.96E-6   1.6699E-4   1.7458E-6
  3.65  4.15E-4   4.45E-6   1.3733E-4   1.5345E-6
  3.75  3.4E-4    3.91E-6   1.1184E-4   1.337E-6
  3.85  2.82E-4   3.49E-6   8.949E-5    1.1589E-6
  3.95  2.36E-4   3.12E-6   7.298E-5    1.0143E-6
  4.05  1.965E-4  2.79E-6   5.946E-5    8.844E-7
  4.15  1.644E-4  2.49E-6   4.8846E-5   7.787E-7
  4.25  1.325E-4  2.188E-6  3.8506E-5   6.703E-7
  4.35  1.128E-4  1.981E-6  3.1808E-5   5.905E-7
  4.45  9.32E-5   1.758E-6  2.5918E-5   5.172E-7
  4.55  7.86E-5   1.582E-6  2.1555E-5   4.614E-7
  4.65  6.69E-5   1.434E-6  1.7695E-5   4.034E-7
  4.75  5.36E-5   1.259E-6  1.3949E-5   3.5017E-7
  4.85  4.59E-5   1.139E-6  1.1825E-5   3.1271E-7
  4.95  3.85E-5   1.025E-6  9.69E-6     2.756E-7
  5.05  3.08E-5   9.03E-7   7.5581E-6   2.3765E-7
  5.15  2.58E-5   8.1E-7    6.2993E-6   2.1289E-7
  5.25  2.239E-5  7.4E-7    5.3865E-6   1.9082E-7
  5.35  1.946E-5  6.79E-7   4.5442E-6   1.715E-7
  5.45  1.67E-5   6.21E-7   3.7369E-6   1.5152E-7
  5.55  1.284E-5  5.34E-7   2.9714E-6   1.3357E-7
  5.65  1.131E-5  4.92E-7   2.4658E-6   1.1626E-7
  5.75  9.53E-6   4.44E-7   2.0752E-6   1.0572E-7
  5.85  8.36E-6   4.11E-7   1.8032E-6   9.792E-8
  5.95  6.78E-6   3.63E-7   1.4374E-6   8.405E-8
  6.05  5.95E-6   3.38E-7   1.2048E-6   7.523E-8
  6.15  4.83E-6   2.96E-7   1.0149E-6   6.879E-8
  6.25  3.86E-6   2.62E-7   8.22E-7     6.126E-8
  6.35  3.16E-6   2.32E-7   6.8707E-7   5.606E-8
  6.45  2.85E-6   2.185E-7  5.5356E-7   4.6883E-8
  6.55  2.47E-6   2.009E-7  4.9603E-7   4.4558E-8
  6.65  2.257E-6  1.9E-7    4.3729E-7   4.1129E-8
  6.75  1.64E-6   1.603E-7  2.9883E-7   3.3683E-8
  6.85  1.399E-6  1.422E-7  3.1376E-7   3.5262E-8
  6.95  1.22E-6   1.323E-7  2.4593E-7   3.0057E-8
  7.05  7.82E-7   1.056E-7  1.468E-7    2.2933E-8
  7.15  1.068E-6  1.209E-7  2.2445E-7   2.8757E-8
  7.25  8.35E-7   1.042E-7  1.8E-7      2.4351E-8
  7.35  7.56E-7   9.85E-8   1.5764E-7   2.3396E-8
  7.45  6.15E-7   8.85E-8   1.1631E-7   1.8715E-8
  7.55  4.98E-7   7.81E-8   8.8631E-8   1.5455E-8
  7.65  4.1E-7    6.87E-8   9.3352E-8   1.7552E-8
  7.75  2.89E-7   5.8E-8    5.5267E-8   1.2202E-8
  7.85  3.64E-7   6.39E-8   7.5503E-8   1.4544E-8
  7.95  2.095E-7  4.79E-8   4.2416E-8   1.0814E-8
  8.05  2.56E-7   5.22E-8   5.0923E-8   1.1327E-8
  8.15  2.78E-7   5.48E-8   5.7116E-8   1.3633E-8
  8.25  1.806E-7  4.23E-8   4.1651E-8   1.0804E-8
  8.35  1.294E-7  3.54E-8   3.0358E-8   9.325E-9
  8.45  1.384E-7  3.64E-8   2.8684E-8   8.0308E-9
  8.55  1.506E-7  3.7E-8    3.4417E-8   9.354E-9
  8.65  7.49E-8   2.55E-8   2.0784E-8   7.7655E-9
  8.75  8.07E-8   2.73E-8   1.2773E-8   4.5318E-9
  8.85  8.82E-8   2.84E-8   1.3418E-8   4.739E-9
