   R       RHORP      DRHORP     RHORN    DRHORN
   .05    .0905      .0243      .0767     .0206
   .15    .1034      .00984     .0858     .00815
   .25    .093       .00564     .0791     .0048
   .35    .093       .00397     .0809     .00345
   .45    .0854      .00295     .0758     .00261
   .55    .0834      .00238     .0759     .00218
   .65    .083       .00198     .0782     .001869
   .75    .0798      .001684    .0784     .001658
   .85    .0751      .001428    .0769     .001468
   .95    .0699      .001215    .0758     .001326
  1.05    .0651      .001047    .0736     .001187
  1.15    .0623     9.23E-4     .0739     .001103
  1.25    .0563     7.95E-4     .0706    9.96E-4
  1.35    .0516     6.97E-4     .0688    9.25E-4
  1.45    .0468     6.09E-4     .0654    8.51E-4
  1.55    .0441     5.48E-4     .0658    8.1E-4
  1.65    .039      4.78E-4     .0614    7.43E-4
  1.75    .0344     4.2E-4      .0579    6.89E-4
  1.85    .0308     3.68E-4     .0555    6.43E-4
  1.95    .0272     3.27E-4     .0517    5.99E-4
  2.05    .02354    2.84E-4     .0483    5.53E-4
  2.15    .02097    2.513E-4    .0455    5.17E-4
  2.25    .01791    2.193E-4    .0419    4.79E-4
  2.35    .01546    1.936E-4    .0387    4.43E-4
  2.45    .01332    1.69E-4     .0355    4.13E-4
  2.55    .01132    1.475E-4    .033     3.89E-4
  2.65    .0098     1.314E-4    .03      3.58E-4
  2.75    .00852    1.14E-4     .0278    3.32E-4
  2.85    .00715    1.007E-4    .0248    3.06E-4
  2.95    .00604    8.85E-5     .0224    2.84E-4
  3.05    .00507    7.58E-5     .0205    2.63E-4
  3.15    .004231   6.61E-5     .01831   2.44E-4
  3.25    .003543   5.75E-5     .01626   2.23E-4
  3.35    .00292    4.99E-5     .01422   2.04E-4
  3.45    .002579   4.468E-5    .01323   1.917E-4
  3.55    .002097   3.841E-5    .01162   1.748E-4
  3.65    .001805   3.429E-5    .01044   1.616E-4
  3.75    .001524   2.996E-5    .00944   1.507E-4
  3.85    .00122    2.546E-5    .00807   1.359E-4
  3.95    .001016   2.256E-5    .00719   1.251E-4
  4.05   8.619E-4   1.982E-5    .0063    1.148E-4
  4.15   6.91E-4    1.688E-5    .00543   1.046E-4
  4.25   6.024E-4   1.524E-5    .00485   9.74E-5
  4.35   4.809E-4   1.338E-5    .00408   8.83E-5
  4.45   3.961E-4   1.156E-5    .00368   8.19E-5
  4.55   3.384E-4   1.02E-5     .00324   7.48E-5
  4.65   2.655E-4   8.777E-6    .00267   6.73E-5
