   R      RHORP      DRHORP
   .05   .0812      .00699
   .15   .0885      .00275
   .25   .086       .001643
   .35   .0858      .001174
   .45   .0812     8.9E-4
   .55   .0805     7.26E-4
   .65   .077      6.01E-4
   .75   .0725     5.08E-4
   .85   .0692     4.39E-4
   .95   .0652     3.83E-4
  1.05   .0609     3.34E-4
  1.15   .0563     2.95E-4
  1.25   .0524     2.61E-4
  1.35   .0487     2.34E-4
  1.45   .0439     2.062E-4
  1.55   .04       1.849E-4
  1.65   .0364     1.656E-4
  1.75   .0329     1.489E-4
  1.85   .0292     1.329E-4
  1.95   .0262     1.192E-4
  2.05   .02303    1.072E-4
  2.15   .02016    9.58E-5
  2.25   .01779    8.61E-5
  2.35   .01556    7.73E-5
  2.45   .01342    6.94E-5
  2.55   .01159    6.21E-5
  2.65   .00999    5.58E-5
  2.75   .00856    4.99E-5
  2.85   .00722    4.44E-5
  2.95   .00622    3.99E-5
  3.05   .00531    3.58E-5
  3.15   .00451    3.204E-5
  3.25   .003863   2.88E-5
  3.35   .003248   2.565E-5
  3.45   .002774   2.302E-5
  3.55   .002389   2.076E-5
  3.65   .002021   1.857E-5
  3.75   .00174    1.677E-5
  3.85   .001482   1.504E-5
  3.95   .001257   1.352E-5
  4.05   .00107    1.211E-5
  4.15  9.09E-4    1.087E-5
  4.25  7.64E-4    9.71E-6
  4.35  6.602E-4   8.86E-6
  4.45  5.583E-4   7.87E-6
  4.55  4.779E-4   7.135E-6
  4.65  4.006E-4   6.385E-6
  4.75  3.315E-4   5.661E-6
  4.85  2.898E-4   5.191E-6
  4.95  2.397E-4   4.611E-6
  5.05  2.073E-4   4.18E-6
  5.15  1.751E-4   3.794E-6
  5.25  1.445E-4   3.36E-6
  5.35  1.1823E-4  2.982E-6
  5.45  1.0515E-4  2.75E-6
  5.55  8.275E-5   2.406E-6
  5.65  6.94E-5    2.168E-6
  5.75  5.782E-5   1.93E-6
  5.85  5.341E-5   1.836E-6
  5.95  4.351E-5   1.635E-6
  6.05  3.402E-5   1.412E-6
  6.15  3.069E-5   1.312E-6
  6.25  2.292E-5   1.1208E-6
  6.35  1.905E-5   1.014E-6
  6.45  1.691E-5   9.305E-7
  6.55  1.3952E-5  8.475E-7
  6.65  1.0802E-5  7.288E-7
  6.75  1.0478E-5  6.965E-7
  6.85  8.052E-6   6.1E-7
  6.95  7.163E-6   5.633E-7
  7.05  5.041E-6   4.663E-7
  7.15  4.829E-6   4.527E-7
  7.25  3.94E-6    3.95E-7
  7.35  3.463E-6   3.657E-7
  7.45  2.687E-6   3.263E-7
  7.55  2.0232E-6  2.746E-7
  7.65  1.5596E-6  2.422E-7
  7.75  1.1896E-6  2.16E-7
  7.85  1.0675E-6  1.882E-7
  7.95  9.132E-7   1.7142E-7
  8.05  5.219E-7   1.301E-7
  8.15  8.084E-7   1.597E-7
  8.25  5.556E-7   1.316E-7
  8.35  2.567E-7   8.92E-8
  8.45  5.57E-7    1.2708E-7
  8.55  5.447E-7   1.231E-7
  8.65  2.3934E-7  8.105E-8
  8.75  2.0782E-7  7.483E-8
  8.85  2.285E-7   7.897E-8
  8.95  2.2307E-7  7.484E-8
  9.05  1.7001E-7  6.449E-8
  9.15  1.1845E-7  5.497E-8
  9.25  0          0
  9.35  9.1E-8     5.12E-8
  9.45  6.684E-8   3.895E-8
  9.55  4.36E-8    3.105E-8
  9.65  0          0
  9.75  4.182E-8   2.9624E-8
  9.85  4.0991E-8  2.9019E-8
  9.95  0          0
 10.05  0          0
 10.15  0          0
 10.25  0          0
 10.35  1.8565E-8  1.8565E-8
 10.45  1.8259E-8  1.8259E-8
 10.55  0          0
 10.65  0          0
 10.75  0          0
 10.85  0          0
 10.95  0          0
 11.05  0          0
 11.15  0          0
 11.25  0          0
 11.35  0          0
 11.45  0          0
 11.55  0          0
 11.65  0          0
 11.75  0          0
 11.85  0          0
 11.95  0          0
 12.05  0          0
 12.15  0          0
 12.25  0          0
 12.35  0          0
 12.45  0          0
 12.55  0          0
 12.65  0          0
 12.75  0          0
 12.85  0          0
 12.95  0          0
 13.05  0          0
 13.15  0          0
 13.25  0          0
 13.35  0          0
 13.45  0          0
 13.55  0          0
 13.65  0          0
 13.75  0          0
 13.85  0          0
 13.95  0          0
 14.05  0          0
 14.15  0          0
 14.25  0          0
 14.35  0          0
 14.45  0          0
 14.55  0          0
 14.65  0          0
 14.75  0          0
 14.85  0          0
 14.95  0          0
 15.05  0          0
 15.15  0          0
 15.25  0          0
 15.35  0          0
 15.45  0          0
 15.55  0          0
 15.65  0          0
 15.75  0          0
 15.85  0          0
 15.95  0          0
 16.05  0          0
 16.15  0          0
 16.25  0          0
 16.35  0          0
 16.45  0          0
 16.55  0          0
 16.65  0          0
 16.75  0          0
 16.85  0          0
 16.95  0          0
 17.05  0          0
 17.15  0          0
 17.25  0          0
 17.35  0          0
 17.45  0          0
 17.55  0          0
 17.65  0          0
 17.75  0          0
 17.85  0          0
 17.95  0          0
 18.05  0          0
 18.15  0          0
 18.25  0          0
 18.35  0          0
 18.45  0          0
 18.55  0          0
 18.65  0          0
 18.75  0          0
 18.85  0          0
 18.95  0          0
 19.05  0          0
 19.15  0          0
 19.25  0          0
 19.35  0          0
 19.45  0          0
 19.55  0          0
 19.65  0          0
 19.75  0          0
 19.85  0          0
 19.95  0          0
 20.05  0          0
