   R      RHORP      DRHORP     RHORN    DRHORN
   .05   .0695      .00782     .0609     .00679
   .15   .0705      .00296     .0619     .00258
   .25   .068       .001755    .0609     .001559
   .35   .069       .001264    .0627     .001138
   .45   .0684     9.74E-4     .0634    8.93E-4
   .55   .0663     7.83E-4     .0631    7.36E-4
   .65   .0636     6.47E-4     .0619    6.22E-4
   .75   .063      5.57E-4     .0626    5.47E-4
   .85   .0616     4.81E-4     .0628    4.84E-4
   .95   .0602     4.24E-4     .0627    4.36E-4
  1.05   .0571     3.73E-4     .061     3.9E-4
  1.15   .0544     3.31E-4     .0593    3.53E-4
  1.25   .0514     2.94E-4     .0573    3.21E-4
  1.35   .0483     2.63E-4     .0552    2.93E-4
  1.45   .0454     2.36E-4     .0527    2.67E-4
  1.55   .0423     2.128E-4    .0504    2.46E-4
  1.65   .0395     1.915E-4    .0479    2.24E-4
  1.75   .0364     1.728E-4    .0449    2.06E-4
  1.85   .0331     1.544E-4    .0417    1.872E-4
  1.95   .0301     1.397E-4    .0385    1.719E-4
  2.05   .02676    1.246E-4    .0349    1.559E-4
  2.15   .02392    1.121E-4    .0318    1.426E-4
  2.25   .02122    1.006E-4    .0287    1.302E-4
  2.35   .01854    9E-5        .0256    1.185E-4
  2.45   .01594    7.97E-5     .0223    1.064E-4
  2.55   .01375    7.12E-5     .01967   9.67E-5
  2.65   .01164    6.28E-5     .01699   8.69E-5
  2.75   .00985    5.56E-5     .01469   7.84E-5
  2.85   .00807    4.85E-5     .01226   6.96E-5
  2.95   .00669    4.26E-5     .01041   6.23E-5
  3.05   .00552    3.72E-5     .00875   5.56E-5
  3.15   .00453    3.258E-5    .00738   4.98E-5
  3.25   .003622   2.809E-5    .00601   4.38E-5
  3.35   .002919   2.447E-5    .00494   3.87E-5
  3.45   .002354   2.123E-5    .00406   3.44E-5
  3.55   .001848   1.825E-5    .00327   3.02E-5
  3.65   .001515   1.594E-5    .00271   2.67E-5
  3.75   .001189   1.363E-5    .00217   2.34E-5
  3.85  9.32E-4    1.175E-5    .001744  2.053E-5
  3.95  7.35E-4    1.008E-5    .001412  1.808E-5
  4.05  5.674E-4   8.61E-6     .001108  1.568E-5
  4.15  4.456E-4   7.39E-6    8.86E-4   1.376E-5
  4.25  3.474E-4   6.34E-6    7.03E-4   1.195E-5
  4.35  2.758E-4   5.45E-6    5.73E-4   1.06E-5
  4.45  2.143E-4   4.689E-6   4.53E-4   9.26E-6
  4.55  1.697E-4   4.03E-6    3.64E-4   8.13E-6
  4.65  1.26E-4    3.343E-6   2.83E-4   7.06E-6
  4.75  9.74E-5    2.893E-6   2.18E-4   6.08E-6
  4.85  8.052E-5   2.585E-6   1.846E-4  5.52E-6
  4.95  6.049E-5   2.144E-6   1.434E-4  4.76E-6
  5.05  4.438E-5   1.798E-6   1.069E-4  4.05E-6
  5.15  3.689E-5   1.589E-6   9.04E-5   3.67E-6
  5.25  2.905E-5   1.372E-6   7.41E-5   3.28E-6
  5.35  2.098E-5   1.137E-6   5.36E-5   2.74E-6
  5.45  1.713E-5   9.96E-7    4.41E-5   2.44E-6
  5.55  1.385E-5   8.85E-7    3.64E-5   2.17E-6
  5.65  9.747E-6   7.07E-7    2.68E-5   1.846E-6
  5.75  8.442E-6   6.483E-7   2.31E-5   1.681E-6
  5.85  5.913E-6   5.382E-7   1.672E-5  1.42E-6
  5.95  5.126E-6   4.735E-7   1.526E-5  1.345E-6
  6.05  4.703E-6   4.441E-7   1.385E-5  1.251E-6
  6.15  2.314E-6   3.039E-7   7.22E-6   9.07E-7
  6.25  3.024E-6   3.589E-7   8.92E-6   9.71E-7
  6.35  1.871E-6   2.61E-7    5.75E-6   7.72E-7
