   R      RHORP    DRHORP     RHORN    DRHORN
   .05   .088      .00843    .0855     .00819
   .15   .0941     .00329    .0912     .00319
   .25   .0949     .001996   .0924     .001946
   .35   .0898     .001385   .0878     .001353
   .45   .0892     .001072   .0878     .001055
   .55   .0849    8.53E-4    .0841    8.46E-4
   .65   .0824    7.09E-4    .0825    7.12E-4
   .75   .0783    5.98E-4    .0792    6.05E-4
   .85   .0733    5.09E-4    .0751    5.22E-4
   .95   .0698    4.42E-4    .0724    4.6E-4
  1.05   .0645    3.83E-4    .068     4.05E-4
  1.15   .0595    3.34E-4    .0636    3.59E-4
  1.25   .0548    2.94E-4    .0594    3.21E-4
  1.35   .0502    2.6E-4     .0553    2.89E-4
  1.45   .0456    2.29E-4    .0511    2.59E-4
  1.55   .0411    2.012E-4   .0468    2.32E-4
  1.65   .0366    1.785E-4   .0426    2.097E-4
  1.75   .0326    1.58E-4    .0386    1.895E-4
  1.85   .0289    1.401E-4   .0349    1.716E-4
  1.95   .0252    1.237E-4   .0312    1.541E-4
  2.05   .0218    1.093E-4   .0275    1.389E-4
  2.15   .01917   9.74E-5    .0246    1.266E-4
  2.25   .0167    8.63E-5    .02196   1.147E-4
  2.35   .01429   7.64E-5    .01929   1.036E-4
  2.45   .01223   6.76E-5    .01682   9.35E-5
  2.55   .01049   5.99E-5    .01475   8.47E-5
  2.65   .00886   5.28E-5    .01274   7.64E-5
  2.75   .00766   4.73E-5    .01127   6.99E-5
  2.85   .00654   4.2E-5     .00986   6.35E-5
  2.95   .00559   3.73E-5    .00861   5.76E-5
  3.05   .0047    3.29E-5    .00738   5.18E-5
  3.15   .00406   2.96E-5    .00652   4.76E-5
  3.25   .00344   2.62E-5    .00564   4.31E-5
  3.35   .00298   2.37E-5    .00498   3.96E-5
  3.45   .00253   2.098E-5   .00429   3.59E-5
  3.55   .002187  1.894E-5   .00377   3.27E-5
  3.65   .00186   1.692E-5   .00326   2.98E-5
  3.75   .001624  1.537E-5   .00289   2.74E-5
  3.85   .001429  1.401E-5   .00257   2.52E-5
  3.95   .001229  1.264E-5   .002243  2.306E-5
  4.05   .001042  1.13E-5    .001926  2.089E-5
  4.15  9.17E-4   1.035E-5   .001706  1.932E-5
  4.25  8.01E-4   9.38E-6    .001507  1.773E-5
  4.35  7.01E-4   8.58E-6    .001328  1.628E-5
  4.45  6.33E-4   7.96E-6    .001208  1.522E-5
  4.55  5.5E-4    7.24E-6    .001058  1.396E-5
  4.65  4.8E-4    6.64E-6   9.26E-4   1.281E-5
  4.75  4.15E-4   6.01E-6   8.04E-4   1.166E-5
  4.85  3.85E-4   5.67E-6   7.51E-4   1.108E-5
  4.95  3.26E-4   5.11E-6   6.38E-4   1E-5
  5.05  2.94E-4   4.75E-6   5.75E-4   9.34E-6
  5.15  2.533E-4  4.32E-6   4.98E-4   8.51E-6
  5.25  2.299E-4  4.06E-6   4.52E-4   8E-6
  5.35  1.968E-4  3.68E-6   3.89E-4   7.26E-6
  5.45  1.701E-4  3.34E-6   3.36E-4   6.61E-6
  5.55  1.526E-4  3.13E-6   3.02E-4   6.18E-6
  5.65  1.374E-4  2.92E-6   2.72E-4   5.78E-6
  5.75  1.237E-4  2.71E-6   2.455E-4  5.37E-6
  5.85  1.06E-4   2.465E-6  2.104E-4  4.9E-6
  5.95  9.13E-5   2.247E-6  1.811E-4  4.47E-6
  6.05  8.17E-5   2.092E-6  1.624E-4  4.15E-6
  6.15  7.27E-5   1.949E-6  1.446E-4  3.88E-6
  6.25  6.7E-5    1.831E-6  1.333E-4  3.64E-6
  6.35  5.89E-5   1.69E-6   1.172E-4  3.35E-6
  6.45  5.15E-5   1.556E-6  1.025E-4  3.1E-6
  6.55  4.46E-5   1.426E-6  8.88E-5   2.84E-6
  6.65  3.86E-5   1.309E-6  7.7E-5    2.61E-6
  6.75  3.27E-5   1.189E-6  6.52E-5   2.374E-6
  6.85  3.01E-5   1.121E-6  5.99E-5   2.238E-6
  6.95  2.71E-5   1.046E-6  5.41E-5   2.09E-6
  7.05  2.419E-5  9.78E-7   4.82E-5   1.952E-6
