   R      RHORP    DRHORP     RHORN    DRHORN
   .05   .0935     .01099    .0832     .0097
   .15   .0899     .00406    .0793     .00357
   .25   .0963     .00254    .0866     .00227
   .35   .0896     .001744   .0818     .001582
   .45   .0876     .00133    .082      .001239
   .55   .0871     .00108    .0843     .001041
   .65   .0841    8.88E-4    .0838    8.81E-4
   .75   .081     7.52E-4    .0837    7.74E-4
   .85   .0773    6.44E-4    .0829    6.89E-4
   .95   .0739    5.58E-4    .082     6.19E-4
  1.05   .0709    4.91E-4    .0817    5.65E-4
  1.15   .0657    4.27E-4    .0786    5.1E-4
  1.25   .0612    3.74E-4    .0758    4.64E-4
  1.35   .0563    3.32E-4    .072     4.24E-4
  1.45   .0522    2.95E-4    .0692    3.91E-4
  1.55   .0477    2.61E-4    .0653    3.57E-4
  1.65   .0428    2.3E-4     .0605    3.25E-4
  1.75   .0384    2.046E-4   .0561    2.97E-4
  1.85   .0344    1.817E-4   .0519    2.72E-4
  1.95   .0302    1.611E-4   .0469    2.48E-4
  2.05   .02647   1.419E-4   .0425    2.265E-4
  2.15   .02272   1.25E-4    .0378    2.047E-4
  2.25   .01981   1.105E-4   .0341    1.873E-4
  2.35   .01675   9.73E-5    .0299    1.7E-4
  2.45   .0143    8.57E-5    .0263    1.543E-4
  2.55   .01193   7.44E-5    .02292   1.391E-4
  2.65   .00991   6.51E-5    .01971   1.259E-4
  2.75   .00827   5.71E-5    .01704   1.139E-4
  2.85   .00679   4.95E-5    .01459   1.028E-4
  2.95   .00546   4.27E-5    .01228   9.22E-5
  3.05   .00442   3.67E-5    .01035   8.24E-5
  3.15   .00349   3.114E-5   .00854   7.29E-5
  3.25   .00284   2.692E-5   .00726   6.59E-5
  3.35   .002266  2.312E-5   .00609   5.91E-5
  3.45   .001814  2.008E-5   .00511   5.32E-5
  3.55   .001445  1.716E-5   .00422   4.72E-5
  3.65   .001144  1.474E-5   .00351   4.24E-5
  3.75  8.8E-4    1.227E-5   .00288   3.75E-5
  3.85  7.03E-4   1.062E-5   .00235   3.32E-5
  3.95  5.581E-4  9.1E-6     .001959  2.97E-5
  4.05  4.265E-4  7.64E-6    .001591  2.632E-5
  4.15  3.367E-4  6.55E-6    .001309  2.34E-5
  4.25  2.688E-4  5.704E-6   .00108   2.095E-5
  4.35  2.046E-4  4.739E-6  8.93E-4   1.881E-5
  4.45  1.678E-4  4.155E-6  7.35E-4   1.661E-5
  4.55  1.286E-4  3.505E-6  6E-4      1.474E-5
  4.65  9.74E-5   2.954E-6  4.75E-4   1.291E-5
  4.75  8.344E-5  2.671E-6  4.05E-4   1.164E-5
  4.85  6.068E-5  2.146E-6  3.2E-4    1.022E-5
  4.95  4.865E-5  1.893E-6  2.702E-4  9.28E-6
  5.05  3.791E-5  1.63E-6   2.133E-4  8.1E-6
  5.15  3.047E-5  1.409E-6  1.743E-4  7.19E-6
  5.25  2.439E-5  1.229E-6  1.468E-4  6.51E-6
  5.35  1.894E-5  1.04E-6   1.181E-4  5.72E-6
  5.45  1.4E-5    8.786E-7  8.96E-5   4.91E-6
  5.55  1.011E-5  7.211E-7  6.97E-5   4.28E-6
  5.65  8.01E-6   6.106E-7  5.78E-5   3.83E-6
  5.75  6.299E-6  5.333E-7  4.52E-5   3.31E-6
  5.85  4.707E-6  4.404E-7  3.6E-5    2.892E-6
  5.95  4.532E-6  4.436E-7  3.13E-5   2.651E-6
  6.05  3.599E-6  3.9E-7    2.491E-5  2.331E-6
  6.15  2.309E-6  2.785E-7  1.852E-5  1.984E-6
  6.25  2.005E-6  2.702E-7  1.575E-5  1.807E-6
  6.35  1.887E-6  2.508E-7  1.468E-5  1.715E-6
  6.45  1.684E-6  2.47E-7   1.151E-5  1.475E-6
  6.55  8.608E-7  1.62E-7   6.56E-6   1.094E-6
  6.65  6.223E-7  1.371E-7  5.32E-6   9.88E-7
  6.75  6.314E-7  1.321E-7  5.83E-6   1.014E-6
  6.85  3.716E-7  9.15E-8   3.87E-6   8.17E-7
  6.95  2.594E-7  6.978E-8  3.366E-6  7.67E-7
  7.05  3.603E-7  1.096E-7  2.199E-6  5.8E-7
  7.15  1.196E-7  4.826E-8  1.281E-6  4.5E-7
  7.25  2.643E-7  7.9E-8    2.313E-6  5.89E-7
  7.35  1.354E-7  5.839E-8  1.337E-6  4.61E-7
  7.45  2.22E-7   8.157E-8  1.494E-6  4.66E-7
  7.55  1.509E-7  5.76E-8   1.245E-6  4.08E-7
  7.65  7.82E-8   2.912E-8  1.282E-6  4.23E-7
  7.75  4.654E-8  2.301E-8  7.48E-7   3.15E-7
  7.85  2.311E-8  1.465E-8  4.93E-7   2.54E-7
  7.95  9.53E-8   4.72E-8   9.12E-7   3.425E-7
  8.05  1.16E-8   1.009E-8  2.344E-7  1.706E-7
  8.15  1.135E-8  8.73E-9   2.284E-7  1.628E-7
  8.25  2.672E-8  2.672E-8  9.02E-8   9.02E-8
  8.35  6.75E-9   3.73E-9   4.498E-7  2.261E-7
  8.45  1.255E-8  1.139E-8  2.1E-7    1.61E-7
  8.55  0         0         0         0
  8.65  7.85E-9   7.85E-9   9.85E-8   9.85E-8
  8.75  8.488E-9  8.628E-9  3.032E-7  1.992E-7
  8.85  4.07E-9   2.99E-9   1.995E-7  1.407E-7
  8.95  7.82E-9   6.84E-9   1.913E-7  1.392E-7
  9.05  0         0         0         0
  9.15  4.32E-9   4.32E-9   9.07E-8   9.07E-8
  9.25  4.05E-9   4.05E-9   8.89E-8   8.89E-8
  9.35  0         0         0         0
  9.45  4.61E-9   4.61E-9   8.45E-8   8.45E-8
  9.55  0         0         0         0
  9.65  0         0         0         0
  9.75  6.561E-9  6.561E-9  7.71E-8   7.71E-8
  9.85  8.08E-9   8.08E-9   7.39E-8   7.39E-8
  9.95  0         0         0         0
 10.05  0         0         0         0
 10.15  5.82E-9   5.82E-9   7.14E-8   7.14E-8
 10.25  0         0         0         0
 10.35  3.57E-9   3.57E-9   7.07E-8   7.07E-8
 10.45  0         0         0         0
 10.55  0         0         0         0
 10.65  0         0         0         0
 10.75  0         0         0         0
 10.85  0         0         0         0
 10.95  0         0         0         0
 11.05  0         0         0         0
 11.15  0         0         0         0
 11.25  0         0         0         0
 11.35  0         0         0         0
 11.45  0         0         0         0
 11.55  0         0         0         0
 11.65  0         0         0         0
 11.75  0         0         0         0
 11.85  0         0         0         0
 11.95  0         0         0         0
 12.05  0         0         0         0
 12.15  0         0         0         0
 12.25  0         0         0         0
 12.35  0         0         0         0
 12.45  0         0         0         0
 12.55  0         0         0         0
 12.65  0         0         0         0
 12.75  0         0         0         0
 12.85  0         0         0         0
 12.95  0         0         0         0
 13.05  0         0         0         0
 13.15  0         0         0         0
 13.25  0         0         0         0
 13.35  0         0         0         0
 13.45  0         0         0         0
 13.55  0         0         0         0
 13.65  0         0         0         0
 13.75  0         0         0         0
 13.85  0         0         0         0
 13.95  0         0         0         0
 14.05  0         0         0         0
 14.15  0         0         0         0
 14.25  0         0         0         0
 14.35  0         0         0         0
 14.45  0         0         0         0
 14.55  0         0         0         0
 14.65  0         0         0         0
 14.75  0         0         0         0
 14.85  0         0         0         0
 14.95  0         0         0         0
 15.05  0         0         0         0
 15.15  0         0         0         0
 15.25  0         0         0         0
 15.35  0         0         0         0
 15.45  0         0         0         0
 15.55  0         0         0         0
 15.65  0         0         0         0
 15.75  0         0         0         0
 15.85  0         0         0         0
 15.95  0         0         0         0
 16.05  0         0         0         0
 16.15  0         0         0         0
 16.25  0         0         0         0
 16.35  0         0         0         0
 16.45  0         0         0         0
 16.55  0         0         0         0
 16.65  0         0         0         0
 16.75  0         0         0         0
 16.85  0         0         0         0
 16.95  0         0         0         0
 17.05  0         0         0         0
 17.15  0         0         0         0
 17.25  0         0         0         0
 17.35  0         0         0         0
 17.45  0         0         0         0
 17.55  0         0         0         0
 17.65  0         0         0         0
 17.75  0         0         0         0
 17.85  0         0         0         0
 17.95  0         0         0         0
 18.05  0         0         0         0
 18.15  0         0         0         0
 18.25  0         0         0         0
 18.35  0         0         0         0
 18.45  0         0         0         0
 18.55  0         0         0         0
 18.65  0         0         0         0
 18.75  0         0         0         0
 18.85  0         0         0         0
 18.95  0         0         0         0
 19.05  0         0         0         0
 19.15  0         0         0         0
 19.25  0         0         0         0
 19.35  0         0         0         0
 19.45  0         0         0         0
 19.55  0         0         0         0
 19.65  0         0         0         0
 19.75  0         0         0         0
 19.85  0         0         0         0
 19.95  0         0         0         0
 20.05  0         0         0         0
