   R       RHORP        DRHORP
 0.050   5.2995E-02   4.9322E-03
 0.150   5.4938E-02   1.9018E-03
 0.250   5.5833E-02   1.2262E-03
 0.350   5.5178E-02   8.4202E-04
 0.450   5.8598E-02   6.9813E-04
 0.550   6.2496E-02   5.9847E-04
 0.650   6.6105E-02   4.9230E-04
 0.750   6.9668E-02   4.6038E-04
 0.850   7.2769E-02   4.1376E-04
 0.950   7.5725E-02   3.7244E-04
 1.050   7.7612E-02   3.5111E-04
 1.150   8.0307E-02   3.3239E-04
 1.250   8.1363E-02   3.1012E-04
 1.350   8.2631E-02   2.9252E-04
 1.450   8.2309E-02   2.7130E-04
 1.550   8.1013E-02   2.4532E-04
 1.650   7.9771E-02   2.3372E-04
 1.750   7.7627E-02   2.1311E-04
 1.850   7.4531E-02   1.9830E-04
 1.950   7.1239E-02   1.8983E-04
 2.050   6.7096E-02   1.6637E-04
 2.150   6.2672E-02   1.5810E-04
 2.250   5.8249E-02   1.4560E-04
 2.350   5.3119E-02   1.3201E-04
 2.450   4.8110E-02   1.2088E-04
 2.550   4.3081E-02   1.0875E-04
 2.650   3.8488E-02   9.8708E-05
 2.750   3.3821E-02   9.0150E-05
 2.850   2.9458E-02   8.1812E-05
 2.950   2.5339E-02   7.2774E-05
 3.050   2.1901E-02   6.5715E-05
 3.150   1.8611E-02   6.0781E-05
 3.250   1.5724E-02   5.5366E-05
 3.350   1.3094E-02   4.7790E-05
 3.450   1.0892E-02   4.4132E-05
 3.550   9.0068E-03   3.9608E-05
 3.650   7.3303E-03   3.4763E-05
 3.750   6.1062E-03   3.1951E-05
 3.850   4.9923E-03   2.8740E-05
 3.950   4.0481E-03   2.5792E-05
 4.050   3.3180E-03   2.2678E-05
 4.150   2.6742E-03   2.0382E-05
 4.250   2.1767E-03   1.9008E-05
 4.350   1.7359E-03   1.6821E-05
 4.450   1.3588E-03   1.4980E-05
 4.550   1.1124E-03   1.3340E-05
 4.650   9.1169E-04   1.2304E-05
 4.750   7.0757E-04   1.0749E-05
 4.850   5.6383E-04   9.5288E-06
 4.950   4.5042E-04   9.0198E-06
 5.050   3.6818E-04   8.1263E-06
 5.150   2.9438E-04   7.5023E-06
 5.250   2.3564E-04   6.3844E-06
 5.350   1.8322E-04   5.7221E-06
 5.450   1.5182E-04   5.3481E-06
 5.550   1.1840E-04   4.6651E-06
 5.650   8.9142E-05   4.0834E-06
 5.750   7.9903E-05   3.8302E-06
 5.850   5.9101E-05   3.5741E-06
 5.950   4.8806E-05   3.2512E-06
 6.050   3.7567E-05   2.9442E-06
 6.150   3.4729E-05   3.4097E-06
 6.250   2.4176E-05   2.4041E-06
 6.350   2.1914E-05   2.2314E-06
 6.450   1.4340E-05   1.7605E-06
 6.550   1.0988E-05   1.7127E-06
 6.650   8.2937E-06   1.5110E-06
 6.750   8.6677E-06   1.5402E-06
 6.850   8.3480E-06   1.3780E-06
 6.950   6.0041E-06   1.1825E-06
 7.050   5.7389E-06   1.3297E-06
 7.150   3.1569E-06   9.4960E-07
 7.250   2.5127E-06   1.2336E-06
 7.350   2.6156E-06   7.8384E-07
 7.450   2.1247E-06   7.7339E-07
 7.550   2.0575E-06   5.7599E-07
 7.650   5.9302E-07   4.3491E-07
 7.750   3.4757E-07   3.7918E-07
 7.850   2.5365E-07   5.1659E-07
 7.950   2.1892E-06   7.0140E-07
 8.050   2.4970E-07   1.1889E-07
 8.150   3.7636E-07   3.7237E-07
 8.250   4.4207E-07   3.0610E-07
 8.350  -8.5116E-08   1.7102E-07
 8.450   9.3638E-08   1.8981E-07
 8.550  -2.3863E-08   8.2067E-08
 8.650   2.3511E-07   2.6434E-07
 8.750   2.3262E-07   1.5091E-07
 8.850   2.5916E-07   2.0708E-07
 8.950  -4.6644E-08   3.7987E-08
 9.050   1.8166E-08   4.3000E-08
 9.150   2.5498E-07   1.9754E-07
 9.250   3.3435E-08   6.0413E-08
 9.350  -5.5478E-08   5.3745E-08
 9.450  -3.7829E-08   2.2910E-08
 9.550  -9.9685E-09   9.9678E-09
 9.650   6.3057E-09   1.0647E-08
 9.750   0.0000E+00   0.0000E+00
 9.850   0.0000E+00   0.0000E+00
 9.950   0.0000E+00   0.0000E+00
10.050   2.4820E-07   2.4819E-07
10.150  -4.0864E-08   3.3513E-08
10.250   1.1941E-08   2.3963E-08
10.350   0.0000E+00   0.0000E+00
10.450   0.0000E+00   0.0000E+00
10.550   1.2305E-08   2.2163E-08
10.650   0.0000E+00   0.0000E+00
10.750   0.0000E+00   0.0000E+00
10.850   2.4168E-08   2.0002E-08
10.950   0.0000E+00   0.0000E+00
11.050   0.0000E+00   0.0000E+00
11.150   0.0000E+00   0.0000E+00
11.250   0.0000E+00   0.0000E+00
11.350   0.0000E+00   0.0000E+00
11.450   0.0000E+00   0.0000E+00
11.550   0.0000E+00   0.0000E+00
11.650   0.0000E+00   0.0000E+00
11.750   0.0000E+00   0.0000E+00
11.850   0.0000E+00   0.0000E+00
11.950   0.0000E+00   0.0000E+00
12.050   0.0000E+00   0.0000E+00
12.150   0.0000E+00   0.0000E+00
12.250   0.0000E+00   0.0000E+00
12.350   0.0000E+00   0.0000E+00
12.450   0.0000E+00   0.0000E+00
12.550   0.0000E+00   0.0000E+00
12.650   0.0000E+00   0.0000E+00
12.750   0.0000E+00   0.0000E+00
12.850   0.0000E+00   0.0000E+00
12.950   0.0000E+00   0.0000E+00
13.050   0.0000E+00   0.0000E+00
13.150   0.0000E+00   0.0000E+00
13.250   0.0000E+00   0.0000E+00
13.350   0.0000E+00   0.0000E+00
13.450   0.0000E+00   0.0000E+00
13.550   0.0000E+00   0.0000E+00
13.650   0.0000E+00   0.0000E+00
13.750   0.0000E+00   0.0000E+00
13.850   0.0000E+00   0.0000E+00
13.950   0.0000E+00   0.0000E+00
14.050   0.0000E+00   0.0000E+00
14.150   0.0000E+00   0.0000E+00
14.250   0.0000E+00   0.0000E+00
14.350   0.0000E+00   0.0000E+00
14.450   0.0000E+00   0.0000E+00
14.550   0.0000E+00   0.0000E+00
14.650   0.0000E+00   0.0000E+00
14.750   0.0000E+00   0.0000E+00
14.850   0.0000E+00   0.0000E+00
14.950   0.0000E+00   0.0000E+00
15.050   0.0000E+00   0.0000E+00
15.150   0.0000E+00   0.0000E+00
15.250   0.0000E+00   0.0000E+00
15.350   0.0000E+00   0.0000E+00
15.450   0.0000E+00   0.0000E+00
15.550   0.0000E+00   0.0000E+00
15.650   0.0000E+00   0.0000E+00
15.750   0.0000E+00   0.0000E+00
15.850   0.0000E+00   0.0000E+00
15.950   0.0000E+00   0.0000E+00
16.050   0.0000E+00   0.0000E+00
16.150   0.0000E+00   0.0000E+00
16.250   0.0000E+00   0.0000E+00
16.350   0.0000E+00   0.0000E+00
16.450   0.0000E+00   0.0000E+00
16.550   0.0000E+00   0.0000E+00
16.650   0.0000E+00   0.0000E+00
16.750   0.0000E+00   0.0000E+00
16.850   0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00
17.150   0.0000E+00   0.0000E+00
17.250   0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00
