   R     RHORP_V18    DRHORP_V18
 0.050   5.7797E-02   5.4491E-03
 0.150   6.0100E-02   2.1714E-03
 0.250   6.1069E-02   1.2278E-03
 0.350   6.7265E-02   9.8989E-04
 0.450   7.1377E-02   7.6882E-04
 0.550   7.5909E-02   6.5390E-04
 0.650   8.1315E-02   5.8798E-04
 0.750   8.6816E-02   5.2981E-04
 0.850   9.2118E-02   4.8897E-04
 0.950   9.5188E-02   4.5164E-04
 1.050   9.9358E-02   4.0045E-04
 1.150   1.0172E-01   3.8431E-04
 1.250   1.0361E-01   3.5940E-04
 1.350   1.0325E-01   3.2471E-04
 1.450   1.0270E-01   2.9141E-04
 1.550   1.0077E-01   2.8312E-04
 1.650   9.7397E-02   2.5991E-04
 1.750   9.3605E-02   2.3850E-04
 1.850   8.8303E-02   2.1812E-04
 1.950   8.3964E-02   2.0618E-04
 2.050   7.6987E-02   1.8574E-04
 2.150   7.0562E-02   1.6633E-04
 2.250   6.3936E-02   1.5449E-04
 2.350   5.7014E-02   1.3876E-04
 2.450   5.0156E-02   1.2725E-04
 2.550   4.3801E-02   1.1472E-04
 2.650   3.7341E-02   1.0023E-04
 2.750   3.1639E-02   8.9766E-05
 2.850   2.6581E-02   7.8653E-05
 2.950   2.2159E-02   7.2755E-05
 3.050   1.8159E-02   6.4379E-05
 3.150   1.4752E-02   5.5881E-05
 3.250   1.1872E-02   4.9532E-05
 3.350   9.5746E-03   4.4166E-05
 3.450   7.5611E-03   3.7912E-05
 3.550   5.9995E-03   3.3844E-05
 3.650   4.7538E-03   2.9836E-05
 3.750   3.7036E-03   2.5292E-05
 3.850   2.8885E-03   2.2600E-05
 3.950   2.2854E-03   2.0402E-05
 4.050   1.7793E-03   1.7588E-05
 4.150   1.3903E-03   1.5949E-05
 4.250   1.0960E-03   1.3842E-05
 4.350   8.6321E-04   1.2308E-05
 4.450   6.5323E-04   1.0885E-05
 4.550   5.1590E-04   9.8549E-06
 4.650   4.1512E-04   8.8348E-06
 4.750   3.2213E-04   7.9856E-06
 4.850   2.4908E-04   7.0833E-06
 4.950   1.9989E-04   6.7336E-06
 5.050   1.4865E-04   5.4607E-06
 5.150   1.2300E-04   5.4979E-06
 5.250   9.4243E-05   4.5387E-06
 5.350   7.9111E-05   4.2671E-06
 5.450   6.5625E-05   4.0100E-06
 5.550   4.4843E-05   3.2813E-06
 5.650   4.4306E-05   3.0181E-06
 5.750   3.0626E-05   2.6054E-06
 5.850   2.7334E-05   2.6603E-06
 5.950   1.8815E-05   2.4511E-06
 6.050   1.6986E-05   2.0783E-06
 6.150   1.1625E-05   1.7458E-06
 6.250   7.4751E-06   1.5597E-06
 6.350   7.1665E-06   1.4136E-06
 6.450   6.9699E-06   1.6679E-06
 6.550   6.9014E-06   1.4533E-06
 6.650   3.1860E-06   1.0051E-06
 6.750   1.9696E-06   7.6778E-07
 6.850   2.6032E-06   8.6916E-07
 6.950   1.8833E-06   1.0082E-06
 7.050   1.2110E-06   7.3006E-07
 7.150   2.0641E-06   6.9407E-07
 7.250   1.6634E-06   1.0022E-06
 7.350   1.5056E-06   6.5531E-07
 7.450   5.7362E-07   4.9709E-07
 7.550   2.8712E-07   2.2528E-07
 7.650   2.9192E-07   4.1493E-07
 7.750   3.6432E-07   4.5808E-07
 7.850  -6.1559E-08   2.2941E-07
 7.950   3.2290E-07   3.2129E-07
 8.050   2.1860E-07   1.5409E-07
 8.150  -9.2500E-08   1.0905E-07
 8.250   1.1331E-07   1.3345E-07
 8.350  -2.5543E-07   1.3201E-07
 8.450   8.7161E-08   1.9301E-07
 8.550  -1.4520E-07   7.3379E-08
 8.650   3.5974E-08   3.5634E-08
 8.750   6.8784E-09   6.8750E-09
 8.850  -2.8396E-08   2.9016E-08
 8.950   2.3448E-07   2.3445E-07
 9.050   7.1688E-08   7.1588E-08
 9.150   0.0000E+00   0.0000E+00
 9.250  -7.7823E-08   7.7789E-08
 9.350   0.0000E+00   0.0000E+00
 9.450   6.2367E-08   6.2341E-08
 9.550   0.0000E+00   0.0000E+00
 9.650   0.0000E+00   0.0000E+00
 9.750  -9.2904E-09   9.2885E-09
 9.850  -1.9136E-08   1.9126E-08
 9.950   0.0000E+00   0.0000E+00
10.050   0.0000E+00   0.0000E+00
10.150   2.1979E-08   2.1940E-08
10.250   0.0000E+00   0.0000E+00
10.350   0.0000E+00   0.0000E+00
10.450   0.0000E+00   0.0000E+00
10.550   0.0000E+00   0.0000E+00
10.650   0.0000E+00   0.0000E+00
10.750   0.0000E+00   0.0000E+00
10.850   0.0000E+00   0.0000E+00
10.950   0.0000E+00   0.0000E+00
11.050   0.0000E+00   0.0000E+00
11.150   0.0000E+00   0.0000E+00
11.250   0.0000E+00   0.0000E+00
11.350   0.0000E+00   0.0000E+00
11.450   0.0000E+00   0.0000E+00
11.550   0.0000E+00   0.0000E+00
11.650   0.0000E+00   0.0000E+00
11.750   0.0000E+00   0.0000E+00
11.850   0.0000E+00   0.0000E+00
11.950   0.0000E+00   0.0000E+00
12.050   0.0000E+00   0.0000E+00
12.150   0.0000E+00   0.0000E+00
12.250   0.0000E+00   0.0000E+00
12.350   0.0000E+00   0.0000E+00
12.450   0.0000E+00   0.0000E+00
12.550   0.0000E+00   0.0000E+00
12.650   0.0000E+00   0.0000E+00
12.750   0.0000E+00   0.0000E+00
12.850   0.0000E+00   0.0000E+00
12.950   0.0000E+00   0.0000E+00
13.050   0.0000E+00   0.0000E+00
13.150   0.0000E+00   0.0000E+00
13.250   0.0000E+00   0.0000E+00
13.350   0.0000E+00   0.0000E+00
13.450   0.0000E+00   0.0000E+00
13.550   0.0000E+00   0.0000E+00
13.650   0.0000E+00   0.0000E+00
13.750   0.0000E+00   0.0000E+00
13.850   0.0000E+00   0.0000E+00
13.950   0.0000E+00   0.0000E+00
14.050   0.0000E+00   0.0000E+00
14.150   0.0000E+00   0.0000E+00
14.250   0.0000E+00   0.0000E+00
14.350   0.0000E+00   0.0000E+00
14.450   0.0000E+00   0.0000E+00
14.550   0.0000E+00   0.0000E+00
14.650   0.0000E+00   0.0000E+00
14.750   0.0000E+00   0.0000E+00
14.850   0.0000E+00   0.0000E+00
14.950   0.0000E+00   0.0000E+00
15.050   0.0000E+00   0.0000E+00
15.150   0.0000E+00   0.0000E+00
15.250   0.0000E+00   0.0000E+00
15.350   0.0000E+00   0.0000E+00
15.450   0.0000E+00   0.0000E+00
15.550   0.0000E+00   0.0000E+00
15.650   0.0000E+00   0.0000E+00
15.750   0.0000E+00   0.0000E+00
15.850   0.0000E+00   0.0000E+00
15.950   0.0000E+00   0.0000E+00
16.050   0.0000E+00   0.0000E+00
16.150   0.0000E+00   0.0000E+00
16.250   0.0000E+00   0.0000E+00
16.350   0.0000E+00   0.0000E+00
16.450   0.0000E+00   0.0000E+00
16.550   0.0000E+00   0.0000E+00
16.650   0.0000E+00   0.0000E+00
16.750   0.0000E+00   0.0000E+00
16.850   0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00
17.150   0.0000E+00   0.0000E+00
17.250   0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00
