    K       RHOKN       DRHOKN      RHOKP       DRHOKP
   .001  359.1        1.3547     274.65       5.9447
   .1    357.7        1.2147     308.94       4.5202
   .2    348.19        .99644    384.69       3.0493
   .3    325.18        .7559     449.74       2.1228
   .4    288.09        .53098    464.27       1.2643
   .5    240.07        .36432    422.93        .65572
   .6    187.98        .2564     346.39        .34098
   .7    138.71        .18763    259.4         .25517
   .8     96.85        .13734    180.15        .23091
   .9     64.379       .096169   117.56        .19569
  1       41.035       .06318     72.959       .15372
  1.1     25.295       .039826    43.552       .11556
  1.2     15.24        .027526    25.305       .085454
  1.3      9.0972      .024707    14.505       .063482
  1.4      5.474       .025594     8.3364      .04829
  1.5      3.3882      .026175     4.8921      .038312
  1.6      2.2026      .025562     2.9917      .032062
  1.7      1.5284      .023905     1.9483      .028132
  1.8      1.1378      .021571     1.3701      .025267
  1.9       .90169     .018889     1.0375      .022684
  2         .74964     .016142      .83377     .020128
  2.1       .64442     .013512      .70026     .017569
  2.2       .56582     .011124      .60632     .01507
  2.3       .50237     .009025      .53472     .012684
  2.4       .44813     .0072342     .47628     .010484
  2.5       .40024     .0057437     .42645     .0085134
  2.6       .3569      .0045418     .38215     .006816
  2.7       .31701     .0035963     .34145     .0053844
  2.8       .28035     .002874      .30406     .0042112
  2.9       .24691     .0023371     .27009     .0032821
  3         .21647     .001948      .23909     .0025738
  3.1       .1889      .0016684     .21065     .0020602
  3.2       .16418     .0014644     .18468     .0017075
  3.3       .14219     .0013082     .16111     .0014771
  3.4       .12271     .0011805     .13988     .0013275
  3.5       .10556     .0010693     .12101     .0012226
  3.6       .090586   9.6811E-4     .10441     .001137
  3.7       .077557   8.7407E-4     .089845    .0010578
  3.8       .066256   7.861E-4      .077099   9.7853E-4
  3.9       .056484   7.0388E-4     .06599    8.975E-4
  4         .048049   6.2735E-4     .05634    8.1508E-4
  4.1       .040784   5.5644E-4     .047996   7.3232E-4
  4.2       .034548   4.9115E-4     .040815   6.5115E-4
  4.3       .02921    4.3137E-4     .03464    5.7301E-4
  4.4       .024648   3.7699E-4     .02933    4.9923E-4
  4.5       .020756   3.2777E-4     .024758   4.3111E-4
  4.6       .017439   2.8335E-4     .020812   3.6886E-4
  4.7       .014615   2.4336E-4     .017417   3.1255E-4
  4.8       .012224   2.0755E-4     .014538   2.6261E-4
  4.9       .010212   1.7569E-4     .012129   2.1876E-4
  5         .0085188  1.4763E-4     .010115   1.811E-4
  5.1       .0070903  1.2313E-4     .0084271  1.4913E-4
  5.2       .0058839  1.0197E-4     .0070173  1.2221E-4
  5.3       .0048667  8.3927E-5     .0058371  9.994E-5
  5.4       .004008   6.8806E-5     .0048353  8.1756E-5
