    K       RHOKP       DRHOKP      RHOKN       DRHOKN
   .001  393.33       1.9611     376.03       5.4948
   .1    394.62       1.8319     400.54       4.7339
   .2    392.72       1.515      452.92       3.1079
   .3    377.16       1.1403     494.51       2.0647
   .4    342.99        .81347    498.8        1.358
   .5    293.18        .575      457.75        .79135
   .6    235.4         .42205    382.24        .51113
   .7    178.19        .31942    293.71        .3931
   .8    127.95        .2386     210.59        .32055
   .9     87.806       .1701     142.55        .24852
  1       58.008       .11412     92.054       .17829
  1.1     37.158       .073057    57.289       .11984
  1.2     23.256       .048537    34.718       .078594
  1.3     14.351       .039398    20.717       .056078
  1.4      8.8293      .0387      12.317       .048123
  1.5      5.4942      .039402     7.3969      .046387
  1.6      3.5266      .038889     4.5816      .045112
  1.7      2.3833      .036962     2.9887      .042662
  1.8      1.7165      .034049     2.0738      .039215
  1.9      1.3189      .030582     1.5395      .035272
  2        1.0732      .026885     1.2194      .031103
  2.1       .91158     .023198     1.0101      .026971
  2.2       .79627     .01967       .86316     .02297
  2.3       .70724     .016402      .7573      .019196
  2.4       .63303     .013459      .67247     .015779
  2.5       .56758     .010878      .59826     .012754
  2.6       .50831     .0086844     .53504     .010193
  2.7       .45387     .0068707     .48001     .0081
  2.8       .40359     .0054056     .42851     .0064209
  2.9       .35742     .0042466     .38081     .0051064
  3         .31518     .0033533     .33767     .0040701
  3.1       .27654     .0026889     .29767     .0032779
  3.2       .24155     .002221      .2609      .0026908
  3.3       .21033     .0019076     .22837     .0022775
  3.4       .18265     .0017017     .1994      .001996
  3.5       .15809     .0015629     .17321     .0018032
  3.6       .13641     .00146       .14998     .0016664
  3.7       .11738     .0013718     .12959     .0015567
  3.8       .10072     .001286      .11151     .0014563
  3.9       .086228    .0011968     .095702    .001355
  4         .073699    .0011027     .082088    .0012487
  4.1       .062867    .0010049     .070244    .0011381
  4.2       .053518   9.0605E-4     .059913    .0010263
  4.3       .045466   8.0884E-4     .051008   9.1681E-4
  4.4       .038528   7.1527E-4     .043321   8.1154E-4
  4.5       .032573   6.2635E-4     .036659   7.1135E-4
  4.6       .027494   5.4265E-4     .03093    6.1629E-4
  4.7       .023168   4.6485E-4     .026037   5.2708E-4
  4.8       .019485   3.9375E-4     .02187    4.452E-4
  4.9       .016358   3.3005E-4     .018332   3.7212E-4
  5         .013698   2.7408E-4     .015333   3.0861E-4
  5.1       .01143    2.2578E-4     .012801   2.5423E-4
  5.2       .0094975  1.8479E-4     .010653   2.0835E-4
  5.3       .0078535  1.5054E-4     .0088115  1.7001E-4
  5.4       .0064597  1.2243E-4     .0072495  1.386E-4
  5.5       .0052878  9.9808E-5     .0059548  1.1324E-4
  5.6       .0043105  8.1969E-5     .0048778  9.3327E-5
  5.7       .003502   6.8214E-5     .0039757  7.8015E-5
  5.8       .0028395  5.7836E-5     .0032346  6.6626E-5
  5.9       .0022984  5.0062E-5     .002632   5.8111E-5
  6         .0018559  4.4169E-5     .0021351  5.1553E-5
  6.1       .0014948  3.9588E-5     .0017222  4.6277E-5
  6.2       .0012002  3.589E-5      .0013813  4.1917E-5
  6.3      9.588E-4   3.2782E-5     .0011023  3.818E-5
  6.4      7.6146E-4  3.0055E-5    8.7542E-4  3.4854E-5
  6.5      6.0148E-4  2.7561E-5    6.9195E-4  3.1752E-5
  6.6      4.7266E-4  2.5217E-5    5.4501E-4  2.8823E-5
  6.7      3.6953E-4  2.2983E-5    4.2795E-4  2.6065E-5
  6.8      2.8764E-4  2.0845E-5    3.3429E-4  2.3507E-5
  6.9      2.2336E-4  1.8806E-5    2.6075E-4  2.1151E-5
  7        1.7344E-4  1.6876E-5    2.0491E-4  1.8951E-5
  7.1      1.3505E-4  1.5063E-5    1.6229E-4  1.6864E-5
  7.2      1.0598E-4  1.3381E-5    1.2892E-4  1.489E-5
  7.3      8.4404E-5  1.183E-5     1.0279E-4  1.3091E-5
  7.4      6.8471E-5  1.0411E-5    8.2145E-5  1.1538E-5
  7.5      5.664E-5   9.1206E-6    6.5604E-5  1.0259E-5
  7.6      4.7755E-5  7.952E-6     5.27E-5    9.1709E-6
  7.7      4.0883E-5  6.8998E-6    4.3183E-5  8.1403E-6
  7.8      3.5512E-5  5.9608E-6    3.6724E-5  7.0798E-6
  7.9      3.1476E-5  5.1323E-6    3.2732E-5  6.0232E-6
  8        2.8548E-5  4.4137E-6    3.0483E-5  5.1151E-6
  8.1      2.6426E-5  3.8076E-6    2.9571E-5  4.5213E-6
  8.2      2.4852E-5  3.311E-6     2.9396E-5  4.2417E-6
  8.3      2.3527E-5  2.9082E-6    2.8921E-5  4.0546E-6
  8.4      2.2227E-5  2.5791E-6    2.7682E-5  3.724E-6
  8.5      2.0983E-5  2.3085E-6    2.5937E-5  3.1797E-6
  8.6      1.9876E-5  2.0906E-6    2.3797E-5  2.5597E-6
  8.7      1.8887E-5  1.9269E-6    2.127E-5   2.1926E-6
  8.8      1.7989E-5  1.8096E-6    1.8731E-5  2.3042E-6
  8.9      1.716E-5   1.718E-6     1.6694E-5  2.6266E-6
  9        1.6343E-5  1.635E-6     1.5419E-5  2.7861E-6
  9.1      1.5498E-5  1.5524E-6    1.488E-5   2.6204E-6
  9.2      1.4581E-5  1.4673E-6    1.4884E-5  2.1751E-6
  9.3      1.3493E-5  1.3831E-6    1.5094E-5  1.7002E-6
  9.4      1.2181E-5  1.3031E-6    1.5074E-5  1.6036E-6
  9.5      1.0703E-5  1.2259E-6    1.4558E-5  1.9269E-6
  9.6      9.1925E-6  1.1482E-6    1.3639E-5  2.2554E-6
  9.7      7.8222E-6  1.0636E-6    1.2467E-5  2.3046E-6
  9.8      6.737E-6   9.673E-7     1.1001E-5  2.0003E-6
  9.9      5.9312E-6  8.7389E-7    9.214E-6   1.4422E-6
 10        5.2856E-6  8.1606E-7    7.2209E-6  9.8286E-7
