   K      RHOKP2     DRHOKP2
  0    516.7         .92936
   .1  509.6         .86367
   .2  486.3         .70259
   .3  444.4         .51273
   .4  385.7         .3496
   .5  316.7         .23801
   .6  246           .17098
   .7  181.17        .12758
   .8  127.06        .093296
   .9   85.33        .064269
  1     55.23        .041182
  1.1   34.69        .025194
  1.2   21.34        .017041
  1.3   12.977       .015387
  1.4    7.908       .016073
  1.5    4.905       .016525
  1.6    3.155       .016207
  1.7    2.138       .015224
  1.8    1.5436      .013828
  1.9    1.1857      .012218
  2       .961       .010561
  2.1     .8109      .0089647
  2.2     .7028      .0074897
  2.3     .6188      .0061716
  2.4     .5495      .0050275
  2.5     .4895      .0040553
  2.6     .4359      .0032414
  2.7     .3872      .002576
  2.8     .3427      .0020414
  2.9     .3021      .0016207
  3       .2653      .001298
  3.1     .2321      .0010584
  3.2     .2023     8.8572E-4
  3.3     .1758     7.6382E-4
  3.4     .15236    6.7819E-4
  3.5     .1317     6.1624E-4
  3.6     .11354    5.6823E-4
  3.7     .09765    5.2743E-4
  3.8     .08382    4.8974E-4
  3.9     .07182    4.5283E-4
  4       .06141    4.1585E-4
  4.1     .05238    3.7866E-4
  4.2     .04457    3.4146E-4
  4.3     .03782    3.0491E-4
  4.4     .03203    2.6969E-4
  4.5     .02708    2.3632E-4
  4.6     .02284    2.0506E-4
  4.7     .019239   1.7635E-4
  4.8     .016161   1.5026E-4
  4.9     .01354    1.2683E-4
  5       .011316   1.0609E-4
  5.1     .009433   8.7929E-5
  5.2     .007841   7.2273E-5
  5.3     .006496   5.8944E-5
  5.4     .005363   4.7815E-5
  5.5     .004413   3.8665E-5
  5.6     .00362    3.1297E-5
  5.7     .002959   2.5477E-5
  5.8     .002408   2.1022E-5
  5.9     .0019513  1.7741E-5
  6       .0015737  1.5394E-5
  6.1     .0012638  1.3719E-5
  6.2     .0010108  1.2495E-5
  6.3    8.049E-4   1.1539E-5
  6.4    6.384E-4   1.073E-5
  6.5    5.043E-4   9.9985E-6
  6.6    3.972E-4   9.2985E-6
  6.7    3.119E-4   8.6083E-6
  6.8    2.442E-4   7.9217E-6
  6.9    1.9094E-4  7.2401E-6
  7      1.4931E-4  6.5683E-6
  7.1    1.1702E-4  5.9135E-6
  7.2    9.208E-5   5.2828E-6
  7.3    7.284E-5   4.6839E-6
  7.4    5.805E-5   4.1203E-6
  7.5    4.676E-5   3.5978E-6
  7.6    3.818E-5   3.1176E-6
  7.7    3.173E-5   2.6835E-6
  7.8    2.697E-5   2.2924E-6
  7.9    2.354E-5   1.9438E-6
  8      2.113E-5   1.6377E-6
  8.1    1.942E-5   1.3736E-6
  8.2    1.8151E-5  1.1502E-6
  8.3    1.7138E-5  9.6301E-7
  8.4    1.6257E-5  8.0823E-7
  8.5    1.543E-5   6.8243E-7
  8.6    1.462E-5   5.8252E-7
  8.7    1.3822E-5  5.0417E-7
  8.8    1.3047E-5  4.4456E-7
  8.9    1.2301E-5  4.0334E-7
  9      1.157E-5   3.793E-7
  9.1    1.0827E-5  3.6706E-7
  9.2    1.0046E-5  3.5943E-7
  9.3    9.219E-6   3.5165E-7
  9.4    8.352E-6   3.421E-7
  9.5    7.464E-6   3.3051E-7
  9.6    6.593E-6   3.1764E-7
  9.7    5.781E-6   3.0576E-7
  9.8    5.066E-6   2.967E-7
  9.9    4.457E-6   2.8907E-7
 10      3.933E-6   2.7945E-7
