   K      RHOKDN      DRHOKDN
  0    1096.8        3.0942
   .1   984.01       2.1096
   .2   723.66        .77767
   .3   461.29        .42408
   .4   271.56        .21211
   .5   154.03        .13308
   .6    85.401       .081353
   .7    46.674       .052662
   .8    25.47        .035054
   .9    13.979       .022823
  1       7.6765      .015563
  1.1     4.2124      .010228
  1.2     2.3137      .0069711
  1.3     1.2719      .0045905
  1.4      .70195     .0030862
  1.5      .39126     .0020191
  1.6      .21923     .0012956
  1.7      .12488    8.0852E-4
  1.8      .074869   4.7088E-4
  1.9      .048385   2.7176E-4
  2        .033459   1.4175E-4
  2.1      .024771   9.9338E-5
  2.2      .019571   1.1471E-4
  2.3      .016046   1.3202E-4
  2.4      .013414   1.4255E-4
  2.5      .011329   1.4363E-4
  2.6      .0094708  1.4297E-4
  2.7      .0077898  1.3036E-4
  2.8      .0063991  1.229E-4
  2.9      .0052914  1.1235E-4
  3        .0043699  1.0095E-4
  3.1      .0035217  9.2772E-5
  3.2      .0026812  7.7166E-5
  3.3      .0019478  6.7257E-5
  3.4      .0014854  5.6063E-5
  3.5      .0012249  5.1869E-5
  3.6     9.5526E-4  4.4867E-5
  3.7     6.6919E-4  3.685E-5
  3.8     4.9136E-4  3.1E-5
  3.9     3.9738E-4  2.7665E-5
  4       2.984E-4   2.3491E-5
  4.1     2.0179E-4  1.9372E-5
  4.2     1.4186E-4  1.5629E-5
  4.3     1.0251E-4  1.3403E-5
  4.4     7.2774E-5  1.0821E-5
  4.5     5.8933E-5  9.7309E-6
  4.6     4.9622E-5  8.61E-6
  4.7     3.1817E-5  6.7439E-6
  4.8     1.6653E-5  4.6592E-6
  4.9     1.062E-5   3.5197E-6
  5       8.1419E-6  2.7414E-6
