    K       RHOKP       DRHOKP       RHOKN       DRHOKN
   .001  362.34       1.3639        5.6389     46.338
   .1    351.84       1.3186      868.91       34.357
   .2    321.99       1.1926     1885.1        18.441
   .3    277.48       1.0118     1984.8         7.7489
   .4    225.12        .80975    1565.6         2.7347
   .5    172.19        .6168     1049.9         1.5696
   .6    124.65        .4519      632.31        1.3427
   .7     85.991       .32091     354.07         .98067
   .8     57.039       .22087     190.04         .6376
   .9     36.761       .14607     100.31         .39234
  1       23.262       .09195      53.088        .2384
  1.1     14.589       .056391     28.71         .1486
  1.2      9.1399      .039578     15.968        .098542
  1.3      5.7585      .038099      9.1578       .077443
  1.4      3.6732      .041818      5.4943       .071845
  1.5      2.3911      .044636      3.3914       .066345
  1.6      1.6041      .045196      2.1573       .063854
  1.7      1.1215      .043682      1.4554       .059778
  1.8       .82472     .040613      1.0327       .054386
  1.9       .64042     .036518       .7783       .049304
  2         .52299     .031857       .62246      .043845
  2.1       .4444      .02702        .51574      .037671
  2.2       .38777     .022317       .43949      .031964
  2.3       .34345     .017981       .38269      .026333
  2.4       .30628     .014168       .34142      .021417
  2.5       .27375     .010952       .30599      .017028
  2.6       .24474     .0083466      .27496      .013248
  2.7       .21865     .0063142      .25386      .010166
  2.8       .19509     .0047903      .23172      .0077806
  2.9       .17367     .0036975      .20684      .006019
  3         .15408     .0029533      .18612      .0047656
  3.1       .13611     .0024712      .16481      .0038732
  3.2       .11966     .0021668      .14411      .0032634
  3.3       .10469     .0019689      .12816      .0027955
  3.4       .091196    .0018263      .11319      .0024592
  3.5       .079138    .0017068      .098325     .0022012
  3.6       .068448    .0015918      .08605      .0020048
  3.7       .059025    .0014728      .075855     .0018407
  3.8       .050751    .0013482      .066058     .0017116
  3.9       .043505    .0012209      .056713     .0015819
  4         .037172    .001096       .048245     .0014494
  4.1       .031653   9.7862E-4      .040664     .0013323
  4.2       .026862   8.7264E-4      .034468     .0012045
  4.3       .022726   7.7982E-4      .029587     .0010698
  4.4       .019177   6.9981E-4      .02517     9.4449E-4
  4.5       .016148   6.307E-4       .02094     8.2676E-4
  4.6       .013572   5.697E-4       .017363    7.1612E-4
  4.7       .011386   5.1379E-4      .014698    6.2266E-4
  4.8       .0095307  4.6021E-4      .012544    5.4186E-4
  4.9       .0079557  4.0703E-4      .010586    4.6686E-4
  5         .0066168  3.5344E-4      .0087786   4.0359E-4
  5.1       .0054784  2.998E-4       .0071725   3.5014E-4
  5.2       .0045118  2.4741E-4      .0059714   2.9646E-4
  5.3       .0036941  1.9806E-4      .0050309   2.4648E-4
  5.4       .0030067  1.5358E-4      .0041442   2.0167E-4
  5.5       .002433   1.1549E-4      .0034039   1.5769E-4
  5.6       .0019583  8.4818E-5      .0027105   1.2331E-4
  5.7       .0015685  6.2044E-5      .0021371   9.588E-5
  5.8       .0012506  4.7047E-5      .0018409   7.3794E-5
  5.9      9.9295E-4  3.8793E-5      .0014894   5.8947E-5
  6        7.8513E-4  3.5166E-5      .0010646   5.488E-5
  6.1      6.1817E-4  3.3807E-5     8.6445E-4   4.5516E-5
  6.2      4.8456E-4  3.3138E-5     7.1872E-4   4.4074E-5
  6.3      3.7816E-4  3.2436E-5     5.3827E-4   4.3036E-5
  6.4      2.9399E-4  3.1466E-5     4.5422E-4   3.9734E-5
  6.5      2.2787E-4  3.019E-5      3.3874E-4   3.63E-5
  6.6      1.7623E-4  2.8643E-5     1.9668E-4   3.6922E-5
  6.7      1.3601E-4  2.6879E-5     1.813E-4    3.3722E-5
  6.8      1.0466E-4  2.4967E-5     1.9744E-4   2.9242E-5
  6.9      8.0191E-5  2.2979E-5     1.6826E-4   3.1795E-5
  7        6.1057E-5  2.0986E-5     1.0482E-4   2.7278E-5
  7.1      4.6097E-5  1.9047E-5     1.3597E-5   2.5356E-5
  7.2      3.4416E-5  1.7205E-5     3.1498E-5   2.4363E-5
  7.3      2.5323E-5  1.5482E-5     1.1573E-4   2.3897E-5
  7.4      1.8298E-5  1.3881E-5     5.7291E-5   1.796E-5
  7.5      1.2958E-5  1.239E-5     -2.4333E-5   1.9408E-5
  7.6      9.0194E-6  1.0987E-5     5.1122E-6   1.8827E-5
  7.7      6.2518E-6  9.6471E-6     1.7382E-5   1.2921E-5
  7.8      4.4523E-6  8.3479E-6     1.3506E-5   1.5574E-5
  7.9      3.4323E-6  7.0799E-6     2.9774E-5   1.4507E-5
  8        3.0156E-6  5.8499E-6    -6.8234E-6   1.1832E-5
