   K      RHOKTP      DRHOKTP
  0    392.49        1.0254
   .1  377.62         .89153
   .2  336.63         .5901
   .3  279.55         .33017
   .4  217.88         .20905
   .5  160.94         .13554
   .6  113.63         .079252
   .7   77.311        .05663
   .8   50.938        .03997
   .9   32.682        .027031
  1     20.431        .021246
  1.1   12.48         .015367
  1.2    7.444        .010874
  1.3    4.3317       .0082018
  1.4    2.4469       .0056826
  1.5    1.3348       .0039067
  1.6     .69787      .0027695
  1.7     .34626      .0018128
  1.8     .15979      .001145
  1.9     .065925    7.1334E-4
  2       .022357    3.9441E-4
  2.1     .0048964   1.723E-4
  2.2    1.5315E-4   2.9375E-5
  2.3    7.8343E-4   6.4385E-5
  2.4     .0030441   1.1816E-4
  2.5     .0052661   1.4973E-4
  2.6     .006846    1.6953E-4
  2.7     .0075984   1.6581E-4
  2.8     .0075706   1.5891E-4
  2.9     .0069787   1.5377E-4
  3       .0061016   1.3431E-4
  3.1     .0051911   1.1951E-4
  3.2     .0043646   1.098E-4
  3.3     .0036193   9.3458E-5
  3.4     .0029178   8.2276E-5
  3.5     .0022614   7.1901E-5
  3.6     .0016885   5.8293E-5
  3.7     .0012331   4.9759E-5
  3.8    9.0027E-4   4.156E-5
  3.9    6.6295E-4   3.3548E-5
  4      4.8565E-4   2.9153E-5
  4.1    3.4532E-4   2.3708E-5
  4.2    2.353E-4    1.8469E-5
  4.3    1.5712E-4   1.5452E-5
  4.4    1.0833E-4   1.2332E-5
  4.5    8.0143E-5   1.0157E-5
  4.6    6.1453E-5   9.0257E-6
  4.7    4.4068E-5   7.2935E-6
  4.8    2.6403E-5   5.5225E-6
  4.9    1.2339E-5   3.7725E-6
  5      4.7673E-6   2.2334E-6
