    K        RHOKN       DRHOKN       RHOKP       DRHOKP
   .001   306.74       32.043      405.77       4.553
   .1     521.02       28.724      405.43       4.251
   .2     941.39       20.71       397.26       3.4783
   .3    1202.1        11.827      370.18       2.5132
   .4    1174.6         5.1924     322.33       1.6506
   .5     952.11        2.031      261.15       1.0645
   .6     673.79        1.656      197.27        .74544
   .7     430.14        1.5555     139.72        .56654
   .8     253.89        1.2093      93.557       .4277
   .9     141.66         .82444     59.833       .30368
  1        76.347        .51917     36.954       .20084
  1.1      40.595        .31658     22.315       .12709
  1.2      21.721        .19903     13.36        .08534
  1.3      11.905        .1447       8.0609      .070927
  1.4       6.8023       .12517      4.9881      .069361
  1.5       4.1283       .11711      3.2184      .069424
  1.6       2.6846       .11208      2.1895      .067673
  1.7       1.853        .10537      1.5758      .063779
  1.8       1.3458       .096399     1.1963      .058444
  1.9       1.0368       .085751      .95133     .052428
  2          .85063      .074208      .7853      .046204
  2.1        .73115      .063111      .66646     .040105
  2.2        .64418      .052947      .57636     .034328
  2.3        .57088      .043957      .50392     .028948
  2.4        .50184      .036219      .44289     .024015
  2.5        .43846      .029554      .39037     .019583
  2.6        .3879       .023797      .34476     .015691
  2.7        .35223      .018767      .30428     .012366
  2.8        .3252       .014549      .26729     .0096129
  2.9        .29807      .01125       .23312     .0074115
  3          .266        .0087845     .20195     .0057198
  3.1        .23013      .0069915     .1741      .0044805
  3.2        .19487      .0057006     .14956     .0036259
  3.3        .16377      .0048114     .12811     .003073
  3.4        .13804      .0042236     .10951     .0027278
  3.5        .11747      .0038251     .093486    .0025031
  3.6        .10094      .0035221     .079698    .0023353
  3.7        .086982     .0032615     .067787    .0021897
  3.8        .074645     .0030226     .057505    .0020496
  3.9        .063722     .0027968     .04871     .0019076
  4          .054321     .0025738     .041273    .0017611
  4.1        .046377     .0023436     .035023    .0016105
  4.2        .039573     .0021093     .029746    .0014577
  4.3        .033638     .0018782     .025243    .0013057
  4.4        .028469     .0016548     .021364    .0011575
  4.5        .024021     .0014422     .018023    .0010154
  4.6        .020194     .001241      .015164   8.8106E-4
  4.7        .016823     .0010529     .012736   7.5584E-4
  4.8        .013874    8.8274E-4     .010683   6.4118E-4
  4.9        .011431    7.3209E-4     .0089512  5.3826E-4
  5          .0094699   6.0326E-4     .0074935  4.4754E-4
  5.1        .0078936   4.9681E-4     .006274   3.6868E-4
  5.2        .0066468   4.0734E-4     .005262   3.009E-4
  5.3        .0056705   3.3129E-4     .0044197  2.434E-4
  5.4        .0048662   2.6627E-4     .0037089  1.9539E-4
  5.5        .004123    2.1247E-4     .0031008  1.5614E-4
  5.6        .0034114   1.7111E-4     .0025803  1.2492E-4
  5.7        .002795    1.413E-4      .0021392  1.0083E-4
  5.8        .002296    1.206E-4      .0017673  8.2907E-5
  5.9        .0018826   1.0583E-4     .0014541  7.0153E-5
  6          .0015352   9.4653E-5     .0011928  6.146E-5
  6.1        .0012381   8.5743E-5    9.7689E-4  5.5694E-5
  6.2       9.9437E-4   7.873E-5     8.0006E-4  5.1777E-5
  6.3       8.0941E-4   7.307E-5     6.5611E-4  4.88E-5
  6.4       6.6216E-4   6.8093E-5    5.3799E-4  4.6151E-5
  6.5       5.4195E-4   6.3395E-5    4.4029E-4  4.3484E-5
  6.6       4.4402E-4   5.8655E-5    3.591E-4   4.0647E-5
  6.7       3.6078E-4   5.3805E-5    2.9144E-4  3.7613E-5
  6.8       2.9737E-4   4.889E-5     2.3559E-4  3.442E-5
  6.9       2.4568E-4   4.4025E-5    1.8916E-4  3.1136E-5
  7         1.9737E-4   3.9276E-5    1.5002E-4  2.784E-5
  7.1       1.6E-4      3.4713E-5    1.1753E-4  2.4629E-5
  7.2       1.2886E-4   3.0372E-5    9.0751E-5  2.1593E-5
  7.3       1.0208E-4   2.6254E-5    6.9047E-5  1.8785E-5
  7.4       8.2542E-5   2.2482E-5    5.2065E-5  1.6213E-5
  7.5       6.2695E-5   1.9096E-5    3.8787E-5  1.3864E-5
  7.6       4.6232E-5   1.6049E-5    2.8912E-5  1.1728E-5
  7.7       3.5715E-5   1.3383E-5    2.2156E-5  9.8156E-6
  7.8       2.4924E-5   1.1122E-5    1.7665E-5  8.1591E-6
  7.9       1.8482E-5   9.2823E-6    1.5082E-5  6.7815E-6
  8         1.5539E-5   7.8397E-6    1.3633E-5  5.6588E-6
  8.1       1.3392E-5   6.5653E-6    1.2566E-5  4.7185E-6
  8.2       1.651E-5    5.4299E-6    1.1873E-5  3.8902E-6
  8.3       1.86E-5     4.6271E-6    1.1137E-5  3.165E-6
  8.4       1.7535E-5   3.9629E-6    1.0269E-5  2.6056E-6
  8.5       1.7581E-5   3.3923E-6    9.5649E-6  2.2784E-6
  8.6       1.5096E-5   3.0633E-6    8.8316E-6  2.1457E-6
  8.7       1.3266E-5   2.7836E-6    8.2816E-6  2.0745E-6
  8.8       1.3759E-5   2.6411E-6    8.0137E-6  1.963E-6
  8.9       1.1758E-5   2.6264E-6    7.7033E-6  1.8008E-6
