   K       RHOKAD       DRHOKAD
  0    1221.6         5.7127
   .1  1083.8         4.4855
   .2   755.48        2.0546
   .3   406.46         .58894
   .4   161.8          .40096
   .5    42.429        .18263
   .6     4.9021       .048899
   .7     1.4848       .019574
   .8     5.564        .04089
   .9     8.1438       .045752
  1       8.1258       .041595
  1.1     6.6169       .034399
  1.2     4.7793       .027956
  1.3     3.2554       .02161
  1.4     2.1858       .01692
  1.5     1.4681       .012947
  1.6      .97588      .010113
  1.7      .6311       .0076888
  1.8      .39649      .0056953
  1.9      .24385      .0043372
  2        .14759      .0031419
  2.1      .087074     .002302
  2.2      .049425     .0016711
  2.3      .027131     .0011588
  2.4      .014696    8.2449E-4
  2.5      .0080166   5.7651E-4
  2.6      .00438     4.0118E-4
  2.7      .0023221   2.7828E-4
  2.8      .0011322   1.7815E-4
  2.9     4.8672E-4   9.9885E-5
  3       2.117E-4    4.5197E-5
  3.1     1.3628E-4   2.3423E-5
  3.2     1.1371E-4   2.3456E-5
  3.3     9.4196E-5   2.1537E-5
  3.4     8.1741E-5   2.0636E-5
  3.5     7.873E-5    2.4246E-5
  3.6     7.3459E-5   2.7017E-5
  3.7     4.3775E-5   1.9024E-5
  3.8     2.0176E-5   7.378E-6
  3.9     3.2046E-5   1.6652E-5
  4       3.273E-5    1.6488E-5
  4.1     1.6415E-5   6.5007E-6
  4.2     2.0093E-5   1.2174E-5
  4.3     2.2935E-5   1.5533E-5
  4.4     1.0007E-5   1.0231E-5
  4.5     1.7272E-6   3.4898E-6
  4.6     1.0755E-6   1.4225E-6
  4.7     1.7761E-6   1.7781E-6
  4.8     1.7522E-6   1.7889E-6
  4.9     1.3692E-6   2.7726E-6
  5       1.164E-6    3.2145E-6
