   K      RHOKN       DRHOKN      RHOKP       DRHOKP
  0    500.7        1.2513     482.9         .77924
   .1  503.2        1.1282     473.4         .71747
   .2  501           .85853    443.9         .57716
   .3  476.8         .57397    394.7         .41824
   .4  424.2         .34588    330.8         .27957
   .5  350.6         .20961    261.03        .18342
   .6  269.8         .14815    194.35        .12691
   .7  194.29        .11581    136.99        .092962
   .8  131.99        .087416    91.99        .067882
   .9   85.28        .06075     59.28        .047162
  1     52.88        .038834    36.97        .030772
  1.1   31.77        .023619    22.532       .019486
  1.2   18.683       .015747    13.585       .013682
  1.3   10.893       .013751     8.206       .012176
  1.4    6.396       .013941     5.041       .012284
  1.5    3.852       .014028     3.197       .012321
  1.6    2.43        .013575     2.1214      .011899
  1.7    1.6311      .012674     1.4856      .011084
  1.8    1.1751      .011491     1.102       .010021
  1.9     .9064      .010151      .8633      .0088393
  2       .7399      .0087598     .7081      .0076311
  2.1     .6287      .0074144     .6012      .0064706
  2.2     .5477      .0061775     .5222      .0054054
  2.3     .4838      .0050856     .4597      .004459
  2.4     .4302      .004143      .4071      .0036399
  2.5     .3833      .0033411     .361       .0029419
  2.6     .341       .0026715     .3197      .0023582
  2.7     .3026      .0021242     .2824      .0018779
  2.8     .2678      .0016865     .2486      .0014901
  2.9     .2363      .001341      .2182      .001181
  3       .2081      .0010707     .19109    9.4058E-4
  3.1     .18267    8.6481E-4     .16682    7.5907E-4
  3.2     .1598     7.1706E-4     .14519    6.2876E-4
  3.3     .13932    6.1904E-4     .126      5.4036E-4
  3.4     .12106    5.5681E-4     .10904    4.8247E-4
  3.5     .10487    5.1468E-4     .09409    4.428E-4
  3.6     .09059    4.8085E-4     .08098    4.1196E-4
  3.7     .07804    4.4919E-4     .06953    3.8435E-4
  3.8     .06705    4.1752E-4     .05956    3.5746E-4
  3.9     .05745    3.8501E-4     .05093    3.3028E-4
  4       .04911    3.521E-4      .04345    3.027E-4
  4.1     .04189    3.1912E-4     .03701    2.7507E-4
  4.2     .03566    2.8657E-4     .03144    2.4783E-4
  4.3     .03031    2.5502E-4     .02667    2.2126E-4
  4.4     .02572    2.2496E-4     .02258    1.9568E-4
  4.5     .02178    1.9673E-4     .019064   1.7146E-4
  4.6     .018378   1.7042E-4     .016052   1.4878E-4
  4.7     .01546    1.4617E-4     .013479   1.2774E-4
  4.8     .012961   1.2406E-4     .011285   1.0858E-4
  4.9     .01083    1.0418E-4     .009421   9.1335E-5
  5       .009022   8.6547E-5     .007841   7.6019E-5
  5.1     .007495   7.1153E-5     .006506   6.2608E-5
