   K      RHOKN7     DRHOKN7      RHOKP7     DRHOKP7
  0    488.7        1.2997     465           .842
   .1  498.2        1.1187     459           .72445
   .2  509.5         .77829    437           .53579
   .3  494.6         .5242     394.7         .38956
   .4  443.9         .31558    334.9         .25864
   .5  366           .19518    266.07        .17097
   .6  278.7         .13707    198.34        .11855
   .7  197.58        .10521    139.34        .086561
   .8  131.71        .078259    92.95        .062805
   .9   83.42        .054035    59.37        .04342
  1     50.77        .034662    36.67        .028331
  1.1   30.03        .021381    22.158       .01799
  1.2   17.506       .014252    13.266       .012468
  1.3   10.195       .012165     7.984       .010869
  1.4    6.028       .012133     4.904       .010857
  1.5    3.68        .012209     3.118       .010914
  1.6    2.358       .011885     2.08        .010608
  1.7    1.6062      .011131     1.4657      .0099311
  1.8    1.1673      .010132     1.0926      .0090369
  1.9     .8999      .0089811     .8566      .0080142
  2       .7286      .0077967     .7001      .0069671
  2.1     .6115      .0066462     .59        .005952
  2.2     .5262      .0055713     .5079      .0050052
  2.3     .4597      .0046096     .4427      .0041552
  2.4     .4045      .0037639     .3884      .0034039
  2.5     .357       .0030399     .3415      .0027576
  2.6     .3153      .002431      .3003      .0022095
  2.7     .2783      .0019262     .2638      .0017526
  2.8     .2448      .0015182     .231       .0013799
  2.9     .2147      .001193      .20185     .0010814
  3       .18782    9.4222E-4     .17593    8.5115E-4
  3.1     .16401    7.5485E-4     .15305    6.7943E-4
  3.2     .14296    6.2081E-4     .13287    5.5726E-4
  3.3     .12432    5.3004E-4     .11509    4.7499E-4
  3.4     .10781    4.7052E-4     .09944    4.2165E-4
  3.5     .09323    4.3185E-4     .08573    3.8718E-4
  3.6     .08041    4.0426E-4     .07376    3.6258E-4
  3.7     .06918    3.8141E-4     .06334    3.4211E-4
  3.8     .05942    3.5954E-4     .05428    3.2226E-4
  3.9     .05094    3.3655E-4     .04644    3.0148E-4
  4       .04356    3.1207E-4     .03963    2.7945E-4
  4.1     .03717    2.8626E-4     .03375    2.5632E-4
  4.2     .03161    2.5974E-4     .02867    2.3264E-4
