  K      RHOKAT     DRHOKAT
 0      .0013532  5.6948E-5
  .1  12.856       .50855
  .2  44.135      1.4318
  .3  77.068      1.7008
  .4  96.316      1.0432
  .5  95.763       .4747
  .6  79.162       .69724
  .7  55.211       .51228
  .8  31.99        .19134
  .9  14.546       .16967
 1     4.3671      .10908
 1.1    .37993     .021088
 1.2    .27031     .015317
 1.3   1.6554      .049768
 1.4   2.9156      .0526
 1.5   3.4246      .040812
 1.6   3.2566      .051842
 1.7   2.729       .04483
 1.8   2.1016      .029518
 1.9   1.51        .028695
 2     1.0086      .023621
 2.1    .62215     .014703
 2.2    .35667     .012173
 2.3    .19666     .0093221
 2.4    .11062     .005391
 2.5    .065985    .0044449
 2.6    .040479    .0039138
 2.7    .02307     .0022519
 2.8    .010825    .0014392
 2.9    .0038202   .0010925
 3      .0010418  4.7485E-4
 3.1   3.4535E-4  2.0337E-4
 3.2   2.828E-4   2.555E-4
 3.3   3.5351E-4  2.7883E-4
 3.4   3.0687E-4  1.6994E-4
 3.5   1.2039E-4  1.3341E-4
 3.6   6.4553E-6  2.4457E-5
 3.7   3.3498E-5  5.6676E-5
 3.8   6.914E-5   8.0227E-5
 3.9   4.5143E-5  8.7437E-5
 4     9.8234E-6  2.9349E-5
 4.1   4.8463E-6  1.2774E-5
 4.2   2.3426E-5  5.3515E-5
 4.3   3.844E-5   6.8551E-5
 4.4   2.8131E-5  4.1202E-5
 4.5   3.6424E-6  1.8015E-5
 4.6   9.0474E-6  3.2049E-5
 4.7   5.0463E-5  5.7388E-5
 4.8   6.319E-5   6.4607E-5
 4.9   2.3044E-5  4.7189E-5
 5     3.2976E-7  4.046E-6
