  KA      RHOKA7      DRHOKA7
  0     5.5967E-14  2.7357E-13
   .1   5.7762E-4   9.1262E-5
   .2    .03262      .0046085
   .3    .30293      .034995
   .4   1.2893       .10871
   .5   3.4875       .18238
   .6   6.9762       .17822
   .7  11.231        .14079
   .8  15.331        .20047
   .9  18.313        .19907
  1    19.54         .12495
  1.1  18.824        .14139
  1.2  16.501        .13907
  1.3  13.222        .080686
  1.4   9.8224       .078845
  1.5   6.8177       .074997
  1.6   4.487        .041422
  1.7   2.8201       .035084
  1.8   1.6934       .032906
  1.9    .96705      .017377
  2      .52438      .012338
  2.1    .27206      .011542
  2.2    .13761      .0059857
  2.3    .069153     .0036438
  2.4    .03437      .0035741
  2.5    .016569     .0019027
  2.6    .0077183   9.9172E-4
  2.7    .0036663    .0010233
  2.8    .0019393   6.1092E-4
  2.9    .0011198   3.0881E-4
  3     5.6626E-4   3.4755E-4
  3.1   1.723E-4    1.7213E-4
  3.2   1.4104E-5   2.8891E-5
  3.3   2.3598E-6   1.456E-5
  3.4   7.196E-7    1.8894E-6
  3.5   1.5623E-5   3.1119E-5
  3.6   2.6274E-5   5.6411E-5
  3.7   1.9676E-6   1.5183E-5
  3.8   2.492E-5    3.6773E-5
  3.9   7.1771E-5   8.4172E-5
  4     3.4954E-5   5.9252E-5
  4.1   1.3606E-6   7.7075E-6
  4.2   5.2702E-5   6.7185E-5
  4.3   7.2041E-5   8.1291E-5
  4.4   2.5069E-5   3.1367E-5
  4.5   8.138E-7    6.1393E-6
  4.6   4.6393E-7   4.0221E-6
  4.7   3.4336E-6   9.8895E-6
  4.8   1.5723E-5   3.009E-5
  4.9   8.7739E-6   2.472E-5
  5     1.4661E-6   6.3718E-6
