   K      RHOKN       DRHOKN      RHOKP       DRHOKP
  0    324.4        3.9026     359.4        1.2271
   .1  367          3.6407     355.3        1.1737
   .2  455.3        2.95       340.7        1.013
   .3  520.3        2.1036     313           .81727
   .4  526.3        1.3427     273.3         .62351
   .5  476.1         .77817    226.41        .4573
   .6  391.9         .46832    177.77        .33151
   .7  298.3         .34995    132.62        .24037
   .8  212.5         .29455     94.38        .17309
   .9  143.33        .23661     64.36        .12112
  1     92.36        .17502     42.26        .080863
  1.1   57.35        .12019     26.873       .051843
  1.2   34.62        .07919     16.683       .034956
  1.3   20.5         .054619    10.208       .029503
  1.4   12.024       .0443       6.236       .02986
  1.5    7.071       .041421     3.87        .030752
  1.6    4.235       .040307     2.4892      .030428
  1.7    2.639       .038391     1.6936      .028839
  1.8    1.75        .035491     1.236       .026394
  1.9    1.2551      .031854      .9668      .02349
  2       .9735      .027793      .7998      .020439
  2.1     .8021      .023725      .6875      .017465
  2.2     .6876      .019842      .6041      .014707
  2.3     .6047      .016356      .5363      .012222
  2.4     .5392      .01334       .4778      .010048
  2.5     .4827      .010808      .4258      .0081781
  2.6     .4324      .0087356     .3787      .0065951
  2.7     .3873      .0070372     .3358      .0052724
  2.8     .3461      .0056654     .2968      .0041847
  2.9     .3076      .0045552     .2617      .0033065
  3       .2724      .0036664     .2303      .0026173
  3.1     .2407      .0029734     .20201     .002097
  3.2     .2122      .0024502     .17684     .0017241
  3.3     .18653     .0020691     .15439     .00147
  3.4     .1635      .0017999     .13441     .0013031
  3.5     .14294     .0016063     .11673     .0011906
  3.6     .1245      .0014601     .10111     .0011063
  3.7     .10797     .0013385     .08734     .0010346
  3.8     .09334     .0012303     .07522    9.6709E-4
  3.9     .08054     .001128      .06463    9.0026E-4
  4       .06935     .0010321     .05538    8.3294E-4
  4.1     .05954    9.4079E-4     .04734    7.6482E-4
  4.2     .05096    8.5388E-4     .04034    6.9647E-4
  4.3     .04352    7.7166E-4     .03429    6.2844E-4
  4.4     .03707    6.9186E-4     .02907    5.6172E-4
  4.5     .03144    6.1537E-4     .02458    4.9721E-4
  4.6     .02658    5.4174E-4     .020736   4.3596E-4
  4.7     .02239    4.7153E-4     .017443   3.7859E-4
  4.8     .018821   4.0643E-4     .014645   3.2564E-4
  4.9     .015792   3.4616E-4     .012265   2.7751E-4
  5       .013226   2.9198E-4     .010239   2.3392E-4
  5.1     .011041   2.4381E-4     .00852    1.9508E-4
  5.2     .00919    2.0165E-4     .007064   1.6081E-4
  5.3     .007641   1.6543E-4     .005833   1.3081E-4
  5.4     .006342   1.343E-4      .004796   1.0494E-4
  5.5     .005233   1.08E-4       .003926   8.2921E-5
  5.6     .004288   8.6081E-5     .003198   6.4592E-5
  5.7     .003494   6.8102E-5     .002591   4.9816E-5
  5.8     .002835   5.3932E-5     .0020915  3.8521E-5
  5.9     .002289   4.3304E-5     .0016824  3.0548E-5
  6       .0018435  3.5921E-5     .0013493  2.5597E-5
  6.1     .0014817  3.1356E-5     .0010787  2.302E-5
  6.2     .001186   2.8835E-5    8.597E-4   2.1893E-5
  6.3    9.451E-4   2.7442E-5    6.832E-4   2.1414E-5
  6.4    7.521E-4   2.6524E-5    5.415E-4   2.1032E-5
  6.5    5.992E-4   2.5596E-5    4.283E-4   2.0512E-5
  6.6    4.777E-4   2.4478E-5    3.377E-4   1.9765E-5
  6.7    3.799E-4   2.3189E-5    2.654E-4   1.879E-5
  6.8    3.004E-4   2.1659E-5    2.081E-4   1.7635E-5
  6.9    2.367E-4   2.005E-5     1.6289E-4  1.635E-5
  7      1.8729E-4  1.8342E-5    1.2745E-4  1.4984E-5
  7.1    1.4907E-4  1.6578E-5    9.976E-5   1.3585E-5
  7.2    1.1784E-4  1.4882E-5    7.823E-5   1.2194E-5
  7.3    9.139E-5   1.3167E-5    6.159E-5   1.0838E-5
  7.4    7.044E-5   1.1604E-5    4.889E-5   9.5435E-6
  7.5    5.581E-5   1.0112E-5    3.935E-5   8.3238E-6
  7.6    4.6E-5     8.7398E-6    3.221E-5   7.1918E-6
  7.7    3.799E-5   7.5468E-6    2.683E-5   6.1551E-6
  7.8    3.049E-5   6.3945E-6    2.286E-5   5.2171E-6
  7.9    2.481E-5   5.4641E-6    1.9969E-5  4.3779E-6
  8      2.22E-5    4.5714E-6    1.7852E-5  3.6377E-6
  8.1    2.148E-5   3.8136E-6    1.6292E-5  2.9956E-6
  8.2    2.045E-5   3.2129E-6    1.5126E-5  2.45E-6
  8.3    1.8602E-5  2.5949E-6    1.4223E-5  1.9987E-6
  8.4    1.7395E-5  2.2536E-6    1.3497E-5  1.6373E-6
  8.5    1.7723E-5  1.8413E-6    1.288E-5   1.3601E-6
  8.6    1.8489E-5  1.608E-6     1.2281E-5  1.156E-6
  8.7    1.8018E-5  1.473E-6     1.1637E-5  1.0113E-6
  8.8    1.6274E-5  1.2403E-6    1.0966E-5  9.1002E-7
  8.9    1.4824E-5  1.2934E-6    1.0317E-5  8.3714E-7
  9      1.4654E-5  1.1237E-6    9.693E-6   7.8077E-7
  9.1    1.4847E-5  1.1316E-6    9.07E-6    7.3415E-7
  9.2    1.3914E-5  1.1097E-6    8.439E-6   6.9678E-7
  9.3    1.1876E-5  9.8691E-7    7.817E-6   6.7114E-7
  9.4    1.0199E-5  1.0864E-6    7.232E-6   6.612E-7
  9.5    9.767E-6   9.5559E-7    6.69E-6    6.6799E-7
  9.6    9.749E-6   1.0272E-6    6.178E-6   6.8766E-7
  9.7    8.839E-6   1.0233E-6    5.67E-6    7.1463E-7
  9.8    7.072E-6   9.7111E-7    5.154E-6   7.4267E-7
  9.9    5.708E-6   1.073E-6     4.637E-6   7.6628E-7
 10      5.464E-6   9.6602E-7    4.121E-6   7.81E-7
