    Q       RHOQNPH     DRHOQNPH    RHOQPPH     DRHOQPPH
   .001  1656          1.5175     950.66        .9866
   .1    1474.2        1.1141     842.63        .77022
   .2    1071           .59579    602.42        .41581
   .3     674.93        .28695    368.65        .1907
   .4     390.19        .14569    205.25        .093981
   .5     215.13        .081732   108.92        .052862
   .6     115.98        .047333    56.81        .030369
   .7      62.199       .027196    29.695       .017411
   .8      33.595       .01669     15.747       .011336
   .9      18.457       .012599     8.5405      .009271
  1        10.396       .011195     4.7607      .0083006
  1.1       6.0601      .010056     2.7401      .0072487
  1.2       3.6802      .0086778    1.6334      .0060224
  1.3       2.3525      .0071901    1.0136      .0047845
  1.4       1.5794      .0057721     .6535      .0036646
  1.5       1.1153      .0045266     .43774     .0027298
  1.6        .82125     .0035161     .30357     .0020032
  1.7        .62836     .0027328     .21756     .0014702
  1.8        .49024     .0021413     .15898     .0010999
  1.9        .39041     .0017055     .11844    8.4925E-4
  2          .31392     .0013771     .089285   6.762E-4
  2.1        .25518     .0011203     .068177   5.4969E-4
  2.2        .20845    9.2246E-4     .052603   4.5405E-4
  2.3        .17156    7.6324E-4     .041163   3.7686E-4
  2.4        .14159    6.3038E-4     .032513   3.1214E-4
  2.5        .11745    5.2043E-4     .025964   2.5824E-4
  2.6        .097575   4.2808E-4     .020873   2.1171E-4
  2.7        .081188   3.4872E-4     .016894   1.7169E-4
  2.8        .067797   2.8318E-4     .013827   1.3867E-4
  2.9        .056897   2.2944E-4     .011487   1.1188E-4
  3          .047904   1.854E-4      .009655   9.009E-5
  3.1        .040486   1.5083E-4     .0082216  7.2917E-5
  3.2        .034323   1.246E-4      .0070688  5.9794E-5
  3.3        .02916    1.055E-4      .0061261  5.0282E-5
  3.4        .024764   9.2319E-5     .0053177  4.3736E-5
  3.5        .021085   8.3171E-5     .0046432  3.9164E-5
  3.6        .017908   7.6636E-5     .0040414  3.586E-5
  3.7        .015222   7.1356E-5     .0035202  3.3247E-5
  3.8        .012893   6.6612E-5     .0030542  3.0966E-5
  3.9        .01096    6.1916E-5     .0026679  2.8781E-5
  4          .0092596  5.705E-5      .0023125  2.6531E-5
  4.1        .00783    5.2075E-5     .0020058  2.4278E-5
  4.2        .0065911  4.7049E-5     .0017305  2.202E-5
  4.3        .0055476  4.1952E-5     .0014902  1.9657E-5
  4.4        .00464    3.7013E-5     .0012722  1.7407E-5
  4.5        .0038795  3.2325E-5     .0010845  1.5211E-5
  4.6        .0032201  2.7896E-5    9.159E-4   1.3167E-5
  4.7        .0026709  2.3861E-5    7.735E-4   1.1335E-5
  4.8        .0022108  2.0213E-5    6.5277E-4  9.6515E-6
  4.9        .0018198  1.6922E-5    5.4711E-4  8.111E-6
