#name-1 momNormP-2 momNormN-3 mom1P-4 mom2P-5 mom1N-6 mom2N-7 TotKeP-8 TotKeN-9 Ke1P-10 Ke2P-11 Ke1N-12 Ke2N-13 densNormP-14 avgDensP-15 avgDensAsSeenByP-16 rmsP-17 densNormN-18 avgDensN-19 avgDensAsSeenByN-21 rmsN-22 avgDenA-20 densNormPP-23 densNormNP-24 densNormNN-25 nearPP-26 nearNP-27 nearNN-28 rmsPP-29 rmsNP-30 rmsNN-31 tag-32 Z-33 N-34
b10_3p 5.000 5.000 0.602 0.366 0.602 0.366 151.641 151.641 89.107 75.787 89.107 75.787 4.998 0.082 0.074 2.360 4.998 0.082 0.074 2.360 0.082 10.002 24.999 10.002 0.016 0.032 0.016 3.616 3.437 3.616 0 5 5
b11 5.000 6.000 0.679 0.422 0.739 0.450 159.909 181.515 99.162 84.591 106.834 90.504 4.998 0.089 0.081 2.349 5.997 0.086 0.078 2.411 0.088 9.998 29.994 14.997 0.016 0.030 0.015 3.591 3.454 3.654 1 5 6
b7 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 4.999 0.046 0.040 3.032 1.999 0.078 0.062 1.950 0.055 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 5 2
b8 5.000 3.000 0.419 0.254 0.354 0.229 120.623 87.038 61.669 52.402 53.355 46.234 4.998 0.068 0.060 2.449 2.998 0.083 0.071 2.140 0.073 10.001 14.999 2.999 0.015 0.035 0.024 3.778 3.394 3.370 0 5 3
be10_0p 4.000 6.000 0.530 0.335 0.614 0.364 127.237 163.060 80.178 69.082 89.764 75.713 3.997 0.084 0.075 2.283 5.999 0.076 0.069 2.466 0.079 6.000 23.997 15.001 0.022 0.031 0.015 3.521 3.470 3.741 0 4 6
be12 4.001 8.022 0.503 0.342 0.641 0.404 126.229 232.818 81.278 72.061 138.565 125.186 3.997 0.080 0.073 2.410 7.999 0.068 0.063 2.723 0.072 5.999 31.993 27.995 0.019 0.024 0.010 3.673 3.737 4.064 0 4 8
be6 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.999 0.046 0.040 2.903 1.999 0.072 0.056 1.975 0.055 5.998 7.998 1.000 0.017 0.042 0.058 4.573 3.825 2.516 0 4 2
be7 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.999 0.057 0.049 2.413 2.999 0.063 0.054 2.258 0.060 5.999 11.998 3.000 0.021 0.040 0.023 3.813 3.451 3.650 0 4 3
be7s 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.998 0.053 0.046 2.856 2.997 0.062 0.052 2.586 0.056 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 4 3
be8.av18uix 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.999 0.059 0.051 2.420 3.999 0.059 0.051 2.420 0.059 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 4 4
be8 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.999 0.061 0.054 2.377 3.999 0.061 0.054 2.377 0.061 6.000 15.997 6.000 0.022 0.042 0.022 3.765 3.459 3.765 0 4 4
be9 4.000 5.000 0.477 0.303 0.513 0.313 118.678 135.073 72.490 62.637 76.192 64.878 3.999 0.070 0.062 2.358 4.999 0.066 0.059 2.464 0.067 5.999 20.000 9.997 0.022 0.035 0.016 3.691 3.515 3.802 1 4 5
c10_0p 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 5.998 0.076 0.068 2.474 3.996 0.084 0.075 2.289 0.079 14.996 23.993 6.000 0.015 0.032 0.022 3.753 3.480 3.530 0 6 4
c11 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 5.999 0.086 0.078 2.409 4.999 0.089 0.081 2.348 0.087 14.998 29.987 9.997 0.016 0.031 0.016 3.651 3.451 3.590 0 6 5
c12 6.000 6.000 0.809 0.499 0.809 0.499 199.550 199.550 123.272 105.817 123.272 105.817 5.999 0.096 0.088 2.367 5.999 0.096 0.088 2.367 0.096 14.997 35.995 14.997 0.016 0.031 0.016 3.580 3.424 3.580 1 6 6
c12c.av18uix 6.000 6.000 1.022 0.610 1.022 0.610 227.594 227.594 149.407 126.157 149.407 126.157 5.998 0.098 0.090 2.349 5.998 0.098 0.090 2.349 0.098 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 6 6
c8 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 6.000 0.053 0.047 2.880 1.999 0.093 0.075 1.870 0.063 14.995 11.997 1.000 0.011 0.033 0.055 4.406 3.612 2.545 0 6 2
c9 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 5.997 0.076 0.069 2.468 2.999 0.098 0.085 2.081 0.084 14.996 17.996 3.000 0.015 0.033 0.025 3.754 3.360 3.222 0 6 3
ca40 20.000 20.000 2.049 1.498 2.049 1.498 604.063 604.063 348.809 316.971 348.809 316.971 19.997 0.092 0.090 3.531 19.997 0.092 0.090 3.531 0.092 190.135 399.757 190.135 0.004 0.008 0.004 5.094 5.020 5.094 1 20 20
ca40_v18 19.982 19.982 2.249 1.449 2.249 1.449 647.855 647.855 361.951 317.532 361.951 317.532 19.997 0.116 0.113 3.265 19.997 0.116 0.113 3.265 0.116 189.855 400.115 189.855 0.005 0.010 0.005 4.719 4.641 4.719 0 20 20
h2 1.000 1.000 0.039 0.023 0.039 0.023 9.867 9.867 5.149 4.239 5.149 4.239 0.999 0.076 0.038 1.968 0.999 0.076 0.038 1.968 0.076 0.000 1.000 0.000 0.000 0.053 0.000 0.000 3.932 0.000 1 1 1
h3 1.000 2.000 0.082 0.049 0.102 0.063 19.526 29.820 11.295 9.428 14.975 12.726 0.999 0.103 0.066 1.614 1.998 0.094 0.063 1.746 0.097 0.000 2.000 1.000 0.000 0.064 0.046 0.000 2.873 3.097 1 1 2
h5 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.031 0.022 2.393 3.998 0.021 0.017 3.334 0.023 0.000 3.999 5.999 0.000 0.035 0.015 0.000 4.438 5.353 0 1 4
he10 2.000 8.000 0.254 0.164 0.316 0.197 59.510 112.447 38.817 33.691 48.508 41.764 1.999 0.082 0.065 1.941 7.998 0.037 0.034 3.628 0.046 1.000 15.997 28.005 0.055 0.025 0.006 2.558 4.242 5.456 0 2 8
he3 2.000 1.000 0.100 0.062 0.080 0.049 29.292 19.287 14.720 12.549 11.143 9.321 1.998 0.091 0.062 1.773 0.999 0.101 0.065 1.631 0.094 1.000 2.000 0.000 0.045 0.064 0.000 3.146 2.908 0.000 1 2 1
he4 2.000 2.000 0.228 0.142 0.228 0.142 54.938 54.938 33.937 29.076 33.937 29.076 1.998 0.168 0.126 1.441 1.998 0.168 0.126 1.441 0.168 0.999 3.998 0.999 0.063 0.080 0.063 2.395 2.331 2.395 1 2 2
he4_v18 2.000 2.000 0.187 0.117 0.187 0.117 48.218 48.218 28.202 24.197 28.202 24.197 1.998 0.149 0.112 1.517 1.998 0.149 0.112 1.517 0.149 1.000 3.997 1.000 0.058 0.075 0.058 2.524 2.451 2.524 0 2 2
he6 2.000 4.000 0.235 0.150 0.268 0.165 55.213 76.239 35.152 30.301 39.712 33.848 1.999 0.076 0.059 1.936 3.999 0.050 0.042 2.819 0.058 1.000 7.999 5.999 0.058 0.042 0.018 2.510 3.723 4.443 0 2 4
he7 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.999 0.082 0.065 1.917 4.998 0.049 0.043 2.954 0.058 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 2 5
he8 2.000 6.000 0.266 0.176 0.367 0.215 61.089 115.700 40.700 35.536 53.105 44.562 1.999 0.099 0.079 1.835 5.999 0.057 0.051 2.795 0.068 1.000 11.997 14.994 0.056 0.034 0.012 2.527 3.515 4.274 0 2 6
li11 3.000 8.000 0.343 0.217 0.412 0.262 81.894 138.218 50.034 42.838 61.891 53.351 2.999 0.079 0.069 2.315 7.997 0.050 0.046 3.115 0.058 3.000 23.998 27.989 0.022 0.022 0.007 3.481 4.006 4.664 0 3 8
li6 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.999 0.056 0.047 2.444 2.999 0.056 0.047 2.444 0.056 2.999 8.997 2.999 0.023 0.045 0.023 4.030 3.612 4.030 0 3 3
li6s 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.999 0.057 0.047 2.590 2.999 0.057 0.047 2.590 0.057 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 3
li7 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.998 0.064 0.054 2.256 3.998 0.057 0.049 2.409 0.060 2.999 11.999 6.000 0.023 0.040 0.021 3.645 3.446 3.805 0 3 4
li7s 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.998 0.062 0.052 2.569 3.999 0.053 0.046 2.835 0.057 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 4
li8 3.000 5.000 0.356 0.228 0.423 0.254 86.466 119.526 53.071 45.739 61.345 51.782 2.998 0.084 0.072 2.129 4.997 0.069 0.061 2.436 0.074 3.000 14.996 9.997 0.024 0.035 0.015 3.353 3.378 3.758 1 3 5
li9 3.000 6.000 0.389 0.249 0.523 0.297 93.738 149.014 59.273 51.359 75.284 62.692 2.998 0.100 0.086 2.070 5.997 0.078 0.070 2.447 0.085 3.000 18.004 14.998 0.026 0.033 0.015 3.204 3.336 3.722 0 3 6
o16 7.988 7.988 0.819 0.566 0.819 0.566 229.800 229.800 133.584 119.164 133.584 119.164 7.999 0.095 0.089 2.616 7.999 0.095 0.089 2.616 0.095 27.991 64.001 27.991 0.011 0.021 0.011 3.876 3.779 3.876 1 8 8
o16_v18 7.988 7.988 0.928 0.561 0.928 0.561 250.846 250.846 142.495 122.127 142.495 122.127 8.000 0.122 0.115 2.399 8.000 0.122 0.115 2.399 0.122 27.981 63.996 27.981 0.013 0.025 0.013 3.560 3.460 3.560 0 8 8
be8_0 4.000 4.000 0.474 0.295 0.474 0.295 116.911 116.911 70.694 60.573 70.694 60.573 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 4 4
be8_2 4.000 4.000 0.461 0.286 0.461 0.286 113.786 113.786 68.241 58.298 68.241 58.298 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 4 4
be8_4 4.000 4.000 0.426 0.258 0.426 0.258 107.268 107.268 62.095 52.587 62.095 52.587 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 4 4
be8_aa0 0.842 0.842 0.083 0.059 0.083 0.059 16.419 16.419 7.705 6.183 7.705 6.183 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
be8_aa2 0.826 0.826 0.104 0.045 0.104 0.045 19.991 19.991 8.218 4.341 8.218 4.341 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
be8_aa4 0.752 0.752 0.324 0.031 0.324 0.031 32.195 32.195 19.232 2.785 19.232 2.785 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
h3_dn 1.349 1.349 0.016 0.005 0.016 0.005 10.580 10.580 1.327 0.712 1.327 0.712 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
he4_dd 1.626 1.626 0.037 0.004 0.037 0.004 20.212 20.212 2.424 0.670 2.424 0.670 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 2 2
he4_uix 2.000 2.000 0.231 0.145 0.231 0.145 55.142 55.142 34.237 29.360 34.237 29.360 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 2 2
li6_ad1 0.866 0.866 0.058 0.008 0.058 0.008 10.383 10.383 3.535 0.768 3.535 0.768 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
li6_ad3 0.935 0.935 0.048 0.005 0.048 0.005 16.560 16.560 2.820 0.463 2.820 0.463 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
li7_1 3.000 4.000 0.322 0.204 0.354 0.220 79.867 96.995 47.973 41.204 52.721 45.124 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 4
li7_3 3.000 4.000 0.327 0.207 0.360 0.225 80.292 97.858 48.446 41.610 53.599 45.939 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 4
li7_5 3.000 4.000 0.309 0.192 0.335 0.204 76.780 91.948 45.025 38.332 48.580 41.148 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 4
li7_7 3.000 4.000 0.312 0.194 0.338 0.207 77.097 92.522 45.326 38.598 49.128 41.648 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 3 4
li7_at1 0.982 0.982 0.232 0.054 0.232 0.054 23.723 23.723 15.765 5.323 15.765 5.323 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
li7_at3 0.998 0.998 0.240 0.057 0.240 0.057 24.350 24.350 16.321 5.520 16.321 5.520 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
li7_at5 0.952 0.952 0.245 0.025 0.245 0.025 32.959 32.959 14.492 2.335 14.492 2.335 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
li7_at7 0.963 0.963 0.247 0.024 0.247 0.024 33.316 33.316 14.588 2.254 14.588 2.254 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 1 1
