#Target	EMC_close	EMC_momfrac	EMC_ke	EMC_dens	A	Z	N	Average_proton_density	Average_neutron_density	Average_density_of_nucleons_sampled_by_protons	Average_density_of_nucleons_sampled_by_neutrons	Excluding_scattered_protons	Excluding_scattered_neutrons	Distance	Probability_of_neutron_within_distance_of_proton	Probability_of_proton_within_distance_of_proton	Probability_of_neutron_within_distance_of_neutron	Momentum_threshold	Fraction_of_protons_above_threshold	Fraction_of_neutrons_above_threshold	Proton_kinetic_energy	Proton_normalization	Neutron_kinetic_energy	Neutron_normalization	fpclose	fnclose	Fpke	fnke
b10_3p	0.02227723379593124	0.0702027278738043	0.0030457398895457253	0.08171619956207445	10	5	5	0.04085809978103666	0.04085809978103666	0.08171619956207332	0.08171619956207332	0.07354053636362046	0.07354053636362046	1.0	0.0316699452320092	0.016105652949814423	0.016105652949814423	2.0	0.07020272787380413	0.07020272787380413	0.0030464223283093437	4.999976029924955	0.003042228861315583	4.999976029924955	0.022277233795930367	0.022277233795930367	0.0030464223283093437	0.003042228861315583
b11	0.02429559137549055	0.0791571572970109	0.0031779058078177424	0.0886245679013824	11	5	6	0.04139434796104303	0.04618831641731599	0.08923999743405871	0.08607192315235644	0.08095250381923236	0.07836348727257084	1.0	0.02997002442385719	0.015902495812949072	0.015292210004172167	2.0	0.0809018051458713	0.0719208029561232	0.0032124622781096	5.999992670774626	0.003034574381959694	5.999992670774626	0.024343012979493945	0.02409889865598318	0.0032124622781096	0.003034574381959694
be12	0.023686102383329626	0.05752152706530909	0.0027010056118416228	0.07671115107575696	12	4	8	0.030265118433178608	0.04310547434978386	0.08043900857090279	0.06819069573227837	0.07287081683892423	0.06280152006311146	1.0	0.023474919792113812	0.019263021069526855	0.009704724953925768	2.0	0.04684515991626167	0.0819236158368056	0.002530942395159173	3.9995233610564154	0.003089705031063253	3.9995233610564154	0.024558842154549107	0.02169135331986878	0.002530942395159173	0.003089705031063253
c12	0.026293196905615088	0.07993471035765315	0.0033399677373571433	0.09581898734404554	12	6	6	0.047909493672022546	0.047909493672022546	0.09581898734404509	0.09581898734404509	0.08782625695777996	0.08782625695777996	1.0	0.030683138725863875	0.015766627340192883	0.015766627340192883	2.0	0.0799347103576517	0.0799347103576517	0.003340716101805668	6.000038857225697	0.0033361175329932415	6.000038857225697	0.02629319690561477	0.02629319690561477	0.003340716101805668	0.0033361175329932415
ca40	0.024924267221315223	0.07217360378850225	0.0030338718390535042	0.09189243585160693	40	20	20	0.04594621792580345	0.04594621792580345	0.09189243585160692	0.09189243585160692	0.08959474061234558	0.08959474061234558	1.0	0.00845340211844812	0.0042197173602202594	0.0042197173602202594	2.0	0.07217360378850214	0.07217360378850214	0.0030345516186225277	19.999646103489948	0.003030374491920395	19.999646103489948	0.024924267221314734	0.024924267221314734	0.0030345516186225277	0.003030374491920395
h3	0.012773630975474301	0.0347888228162725	0.001638009549371698	0.10033966543253486	3	1	2	0.03679713659367824	0.06039401889227521	0.1032746147220373	0.09363149475027374	0.06642889705657377	0.06339576711113669	1.0	0.06386815487736712	0.04541606416343093	0.04541606416343093	2.0	0.029644368937107507	0.046547075271225695	0.0014976337306255203	0.9999078515911078	0.0019588549401859776	0.9999078515911078	0.012773630975473424	0.012773630975473424	0.0014976337306255203	0.0019588549401859776
he3	0.010753792454408807	0.04477806420665851	0.0019004428251527025	0.09153361843521811	3	2	1	0.058464258481451294	0.035906010915858745	0.09076589828699445	0.1005099349807405	0.06149965440637306	0.06456166223444573	1.0	0.06318747215377585	0.04435045239031236	0.04435045239031236	2.0	0.04609749736564887	0.02935102386758019	0.0019373344729639896	2.0000412979601396	0.001469099308357557	2.0000412979601396	0.01075379245440882	0.01075379245440882	0.0019373344729639896	0.001469099308357557
he4	0.022109649458125023	0.06810011342364992	0.002758507103639777	0.16804303071549226	4	2	2	0.08402151535774588	0.08402151535774588	0.16804303071549173	0.16804303071549173	0.12596189312024308	0.12596189312024308	1.0	0.07941918868734951	0.06225811720654201	0.06225811720654201	2.0	0.06810011342365031	0.06810011342365031	0.0027591251840565277	2.0000630892826075	0.0027553271878681877	2.0000630892826075	0.022109649458124103	0.022109649458124103	0.0027591251840565277	0.0027553271878681877
li8	0.02183810499157703	0.0664348486894327	0.0027650642573494788	0.0799740202485256	8	3	5	0.03605408299956294	0.039876330200132516	0.08399320879197308	0.06862880301508589	0.0719577801810809	0.06064504469080571	1.0	0.03503276094958986	0.02386026937489209	0.015252757040258849	2.0	0.0727432041412563	0.04862785550833646	0.0028951319533490937	5.000061546639616	0.002397913960660885	5.000061546639616	0.02228843434977335	0.0205669318828467	0.0028951319533490937	0.002397913960660885
o16	0.02393091322847235	0.06825038540701071	0.002888757317266243	0.09518248161096031	16	8	8	0.0475912408054797	0.0475912408054797	0.0951824816109594	0.0951824816109594	0.08923257159918535	0.08923257159918535	1.0	0.02054237007725734	0.010710024523809251	0.010710024523809251	2.0	0.06825038540700964	0.06825038540700964	0.002889404581984903	7.9875150644117765	0.0028854272533546674	7.9875150644117765	0.023930913228472347	0.023930913228472347	0.002889404581984903	0.0028854272533546674
be9	0.02331813119590316	0.07018741114728386	0.0029256887140396842	0.0687349362730635	9	4	5	0.03184000351122532	0.03570612305611142	0.06947361812524178	0.06581491645796596	0.06151312185293578	0.05867279630356098	1.0	0.03437888122250142	0.021559580451285938	0.015959644028859393	2.0	0.07274099075757183	0.06009307481091148	0.00298026989126747	4.999798974158827	0.0027099285480536757	4.999798974158827	0.023657314746636494	0.021977333819908528	0.00298026989126747	0.0027099285480536757
